Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	nqla				Who called Paul and what was he called to be?	Jesus Christ called Paul to be an apostle.
1:3	jx7v				What does Paul desire the church at Corinth to receive from God our Father and the Lord Jesus Christ?	Paul desires that they may have grace and peace from God our Father and the Lord Jesus Christ.
1:5	b752				How has God made the church at Corinth rich?	God has made them rich in every way, in all speech and with all knowledge.
1:7	i6ea				What did the church at Corinth not lack?	They did not lack any spiritual gift.
1:8	ytnm				Why will God strengthen the church at Corinth to the end?	He will do this so that they will be blameless on the day of our Lord Jesus Christ.
1:10	lj0l				What does Paul urge the Church at Corinth to do?	Paul urges them to all agree and for there to be no divisions among them and that they be joined together with the same mind and by the same purpose.
1:11	u5dr				What did Chloe’s people report to Paul?	Chloe’s people reported to Paul that factions had developed among the people of the church at Corinth.
1:12	rp73				What did Paul mean by factions?	Paul meant this: Each one of you says, “I am with Paul,” or “I am with Apollos,” or “I am with Cephas,” or “I am with Christ.”
1:14-15	ingp				Why does Paul thank God that he baptized none of them except Crispus and Gaius?	Paul thanks God for this because this would give them no occasion to say that they were baptized into Paul’s name.
1:17	cu5v				What did Christ send Paul to do?	Christ sent Paul to preach the gospel.
1:18	s2sd				What is the message of the cross to those who are dying?	The message of the cross is foolishness to those who are dying.
1:18	eiti				What is the message of the cross among those whom God is saving?	It is the power of God among those whom God is saving.
1:20	rq2l				Into what has God turned the wisdom of the world?	God has turned the wisdom of the world into foolishness.
1:21	kdhv				Why did it please God to save those who believe through the foolishness of preaching?	It pleased God to do this because the world in its wisdom did not know God.
1:26	pics				How many who were wise by human standards or powerful or of noble birth did God call?	God didn’t call many who were like that.
1:27	d8pg				Why did God choose the foolish things of the world and what is weak in the world?	He did this to shame the wise and to shame what is strong.
1:28-29	clpq				What did God do so that no one would have reason to boast before him?	God chose what is low and despised in the world and even things that are regarded as nothing.
1:30	w8jn				Why were the believers in Christ Jesus?	They were in Christ Jesus because of what God did.
1:30	j8ev				What did Christ Jesus become for us?	He became for us wisdom from God—our righteousness, holiness, and redemption.
1:31	inpx				If we are going to boast, in whom should we boast?	Let the one who boasts, boast in the Lord.
2:1	q17d				In what manner did Paul come to the Corinthians when he proclaimed the mystery of God?	Paul did not come with elegant speech or wisdom when he proclaimed the mystery of God.
2:2	tema				What did Paul decide to know when he was among the Corinthians?	Paul decided to know nothing except Jesus Christ, and him crucified.
2:4-5	ahv0				Why was Paul’s word and his proclamation done with the demonstration of the Spirit and of power rather than with persuasive words of wisdom?	This was so that their faith might not be in the wisdom of humans, but in the power of God.
2:7	w1r1				What wisdom did Paul and those with him speak?	They spoke God’s wisdom hidden in mystery–the hidden wisdom that God predestined before the ages for our glory.
2:8	okzd				If the rulers of Paul’s time had known God’s wisdom, what would they not have done?	If those rulers had known God’s wisdom, they would not have crucified the Lord of glory.
2:10	xov7				How did Paul and those with him know God’s wisdom?	God revealed those things to them through the Spirit.
2:11	w1kq				Who knows the deep things of God?	Only the Spirit of God knows the deep things of God.
2:12	u4z0				What is one reason that Paul and those with him received the Spirit who is from God?	They received the Spirit who is from God so that they might know the things freely given to them by God.
2:14	hqs0				Why can’t the unspiritual person receive or know the things that belong to the Spirit of God?	The unspiritual person can’t receive them because they are foolishness to him, and he cannot understand them because they are spiritually discerned.
2:16	h8or				Whose mind did Paul say the ones who believed in Jesus have?	Paul said they have the mind of Christ.
3:3	ib2y				Why did Paul say the Corinthian believers were still fleshly?	Paul said they were still fleshly because jealousy and strife existed among them.
3:5	nikb				Who were Paul and Apollos to the Corinthians?	They were servants through whom the Corinthians came to believe in Christ.
3:7	vb19				Who gives the growth?	God gives the growth.
3:11	kmq6				What is the foundation?	Jesus Christ is the foundation.
3:11-13	egd8				What will happen to the work of someone who builds on the foundation of Jesus Christ?	His work will be revealed in daylight and in fire.
3:13	rtwq				What will the fire do to a person’s work?	The fire will test the work, revealing the quality of what each one has done.
3:14	ptec				What will a person receive if their work survives the fire?	That person will receive a reward.
3:15	gk8g				What will happen to the person whose work is burned up?	That person will suffer loss, but he himself will be saved, as though escaping through fire.
3:16	eg2x				Who are we and what lives in us as believers in Jesus Christ?	We are God’s temple, and the Spirit of God lives in us.
3:17	djhf				What will happen if anyone destroys God’s temple?	God will destroy the person who destroys God’s temple.
3:18	i4yj				What does Paul say to him who thinks he is wise in this age?	Paul says, “…let him become a “fool,” that he may become wise.”
3:20	cwq7				What does the Lord know about the reasonings of the wise?	The Lord knows the reasonings of the wise are futile.
3:21-23	bqzi				Why does Paul tell the Corinthian believers to stop boasting about people?	He told them to stop boasting, “For all things are yours,” and because, “… you are Christ’s, and Christ is God’s”..
4:1	k2o5				How did Paul say the Corinthians should regard Paul and his companions?	The Corinthians should regard them as servants of Christ and stewards of the hidden truths of God.
4:2	q6dm				What is one of the requirements for a steward?	Stewards must be found faithful.
4:4	i87u				Who does Paul say is his judge?	Paul says the Lord judges him.
4:5	tuac				What will the Lord do when he comes?	He will bring to light the hidden things of darkness and reveal the purposes of the hearts.
4:6	kgrk				Why did Paul apply these principles to himself and to Apollos?	Paul did it for the sake of the Corinthian believers so they might learn the meaning of the saying, “Not beyond what is written,” so that none of them would think in favor of one against the other.
4:8	f81o				Why does Paul wish the Corinthian believers did reign?	Paul wishes they did reign so that Paul and his companions could be reigning with them.
4:10	n6uv				What are three ways Paul contrasts himself and his companions with the Corinthian believers?	Paul says, “We are fools for Christ’s sake, but you are wise in Christ. We are weak, but you are strong. You are held in honor, but we are held in dishonor.”
4:11	iu76				How did Paul describe the physical condition of the apostles?	Paul said they were hungry and thirsty, poorly clothed, brutally beaten and homeless.
4:12-13	pvtc				How did Paul and his companions respond when they were mistreated?	When they were attacked, they blessed. When they were persecuted, they endured it. When they were slandered, they spoke with kindness.
4:14	axu2				Why did Paul write these things to the Corinthian believers?	He wrote them to correct them as his beloved children.
4:16	a7gk				Who does Paul tell the Corinthian believers to imitate?	Paul tells them to imitate himself.
4:17	vhai				Of what was it that Paul sent Timothy to the Corinthian believers to remind them?	Paul sent Timothy to Corinth to remind the believers there of Paul’s ways in Christ.
4:18	wgi7				How were some of the Corinthian believers acting?	Some of them were arrogant, acting as though Paul was not coming to them.
4:20	hirg				In what does the kingdom of God consist?	The kingdom of God consists in power.
5:1	hb3v				What report did Paul hear about the church at Corinth?	Paul heard that there was sexual immorality there. One of them was sleeping with his father’s wife.
5:2	niaf				What did Paul say must be done to that person who sinned with his father’s wife?	The one who sinned with his father’s wife must be removed from among them.
5:4-5	bbnd				How and why was that person who sinned with his father’s wife to be removed?	When the church at Corinth gathered together in the name of the Lord Jesus, they were to hand the sinning man over to Satan for the destruction of the flesh, so that his spirit might be saved on the day of the Lord.
5:8	crqw				To what does Paul compare bad behavior and wickedness?	Paul compares them to yeast.
5:8	ebav				What does Paul use as a metaphor for sincerity and truth?	Paul uses unleavened bread as a metaphor for sincerity and truth.
5:9	ykxc				With whom did Paul tell the Corinthian believers not to associate?	Paul wrote to them not to associate with sexually immoral people.
5:10	vg24				Did Paul mean for them not to associate with any sexually immoral people?	Paul did not mean the immoral people of this world. You would have to go out of the world to stay away from them
5:11	q5sz				With whom did Paul mean for the Corinthian believers not to associate?	He meant for them not to associate with anyone who is called a brother or sister in Christ and who is sexually immoral, greedy, verbally abusive, a drunkard, a swindler, or an idolater.
5:12	lnax				Who are the believers supposed to judge?	They are supposed to judge those inside the church.
5:13	m99n				Who judges those outside the church?	God judges those who are on the outside.
6:1-3	h1dd				What does Paul say the saints at Corinth should be able to judge?	Paul says they should be able to judge disputes between saints concerning the matters of this life.
6:2-3	o0lm				Who will the saints judge?	The saints will judge the world and the angels.
6:6	bwu2				How are the Corinthian Christians handling their disputes with one another?	One believer goes to court against another believer, and that case is placed before a judge who is an unbeliever.
6:7	j267				What does the fact that there are disputes among the Corinthian Christians indicate?	It indicates that this is a defeat for them.
6:9-10	s5i0				Who will not inherit the kingdom of God?	The unrighteous: the sexually immoral, idolaters, adulterers, male prostitutes, those who practice homosexuality, thieves, the greedy, drunkards, slanderers, and swindlers will not inherit the kingdom of God.
6:11	ohwt				What happened to the Corinthian believers who previously practiced unrighteousness?	They were cleansed and made holy, made right with God in the name of the Lord Jesus Christ and by the Spirit of our God.
6:12-13	rg4o				What are the two things Paul says he will not allow to master him?	Paul says he will not be mastered by food or sex.
6:15	ds3o				The bodies of believers are members of what?	Their bodies are members of Christ.
6:15	hr8e				Should believers join themselves to prostitutes?	No. May it never be!
6:16	mz9c				What happens when someone joins himself to a prostitute?	The two will become as one flesh.
6:17	meeg				What happens when someone joins himself to the Lord?	He becomes one spirit with him.
6:18	iyrg				Who do people sin against when they are sexually immoral?	They sin against their own bodies when they are sexually immoral.
6:19-20	mn50				Why should believers glorify God with their bodies?	They should glorify God with their bodies because their bodies are a temple of the Holy Spirit and because they were bought with a price.
7:2	q2yj				Why should each man have his own wife and each woman have her own husband?	Because of temptations for many immoral acts, each man should have his own wife and each wife should have her own husband.
7:4	gmkk				Does a wife or husband have authority over their own body?	No. A husband has authority over his wife’s body, and likewise, the wife has authority over her husband’s body.
7:5	kp04				When is it appropriate for a husband and a wife to deprive one another sexually?	It is appropriate if both husband and wife mutually agree and set a specific period of time, so that they may devote themselves to prayer.
7:8	jgm6				What does Paul say is good for the widows and people who are unmarried to do?	Paul says it is good for them to remain unmarried, as he is.
7:9	xeex				In what situation should the unmarried and widows get married?	They should get married if they burn with passion and cannot exercise self-control.
7:10-11	hljh				What command does the Lord give to those who are married?	The wife should not separate from her husband. If she does separate from her husband, she should remain unmarried or be reconciled to him. Also, the husband should not divorce his wife.
7:12-13	p0zd				Should a believing husband or wife divorce his or her unbelieving spouse?	If the unbelieving husband or wife is content to live with their spouse, the believing spouse should not divorce the unbeliever.
7:15	jf44				What should a believer do if their unbelieving partner departs?	The believer is to let the unbelieving partner go..
7:17	r33w				What rule did Paul set in all the churches?	The rule was: Let each one live the life the Lord has assigned them, and to which God called them.
7:18	npl0				What counsel did Paul give to the uncircumcised and to the circumcised?	Paul said the uncircumcised should not become circumcised and the circumcised should not try to remove the marks of their circumcision.
7:21-23	yva1				What did Paul say about slaves?	If they were a slave when God called them, don’t be concerned about it, but if they can become free, they should do so. Even if they were slaves, they are the Lord’s freeman. They should not become the slaves of men.
7:26	jftz				Why did Paul think it was good for a man who had never married to remain unmarried, as Paul was?	Paul thought that, because of the impending crisis, it was good for a man to remain unmarried.
7:27	tluj				What should believers do if they are bound to a woman by a vow of marriage?	They should not seek freedom from their vow to marry the woman.
7:28	lygn				Why does Paul say to those who are free from a wife and those who are unmarried, “Do not seek a wife.”	He said this because he wanted to spare them from the many kinds of trouble that those who marry will have while living.
7:31	lqal				Why should those who deal with the world act as though they had no dealings with it?	They should act that way because the system of this world is coming to an end.
7:33-34	dd2h				Why is it hard for those Christians who are married to be undivided in their devotion to the Lord?	It is hard because a believing husband or wife is concerned about the things of the world, how to please his wife or her husband.
7:38	bjxv				Who does better than the one who marries his fiancee?	The one who chooses not to marry will do even better.
7:39	gojg				For how long is a woman bound to her husband?	She is bound to her husband for as long as he lives.
7:39	ls4k				If a believing woman’s husband dies, whom may she marry?	She may marry whomever she wishes, but only one who is in the Lord.
8:1	shxy				What subject does Paul begin to address in this chapter?	Paul addresses the subject of food sacrificed to idols.
8:1	foup				What results do knowledge and love cause?	Knowledge makes one proud, but love builds up.
8:4	t0rk				Is an idol equal to God?	No. An idol in this world is nothing, and there is no God but one.
8:6	t510				Who is the one God?	There is only one God the Father. From him are all things, and we live for him.
8:6	hdyu				Who is the one Lord?	There is one Lord Jesus Christ, through whom all things exist, and through whom we exist.
8:7	ulos				What happens when some who practiced idol worship eat food as if it had been sacrificed to an idol?	Their conscience is corrupted because it is weak.
8:8	zii4				Does the food we eat make us better or worse to God?	Food will not recommend us to God. We are not worse if we do not eat, nor better if we do eat it.
8:9	xft6				Of what should we be careful that our freedom does not become?	We should be careful that our freedom does not become a reason for someone who is weak in faith to stumble.
8:11	worq				What can happen to a brother or sister with a weak conscience if those with an understanding of the true nature of idols are not careful in using their freedom?	A brother or sister with a weak conscience can be destroyed.
8:11-12	j14x				Who do we sin against when we knowingly cause a brother or sister in Christ to stumble because of their weak conscience?	We sin against the brother or sister that we caused to stumble, and we sin against Christ.
8:13	eu02				What does Paul say he will do if food causes his brother or sister to stumble?	Pauls says if his food causes his brother or sister to stumble, he will never eat meat again.
9:1-2	cvek				What proof did Paul offer that he was an apostle?	Paul says that because the Corinthian believers were his workmanship in the Lord, they themselves were proof of Paul’s apostleship in the Lord.
9:4-5	trtj				What did Paul list as some of the rights of the apostles, the brothers of the Lord, and Cephas?	Paul said they had the right to eat and drink and the right to take along with them a wife who is a believer.
9:7	mz5u				What examples did Paul give of those who receive benefits or pay from their work?	Paul mentions soldiers, one who plants a vineyard, and one who tends a flock as examples of those who receive benefits or pay from their work.
9:9	pe3c				What example from the law of Moses did Paul give to support the idea of receiving benefits or pay from one’s work?	To support his argument, Paul quoted the command, “Do not muzzle an ox when it is treading out the grain.”
9:12	a8jv				Why did Paul and his companions not claim their right to material benefits from the Corinthians?	Paul and his companions did not claim this right so they would not cause any hindrance to the gospel of Christ.
9:14	hba5				What did the Lord command concerning those who proclaim the gospel?	The Lord commanded that those who proclaim the gospel should get their living from the gospel.
9:16	rztd				What did Paul say he could not boast about, and why couldn’t he boast about it?	Paul said he couldn’t boast about preaching the gospel, because he had to preach the gospel.
9:19	o0pj				Why did Paul become a servant to all?	Paul became a servant to all in order that he might win more people to God.
9:20	uh18				Who did Paul become like in order to win Jews?	Paul became like a Jew in order to win Jews.
9:21	zqbb				Who did Paul become like in order to win those outside the law?	Paul became like those outside the law in order to win those outside the law.
9:23	fpvx				Why did Paul do all things for the gospel’s sake?	He did this so that he might participate in the blessings of the gospel.
9:24	dm5o				How did Paul say to run?	Paul said to run to win the prize.
9:25	mdrr				What kind of wreath was Paul running to receive?	Paul was running so that he might receive a wreath which does not perish.
9:27	ft21				Why did Paul subdue his body and make it a slave?	Paul did this so that after he had preached to others, he himself might not be disqualified.
10:1-4	eaaw				What common experiences did their fathers have in the time of Moses?	All were under the cloud and passed through the sea. All were baptized into Moses in the cloud and in the sea, and all ate the same spiritual food and drank the same spiritual drink.
10:4	ywzb				Who was the spiritual rock that followed their fathers?	Christ was the rock that followed them.
10:6	uqfr				Why was God not pleased with their fathers in the time of Moses?	He was not pleased because their fathers longed for evil things.
10:9-10	bjcw				By what means did God destroy the disobedient and grumbling people?	God destroyed them by snakes and the destroyer, the angel of death.
10:11	nxg7				Why did the things happen and why were they written down?	They happened as examples for us and they were written down for our instruction.
10:13	md71				Has any unique temptation happened to us?	No temptation has overtaken us that is not common to all humanity.
10:13	pcrh				What has God done to enable us to endure temptation?	He has provided the way of escape so that we may be able to endure temptation.
10:14	nt41				From what does Paul warn the Corinthian believers to run away?	He warns them to run away from idolatry.
10:16	t64w				What is the cup of blessing the believers bless, and what is the bread they break?	The cup is a sharing in the blood of Christ. The bread is a sharing in the body of Christ.
10:20	m2tj				To whom do the Gentile pagans offer their sacrifices?	They offer these things to demons and not to God.
10:20-21	mayf				Since Paul did not want the Corinthian believers to be participants with demons, what does he tell them they cannot do?	Paul tells them they cannot drink the cup of the Lord and the cup of demons, and they cannot have fellowship at the table of the Lord and the table of demons.
10:22	nqyj				What do we risk if we as believers of the Lord also participate with demons?	We risk provoking the Lord to jealousy.
10:24	uzgi				Should we seek our own good?	No. Instead, each one should seek the good of his neighbor.
10:27	g0lx				If an unbeliever invites you to eat a meal, and you wish to go, what should you do?	You should eat whatever is set before you without asking questions of conscience.
10:28-29	jgng				If your unbelieving host tells you the food you are about to eat came from a pagan sacrifice, why should you not eat it?	You shouldn’t eat it, for the sake of the person who informed you and for the sake of the other person’s conscience.
10:31	eyhg				What should we do to the glory of God?	We should do all things, including eating and drinking, to the glory of God.
10:32-33	anma				Why should we give no offence to Jews or to Greeks or to the church of God?	We should give no offence to them so that they may be saved.
11:1	zv18				Who did Paul tell the Corinthian believers to imitate?	Paul told them to imitate himself.
11:1	hxu8				Who did Paul imitate?	Paul was an imitator of Christ.
11:2	noh3				For what did Paul praise the Corinthian believers?	Paul praised them for remembering him in everything and for holding fast to the traditions just as he delivered them to the Corinthians.
11:3	fbzu				Who is the head of Christ?	God is the head of Christ.
11:3	p9ff				Who is the head of man?	Christ is the head of every man.
