Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	wxi8				What problem did King David have when he became old?	Although they covered King David with clothes, he could not stay warm.
1:4	ox0q				Although Abishag was beautiful and served the king and took care of him what did David not do with her?	The king did not have sexual relations with Abishag.
1:5	ii0a				How did Adonijah the son of Haggith exalt himself?	Adonijah wanted to be king, so he prepared for himself chariots and horsemen with fifty men to run ahead of him.
1:6	t9zi				Did King David discipline his son Adonijah and correct his actions?	No, King David had never troubled Adonijah by saying, “Why have you done this or that?”
1:7	v31o				Who were the two men who followed and helped Adonijah?	Joab and Abiathar helped Adonijah in his plot to become king.
1:9-10	o7b7				Who did Adonijah not invite to his sacrifice?	Adonijah did not invite Nathan the prophet, Benaiah, the mighty men, or his brother Solomon.
1:11-12	k670				Who warned Bathsheba the mother of Solomon that Adonijah had become king and that her life was in danger?	Nathan the Prophet warned Bathsheba that her life and the life of her son Solomon were in danger.
1:13	fog7				What questions did Nathan tell Bathsheba to ask King David?	Nathan the prophet told Bathsheba to ask David whether he promised that Solomon would be king, and why Adonijah was reigning.
1:17	oaez				What promise had King David sworn to Bathsheba?	David had sworn to Bathsheba that Solomon would be king after David died.
1:18-19	s4j1				What did Bathsheba tell King David that Adonijah had done?	Bathsheba told him that Adonijah had become king, without David knowing it, and that he had sacrificed animals in abundance
1:21	wabk				What did Bathsheba fear would happen when David died?	She feared that she and her son Solomon would be regarded as criminals
1:24	e2t9				What question did Nathan the prophet ask of King David?	Nathan asked him if David had said that Adonijah would reign after him and sit on his throne as king.
1:24-25	z0s0				Why did Nathan the prophet come to visit King David?	Nathan the prophet wanted to inform King David that Adonijah was setting himself up as King without David’s permission.
1:29-30	tdqt				What oath did King David make to Bathsheba?	David made an oath that Solomon the son of Bathsheba would reign after him and sit on his throne in David’s place.
1:32-33	x5oc				What did King David tell Zadok, Nathan, and Benaiah to do for his son Solomon?	King David told his three loyal subjects to take Solomon to Gihon on David’s own mule and to anoint him as king over Israel.
1:39-40	l17k				How did the people respond when Zadok anointed Solomon as king?	The people said “Long live King Solomon!” and rejoiced with great joy
1:51	te9w				What did Adonijah do when he heard the news that David had made Solomon the king of Israel?	Adonijah was afraid of Solomon, and went into the temple of God and took hold of the horns of the altar.
1:53	pl8u				What did King Solomon tell Adonijah to do when they brought him before Solomon?	King Solomon told Adonijah to go to his house.
2:3	ay0g				What did King David tell his son Solomon?	David told his son to always fear and obey God.
2:4	bw7z				What was Yahweh’s promise to David?	Yahweh promised that David would never cease to have a man on Israel’s throne.
2:6	rd3b				What did King David’s tell Solomon about Joab son of Zeruiah?	King David told Solomon not to let him go down to the grave in peace.
2:7	ns5w				What had the sons of Barzillai done for King David?	The sons of Barzillai had come to David when he fled from Absalom.
2:8	y99o				What had Shimei done to King David?	Shimei had violently cursed King David.
2:9	kyln				What did Kind David tell Solomon to do to Shimei?	David told Solomon not to let Shimei go free from punishment, but to bring him down to the grave with blood.
2:11	w7lq				How long did King David reign over Israel?	David reigned for forty years.
2:15	lw8c				What did Adonijah say to Bathsheba when he came to her?	Adonijah said that all Israel expected him to be King.
2:16	vpf0				What did Adonijah request from Bathsheba?	Adonijah requested that she ask Solomon for Abishag the Shunammite to be given to him as his wife.
2:21	ewoc				Why did Bathsheba go to Solomon?	Bathsheba went to Solomon to ask that Abishag would be given to Adonijah as his wife.
2:23	ph2z				What did King Solomon say in response to Bathsheba?	Solomon said that Adonijah had spoken this request at the cost of his life.
2:25	cjs9				Who did King Solomon send to execute Adonijah?	Solomon sent Benaiah son of Jehoiada to execute him.
2:27	sti8				What did King Solomon tell Abiathar the priest to do?	Solomon told Abiathar to go back to his fields and dismissed him from being priest.
2:28	bi6r				Where did Joab go to flee from Solomon?	Joab fled to the tent of Yahweh and took hold of the horns of the altar.
2:29	z2hg				What did King Solomon send Benaiah son of Jehoiada to do?	Solomon sent him to kill Joab.
2:30	mwk2				What did Joab say to Benaiah the son of Jehoiada?	Joab told him that he would not come out of the temple and would die at the altar.
2:31	ov8d				What did King Solomon tell Benaiah to do to Joab?	Solomon told Benaiah to do as Joab asked.
2:33	hcg4				Why did King Solomon want Joab to be killed?	Solomon wanted Joab to be killed because Joab attacked and killed Abner and Amasa without King David knowing about it.
2:35	uluh				What did King Solomon do to reward Benaiah son of Jehoiada?	Solomon put him in charge of the army.
2:36	dg65				Where did King Solomon allow Shimei to live?	Solomon told Shimei that he could live in Jerusalem.
2:37	futr				What warning did King Solomon give to Shimei when he allowed him to live in Jerusalem?	Solomon told Shimei that if he left Jerusalem to go any other place, he would be killed.
2:40	lobf				Why did Shimei saddle his donkey and leave Jerusalem to go to Gath?	Shimei went to Gath to bring back two of his servants who had run away from him.
2:44	skbb				What did King Solomon say that Shimei had done to Yahweh?	Solomon told Shimei that he had not kept his oath to Yahweh, and that Yahweh would return his wickedness back on his own head.
2:46	zjsu				What did King Solomon do when he was told that Shimei had left Jerusalem?	Solomon told Benaiah the son of Jehoiada to kill Shimei.
3:1	nzgm				How did King Solomon ally himself with Pharaoh king of Egypt?	Solomon allied himself to Pharaoh by marrying his daughter.
3:3	d4nz				What thing did King Solomon do that was not a statute of Yahweh?	Solomon sacrificed and burned incense at the shrines.
3:4	y6bg				Where was the great shrine located?	The great shrine was located in Gibeon.
3:5	bjsg				How did Yahweh appear to King Solomon?	Yahweh appeared to Solomon in a dream at night.
3:9	s9ia				What did King Solomon ask of Yahweh?	Solomon asked Yahweh to give him an understanding heart to judge his people.
3:10	gjlb				Did King Solomon’s request please the Lord?	Yes, Solomon’s request pleased the Lord.
3:12	rk7u				What did God give to King Solomon?	God gave Solomon a wise and understanding heart so that there was no one else like him.
3:13	tn2z				Did God give King Solomon something for which he did not ask?	Yes, God gave Solomon both riches and honor.
3:14	j0gy				What did God say he would do if Solomon walked in God’s statutes and commands as King David did?	God said he would lengthen Solomon’s days.
3:15	dy3c				What did King Solomon do after he woke up from sleeping?	Solomon came to Jerusalem and offered burnt offerings and peace offerings and made a feast for his servants.
3:16	me8d				Who came and stood before King Solomon?	Two women who were prostitutes came and stood before Solomon.
3:20	f6aa				What did the one woman say to King Solomon?	The one woman said that the other woman took her living son from her and laid the other woman’s dead son at her breast while she slept.
3:25	ob71				What command did King Solomon give to his servants?	Solomon said to bring a sword and divide the living child in two and give the parts to the two women.
