Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-2	s10b				Who were the two wives of Elkanah?	The wives of Elkanah were Hannah and Peninnah.
1:2	hjmd				How many children did Hannah have?	Hannah had no children.
1:5	vmrz				Why did Elkanah give a double portion to Hannah?	He gave a double portion to Hannah because he loved her.
1:6	dka6				Why did Hannah’s rival provoke her?	She provoked Hannah in order to irritate her, beause Yahweh had closed her womb.
1:9-10	wvqr				What did Hannah do because she was so deeply distress about not having children?	She went to the house of Yahweh and prayed and wept bitterly.
1:11	wm8k				What did Hannah vow to Yahweh?	Hannah vowed that if Yahweh would give her a son, she would give him to Yahweh and no razor would touch his head.
1:12-14	iptr				Because Hannah was speaking to Yahweh from her heart, what did Eli, the priest, think about her actions?	Eli saw Hannah’s lips moving but didn’t hear her voice, so he thought she was drunk from wine.
1:15-16	jd1k				What did Hannah assure Eli she was doing?	Hannah assured Eli that she was not drunk but was speaking to Yahweh from her heart.
1:17-18	v2fu				What did Eli say to Hannah that caused her to go on her way, eat and no longer feel sad?	Eli told her to go in peace and asked the God of Israel to grant her the request she was asking him.
1:20	fogg				When Hannah conceived and gave birth to a son, what did she name him?	Hannah named her son Samuel because she asked for him from Yahweh.
1:21-23	a19c				Why did Hannah not go with her husband to the temple for the yearly sacrifice?	Because she was still nursing her son.
1:24-25	jwfq				What did Hannah take with her, along with her son, to the house of Yahweh to give to Eli the priest?	Hannah took a sacrifice of a three year old bull, one ephah of meal, and a bottle of wine to give to the priest.
1:26-28	ftp6				What did Hannah give Yahweh?	Hannah gave her son to Yahweh for as long as he would live.
2:1	tume				Why did Hannah speak boldly over her enemies?	Hannah spoke boldly because she rejoices in Yahweh’s salvation.
2:3	o5f2				Why does Hannah say that we should not boast or speak arrogantly?	We should not boast or speak arrogantly because Yahweh is a God of knowledge and by him all actions are weighed.
2:5	vseh				In Hannah’s song, who is the one who is filled with sorrow?	The woman who has many children is filled with sorrow.
2:6	u8yn				Who decides death and life, if one goes down to Sheol or is raised up?	Yahweh is the one who decides death and life, and Sheol or raised up.
2:7	ec6e				Who makes the poor and the rich?	Yahweh makes the poor, and he makes the rich.
2:8	io4k				Who raises up the poor and lifts the needy to sit in the seat of honor?	Yahweh raises them up to sit at the seat of honor.
2:9	kurn				Who does Hannah say will guard the feet of his faithful people and silence the wicked in darkness?	Yahweh will guard their feet and silence the wicked.
2:10	y2mu				Who judges the ends of the earth and gives strength to his king?	Yahweh judges the ends of the earth and gives strength to his king.
2:11	pjpt				What child served Yahweh in the presence of Eli the priest?	Samuel served Yahweh in the presence of Eli the priest.
2:12	ecfh				Whose sons were evil men?	Eli the priest’s sons were evil men.
