Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	zb7r				Why was Solomon, the son of David, strengthened in his rule?	Solomon was strengthened in his rule because Yahweh was with him and made him very powerful.
1:2-5	nklm				What items were present for worship as Solomon went to the shrine that was at Gibeon?	There was the tent of meeting or tabernacle which Moses made in the wilderness, and the bronze altar that Bezalel had made, but the ark of God had been taken from Kiriath Jearim to a tent in Jerusalem.
1:6-7	iwdq				What did Solomon do before Yahweh approached him with the question, “What should I give you”?	Solomon worshipped Yahweh at the bronze altar by offering one thousand burnt offerings.
1:8-10	rzo4				Why did Solomon ask Yahweh to give him wisdom and knowledge?	Solomon asked Yahweh to give him wisdom and knowledge so that he could lead the people of Israel who were many in number.
1:11	rwjb				Why did God give Solomon wisdom and knowledge?	God gave Solomon wisdom and knowledge because he did not ask for riches, wealth, honor, the death of those who hated him nor long life for himself, but for God’s help in ruling over his people.
1:12	yzhh				What did God give to Solomon along with wisdom and knowledge?	God gave Solomon what he did not ask for: riches, wealth, and honor above any of the kings before him.
1:14-15	nira				In what ways was the wealth of Solomon seen by all?	Solomon had 1,400 chariots and twelve thousand horsemen, silver and gold were as common as stone, and cedar wood was as common as the sycamore trees in the lowlands.
2:1-3	ktex				Why did Solomon ask Hiram to send him cedar logs as he did for his father David?	Solomon asked Hiram to send him cedar logs so he could build a house for Yahweh’s name and a palace for his kingdom.
2:4-5	haek				Why did Solomon plan to build a house for the name of Yahweh that would be very large?	Solomon planned to build a large house for the name of Yahweh because his God was greater than all other gods.
2:7	l243				Who did Solomon need if he was to build a house for the name of Yahweh which reflected Yahweh’s greatness?	Solomon needed a man who was skilled at work in gold, sliver, bronze, iron, and in purple, crimson, blue woolm and who could make all kinds of engraved wood.
2:8-9	gwe3				Why did Solomon want Hiram to send him cedar, fir, and algum trees from Lebanon?	Solomon wanted Hiram to send these trees to him so that the house which he would build for the name of Yahweh would be great and marvelous.
2:11-12	l6pc				According to Hiram, why did Yahweh make Solomon the king over the people of Israel?	According to Hiram, Yahweh made Solomon the king because Yahweh loved his people and Solomon was gifted with prudence and understanding.
2:13-14	k7lh				Why did Hiram send Huramabi to Solomon?	Hiram sent Hurambi because he was skilled at work in gold, silver, bronze, iron, stone, and in timber, and in purple, blue, crimson wool, and fine linen as well as in making any kind of engravings.
2:16	g8bt				How was it possible for the wood from Lebanon to be taken to Israel?	The wood from Lebanon was taken to Israel as rafts by sea to Joppa and then carried up to Jerusalem.
3:1-2	s6s9				Why did Solomon begin to build the house of Yahweh at the threshing floor of Ornan the Jebusite on Mount Moriah?	Solomon began to build the house of Yahweh there because that was where Yahweh had appeared to David his father.
3:3	xnho				What were the dimensions of the foundation which Solomon laid for the house of God?	The dimensions of the foundation for the house of God was sixty cubits long and twenty cubits wide, using the old style cubit.
3:4	v5f0				How high was the portico at the front of the house?	The portico was twenty cubits.
3:8-9	v55m				What was used to overlay the most holy place?	The most holy place was overlaid with fine gold.
3:15-17	r6km				What did Solomon put on the two pillars in front of the house of God?	Solomon joined one hundred pomegranates to the chains which he placed on top of the pillars.
4:1	sgpt				What were the dimensions for the altar of bronze?	The altar of bronze was twenty cubits long, twenty cubits wide, and ten cubits high.
4:2	tn6r				How big was the round sea of cast metal?	The round sea was ten cubits from brim to brim. It was five cubits high and thirty cubits in circumference.
4:6	f4g8				What was the purpose of the sea which Solomon built for the temple?	The sea was for the priests to wash in.
4:7	kt9p				How did Solomon know how to make the ten lampstands of gold?	Solomon made the ten lampstands of gold from the instructions for their design.
4:12-13	edo8				What was the work which Huram finished for King Solomon in the house of God?	Huram finished the work on the two pillars, the bowls, the decorative latticework, and the four hundred pomegranates.
4:14-16	u3ig				What did Huramabi make of polished bronze for King Solomon for the house of Yahweh?	Huramabi made the stands and the basins, one sea and the twelve bulls under it, and many implements.
4:18	alzj				What was the weight of the bronze for all of the vessels Solomon made?	The weight of the bronze all the vessels Solomon made could not be known.
4:20	wnts				What were the lampstands with their lamps that were designed to burn before the inner room made of?	The lampstand with their lamps were made of pure gold.
5:1	ddp2				Where did Solomon put the things which David had dedicated to God?	Solomon put all the things including the silver, gold, and all the furnishings, into the storerooms of the house of God.
5:2-3	fngl				What did Solomon decide to do next?	Solomon assembled the leaders of Israel to bring up the ark of the covenant of Yahweh from the city of David.
5:4-6	plzj				What did King Solomon and all the assembly of Israel do when the Levites brought up the ark of the covenant?	King Solomon and all the assembly of Israel came together sacrificing many sheep and oxen.
5:7-8	c7pc				Where did the priests place the ark of the covenant of Yahweh?	The priests placed the ark of the covenant of Yahweh in the most holy place under the wings of the cherubim.
5:9-10	zd2s				What items were in the ark of the covenant?	There was nothing in the ark of the covenant except the two tablets that Moses had put there at Horeb.
5:11-12	o7wd				What did all the Levites do after the priests came out of the holy place?	The Levites, who were clothed in fine linen, stood at the east end of the altar playing cymbals, harps, and lyres.
5:13	s5yi				How did the trumpeters and singers praise Yahweh?	The trumpeters and singers made music together, singing, “For he is good, for his covenant loyalty endures forever.”
5:14	ypkp				Why were the priests unable to stand in order to serve?	The priests could not stand because the cloud, which was the glory of Yahweh, filled Yahweh’s house.
6:1-2	auz2				How had Solomon improved the place where Yahweh would live?	Yahweh had said he would live in thick darkness, but Solomon built him a lofty residence in which he would live forever.
6:4-6	bazr				Where did Yahweh finally decide to live and whom did he chose to rule over Israel?	Yahweh had chosen no city in which to build his house nor any man to be prince over Israel, but he then chose Jerusalem as the city and David to be over Israel.
6:7-9	h15u				What did Yahweh say to David to keep him from fulfilling the desire of his heart?	Yahweh had told David, “It was in your heart to build a house for my name, but your son will build it instead.”
6:10-11	egby				How did Yahweh carry out the word that he had spoken?	Yahweh carried out the word he had spoken by having Solomon sit on David’s throne, build the house for the name of Yahweh, and place the ark within it.
6:12-13	vz0f				How did Solomon stand before the altar of Yahweh?	Solomon stood on a bronze platform, knelt down before all the assembly of Israel, and spread out his hands toward the heavens.
6:14-15	mx1r				What does Yahweh do for the servants who walk before him with all their heart?	Yahweh keeps covenant and covenant faithfulness with his servants who walk before him with all their heart.
6:16-17	qlq0				What is the promise which Yahweh made to his servant David?	Yahweh told David that he would not fail to have a man from his tribe sit on the throne of Israel if his descendants were careful to walk in Yahweh’s law.
6:19-20	xx15				What was the basic request which Solomon made of Yahweh?	Solomon requested that Yahweh listen to his cry and prayer so that his eyes would be open on the temple day and night.
6:21	qb4z				What did Solomon want Yahweh, the God of Israel, to do after Yahweh listened to the requests of Solomon and the people of Israel?	Solomon wanted Yahweh to forgive.
