Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	bpjr				To whom did Luke address this book?	Luke addressed this book to Theophilus.
1:3	ve8f				What did Jesus do for forty days after his suffering?	Jesus appeared alive to his apostles, saying things about the kingdom of God.
1:4	qacc				For what did Jesus command his apostles to wait?	Jesus told his apostles to wait for the promise of the Father.
1:5	zs4j				With what would the apostles be baptized in a few days?	The apostles would be baptized with the Holy Spirit.
1:7	b10x				When the apostles wanted to know the timing of the restoration of the kingdom, how did Jesus answer them?	Jesus told them that it was not for them to know the time.
1:8	q5vv				What did Jesus tell the apostles they would receive from the Holy Spirit?	Jesus said the apostles would receive power.
1:8	noge				Where did Jesus say the apostles would be his witnesses?	Jesus said the apostles would be witnesses in Judea, Samaria, and to the ends of the earth.
1:9	j1c1				How did Jesus depart from his apostles?	Jesus was raised up and a cloud hid him from their eyes.
1:11	dlze				How did the angels say that Jesus would return again to the earth?	The angels said that Jesus would return in the same way he went into heaven.
1:14	j3r6				What were the apostles, the women, Mary, and Jesus’ brothers doing in the upper chamber?	They were diligently praying.
1:16	iizu				What had been fulfilled in the life of Judas, who betrayed Jesus?	The scripture had been fulfilled by Judas.
1:18	ethl				What happened to Judas after he received the money for betraying Jesus?	Judas bought a field, fell head first, his body burst wide open, and all his bowels poured out.
1:20	quxi				In the book of Psalms, what did it say should happen with Judas’ position of leadership?	The Psalms said that Judas’ position of leadership should be fulfilled by someone else.
1:21-22	xj9p				What were the requirements for the man who would take Judas’ position of leadership?	The man taking the position must have accompanied the apostles from the time of the baptism of John, and must have witnessed the resurrection of Jesus.
1:24-26	s4zm				How did the apostles determine which of the two candidates should take Judas’ position?	The apostles prayed that God reveal His choice, and then they cast lots.
1:26	ks3s				Who was then numbered with the eleven apostles?	Matthias was then numbered with the eleven apostles.
2:1	bi7w				On what Jewish festival day were all the disciples together?	The disciples were together on the day of Pentecost.
2:4	zobx				When the Holy Spirit came into the house, what did the disciples begin to do?	The disciples began to speak with other languages.
2:5	ak49				At this time in Jerusalem, from where had godly Jews come?	The godly Jews had come from every nation under heaven.
2:6	n6b5				Why was the multitude confused when they heard the disciples speaking?	The multitude was confused because everyone heard them speaking in his own language.
2:11	oncl				About what were the disciples speaking?	The disciples were telling about the mighty works of God.
2:13-15	ojql				What did some who were mocking the disciples think?	Some mocked and thought they were full of new wine.
2:16-20	p5qj				What did Peter say was being fulfilled at this time?	Peter said the prophecy of Joel was being fulfilled that said God would pour out his Spirit upon all flesh.
2:21	khwx				In Joel’s prophecy, who are the ones that will be saved?	Those who call on the name of the Lord will be saved.
2:22	cina				How was Jesus’ ministry authenticated by God?	Jesus’ ministry was authenticated by the mighty works and wonders and signs which God did through him.
2:23	gr6w				Whose plan was it that Jesus be crucified?	Jesus was crucified by God’s determined plan.
2:25-27	a4m2				In the Old Testament, what did King David prophesy about God’s Holy One?	King David said that God would not allow his Holy One to see decay.
2:30	ni49				What promise had God made to King David about his descendants?	God had promised King David that one of his descendants would sit upon his throne.
2:31	qqli				In the Old Testament, what did King David prophesy about God’s Holy One?	King David said that God would not allow his Holy One to see decay.
2:32	hno7				Who was God’s Holy One who did not see decay and would sit upon the throne?	Jesus was the prophesied Holy One and King.
2:36	jegc				Peter preached that God had now given Jesus what two titles?	God had made Jesus both Lord and Christ.
2:37	xm2o				When the multitude heard Peter’s preaching, what was their response?	The multitude asked what they should do.
2:38	ql6u				What did Peter tell the multitude to do?	Peter told the multitude to repent and be baptized in the name of Jesus Christ for the forgiveness of their sins.
2:39	iq1i				For whom did Peter say was God’s promise?	Peter said God’s promise was for the multitude, their children, and all who were far off.
2:41	pubz				How many people were baptized that day?	About three thousand people were baptized.
2:42	tlei				In what did the baptized people continue?	They continued in the apostles’ teaching and fellowship, in the breaking of bread and in prayers.
2:44-45	n3ej				What did those who believed do to help those in need?	They sold their property and possessions and distributed them to all, as anyone had need.
2:46	mu6c				Where were the believers meeting at this time?	The believers were meeting in the Temple.
2:47	po4s				Who was adding day by day to the group of believers?	The Lord added day by day those who were being saved.
3:2	dza4				Who did Peter and John see on their way into the Temple?	Peter and John saw a man lame from birth who begged at the Temple door.
3:6	caoy				What did Peter not give to the man?	Peter did not give to the man silver and gold.
3:7	efxt				What did Peter do for the man?	Peter gave the man the ability to walk.
3:8	b2rw				How did the man react to what Peter gave him?	The man entered the Temple walking, leaping, and praising God.
3:10	g7co				How did the people react who saw the man in the Temple?	The people were filled with wonder and amazement.
3:15	g25l				What did Peter remind the people they had done with Jesus?	Peter reminded the people that they had killed Jesus.
3:16	hu53				What did Peter say had made the man well?	Peter said that faith in Jesus’ name had made the man well.
3:19	um3z				What did Peter tell the people to do?	Peter told the people to repent.
3:21	p91w				Peter said that the heavens would receive Jesus until what time?	Peter said that until the time of restoration of all things, Jesus would be received in the heavens.
3:22	d589				What did Moses say about Jesus?	Moses said that the Lord God would raise up a prophet like himself to whom the people would listen.
3:23	bnr7				What will happen to every person who does not listen to Jesus?	The person who does not listen to Jesus will be completely destroyed.
3:25	dfo9				Of what Old Testament covenant promise did Peter remind the people?	Peter reminded the people that they were sons of the covenant God made with Abraham when God said, “In your seed shall all the families of the earth be blessed.”
3:26	xouf				How did God desire to bless the Jews?	God desired to bless the Jews by sending Jesus to them first to turn them from their wickedness.
4:2	bou2				What were Peter and John teaching the people in the Temple?	Peter and John were teaching about Jesus and his resurrection from the dead.
4:3	oct4				How did the rulers of the Temple, the priests, and the Sadducees react to Peter and John’s teaching?	They arrested Peter and John and put them in jail.
4:4	j6mc				How did the people react to Peter and John’s teaching?	Many people believed, about five thousand.
4:10	ir4l				By what power or in what name did Peter say he had healed the man in the Temple?	Peter said that in the name of Jesus Christ he had healed the man in the Temple.
4:12	h7t2				What did Peter say was the only way by which we may be saved?	Peter said that there is no other name except Jesus by which we may be saved.
4:14	m7c2				Why could the Jewish leaders say nothing against Peter and John?	The leaders could say nothing because the man who had been healed was standing with Peter and John.
4:18	va4m				What did the Jewish leaders command Peter and John not to do?	The Jewish leaders commanded Peter and John not to speak or teach about Jesus.
4:20	fg4b				How did Peter and John answer the Jewish leaders?	Peter and John said that they could not help but speak about the things they had seen and heard.
4:29-30	zgg2				What did the believers ask for from God in response to the warnings from the Jewish leaders?	The believers asked for boldness to speak the word, and for signs and wonders to be done in Jesus’ name.
4:31	s32l				What happened after the believers finished their prayer?	After the believers finished their prayer, the place they were gathered was shaken, they were filled with the Holy Spirit, and they spoke the word of God with boldness.
4:32	dr85				How were the needs of the believers provided for?	The believers had all things in common, and those who owned property sold it and gave the money to be distributed according to need.
4:34-35	olxk				How were the needs of the believers provided for?	The believers had all things in common, and those who owned property sold it and gave the money to be distributed according to need.
4:36	s71k				What was the new name, meaning the “Son of Encouragement,” given to the man who sold his field and gave the money to the apostles?	The new name given to Joseph, who sold his field and gave the money to the apostles, was "Barnabas."
5:1-2	tbrn				What sin did Ananias and Sapphira commit?	Ananias and Sapphira lied, saying that they were giving the entire sale price of their property, but actually only giving a part of the sale price.
5:3-4	blzo				To whom did Peter say Ananias and Sapphira had lied?	Peter said that Ananias and Sapphira had not lied to men, but to the Holy Spirit.
5:5	rszk				What was God’s judgment on Ananias?	God killed Ananias.
5:10	a6u4				What was God’s judgment on Sapphira?	God killed Sapphira.
5:11	kpmp				What was the reaction of the church and all who heard about Ananias and Sapphira?	Great fear came upon the church and all who heard about Ananias and Sapphira.
5:15-16	qhkh				What were some people doing to have the sick healed?	Some were carrying the sick into the streets so Peter’s shadow might fall on them, and others brought the sick from other towns to Jerusalem.
5:17-18	kxdc				How did the Sadducees react to all of the sick being healed in Jerusalem?	The Sadducees were filled with jealousy and put the apostles in jail.
5:19	l8ow				How did the apostles get out of jail?	An angel came and opened the doors of the jail and let them out.
5:23	kyrz				What did the officers of the high priest find when they went to the jail?	The officers found the jail securely shut, but no one inside.
5:26	bzx1				Why did the officers bring the apostles back to the high priest and council without violence?	The officers feared that the people might stone them.
5:29	cr64				When questioned about why they were teaching in Jesus’ name when they had been charged not to, what did the apostles say?	The apostles said, “It is necessary to obey God rather than men.”
5:30	hced				Who did the apostles say was responsible for killing Jesus?	The apostles said that the high priest and council members were responsible for killing Jesus.
5:33	w5d6				How did the council members react to the statement that they were responsible for killing Jesus?	The council members were furious and wanted to kill the apostles.
5:38-39	hluy				What was Gamaliel’s advice to the council?	Gamaliel advised the council to leave the men alone.
5:39	mhbl				What did Gamaliel warn the council they might end up doing if they tried to overthrow the apostles?	Gamaliel warned the council that they might end up fighting against God.
5:40	etag				What did the council finally do with the apostles?	The council beat them and commanded them not to speak in the name of Jesus, and let them go.
5:41	m1el				How did the apostles react to the treatment they received from the council?	The apostles rejoiced that they were counted worthy to suffer dishonor for Jesus’ name.
5:42	kfh4				What did the apostles do every day after their meeting with the council?	The apostles preached and taught every day that Jesus is the Christ.
6:1	ijzu				What complaint arose from the Grecian Jews against the Hebrews?	The Grecian Jews complained that their widows were being overlooked in the daily food distribution.
6:3	or7v				Who chose the seven men to take care of the business of food distribution?	The disciples (brothers) chose the seven men.
6:3	u5ro				What were the qualifications for being chosen as one of the seven men?	The seven men had to be of good reputation, full of the Spirit and of wisdom.
6:4	hfdc				In what would the apostles continue?	The apostles would continue in prayer and in the ministry of the word.
6:6	l1sy				What did the apostles do when the believers brought the seven men before them?	The apostles prayed and placed their hands upon the seven men.
6:7	s1cn				What was happening with the disciples in Jerusalem?	The number of disciples was greatly increasing, and it was including a great number of the priests.
6:10	b4fl				Who was winning the debates between the unbelieving Jews and Stephen?	The unbelieving Jews could not stand against the wisdom and Spirit with which Stephen spoke.
6:14	ji1y				What accusation did the false witnesses make against Stephen to the council?	The false witnesses claimed that Stephen said Jesus would destroy this place and change the customs of Moses.
6:15	wpuh				When the council looked at Stephen, what did they see?	They saw that his face was like the face of an angel.
7:2	u1f1				Stephen began to review the history of the Jewish people beginning with God’s promise to whom?	Stephen began his history by talking about God’s promise to Abraham.
7:5	ae68				What was God’s promise to Abraham?	God promised land to Abraham and his descendants.
7:5	hv89				Why did God’s promise to Abraham seem impossible to fulfill?	God’s promise seemed impossible because Abraham had no children.
7:6	q4ib				What did God say would first happen to Abraham’s descendants for 400 years?	God said Abraham’s descendants would be slaves in a foreign land for 400 years.
7:8	a7pl				What covenant did God give to Abraham?	God gave Abraham the covenant of circumcision.
7:9	stqg				How did Joseph become a slave in Egypt?	His brothers were jealous of him and sold him into Egypt.
7:10	pnme				How did Joseph become governor over Egypt?	God gave Joseph favor and wisdom in the presence of Pharaoh.
7:12-13	onvz				What did Jacob do when there was famine in Canaan?	Jacob sent his sons to Egypt because he heard there was grain there.
7:14	kdpl				Why did Jacob and his relatives move to Egypt?	Joseph sent his brothers to tell Jacob to come to Egypt so he could provide them with food during the famine.
7:17	qc45				What happened to the number of Israelites in Egypt as the time promised to Abraham drew near?	The number of Israelites in Egypt grew and multiplied.
7:19	x8zh				How did the new king of Egypt try to reduce the number of Israelites?	The new king of Egypt forced the Israelites to cast out their infants so they would not survive.
7:21	e77c				How did Moses survive being thrown out?	Pharaoh’s daughter took Moses and raised him as her own son.
7:22	yeub				How was Moses educated?	Moses was educated in all the learning of the Egyptians.
7:24	wmvx				When he was 40 years old, what did Moses do when he saw an Israelite being mistreated?	Moses defended the Israelite and struck the Egyptian.
7:29	r6b0				To where did Moses flee?	Moses fled to Midian.
7:30	ycf8				When Moses was 80 years old, what did Moses see?	Moses saw an angel in a flame of fire in a bush.
7:34	easv				Where did the Lord command Moses to go, and what was God going to do there?	The Lord commanded Moses to go to Egypt, because God was going to rescue the Israelites.
7:36	ohne				How long did Moses lead the Israelites in the wilderness?	Moses led the Israelites in the wilderness for 40 years.
