Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	t85j				When did Nebuchadnezzar king of Babylon come to Jerusalem to surround the city and cut off all suppliles to it?	Nebuchadnezzar came to Jerusalem in the third year of the reign of Jehoiakim king of Judah.
1:2	f2nj				Who gave Nebuchadnezzar victory over Jehoiakim king of Judah?	The Lord gave Nebuchadnezzar victory over Jehoiakim.
1:3	xubo				What did the king tell Ashpenaz to do?	The king told Ashpenaz to bring in some of the people of Israel, both of the royal family and of the nobility.
1:4	s19d				What kind of young men did the king want to be brought in to Babylon?	The king wanted young men without blemish, attractive in appearance, skillful in all wisdom, filled with knowledge and understanding, qualified to serve in the king’s palace.
1:5	nz9t				What were these young men to be fed?	They were to be fed a daily portion of the king’s delicacies and some of the king’s wine.
1:6-7	uihu				What was the name of some of these young men from Israel and what names were they given by the chief official?	The names of some of these young men and the names given to them by the chief official were: Daniel called Belteshazzer, Hananiah called Shadrach, Mishael called Meshach, and Azariah called Abednego.
1:8	w4qo				What did Daniel intend in his mind?	Daniel intended in his mind that he would not pollute himself with the king’s delicacies or the king’s wine.
1:10	xvis				How did the chief official respond when Daniel asked him for permission not to pollute himself with the king’s delicacies and wine?	The chief official told Daniel that he was afraid of the king, that the king had commanded what food and drink Daniel should have and that the king might have the chief official’s head if the king saw Daniel looking worse than the other young men of Daniel’s own age.
1:11-13	n77u				What did Daniel ask of the steward who had been assigned over Daniel, Hananiah, Mishael and Azariah?	Daniel asked the steward to test them for ten days by giving them only vegetables to eat and water to drink and at the end of ten days to compare them with the other young men who ate the king’s delicacies and then to treat them based of what he saw.
1:14-15	z8tu				After the steward agreed to the test, what did he observe after ten days when he compared Daniel, Hananiah, Mishael and Azariah to the other young men?	The steward observed that the appearance of Daniel, Hananiah, Mishael and Azariah was more healthy, and that they were better nourished than all the young men who ate the king’s delicacies.
1:17	na41				What did God give to Daniel, Hananiah, Mishael and Azariah?	God gave them knowledge and insight in all literature and wisdom, and Daniel could understand all kinds of visions and dreams.
1:19-20	uffy				What did the king find when he spoke with the whole group of young men?	The king found that there were none to compare with Daniel, Hananiah, Mishael and Azariah. In every question of wisdom and knowledge that the king asked them, he found them ten times better than all the magicians and those who claimed to speak with the dead, who were in his entire kingdom.
1:21	rs4c				How long was Daniel in Babylon?	He was there until the first year of King Cyrus.
2:1	k26r				When did Nebuchadnezzar have dreams that troubled his mind so that he could not sleep?	This occurred in the second year of his reign.
2:2	wlvi				Why did the king summon the magicians, the sorcerers, the wise men and those who claimed to speak for the dead?	The king wanted these men to tell him about his dreams.
2:5	vgxd				What did the king specifically want the wise men to do?	The king wanted the wise men to reveal the dream to him and also to interpret the dream for the king.
2:5	dse9				What did the king say would happen to the wise men if they failed to tell the king his dream and interpret it for him?	The king said if they failed, the bodies of the wise men would be torn apart and their houses made into hills of dung.
2:6	dzrg				What did the king say he would do for the person or people who revealed the dream to him and interpreted it?	The king said he would give that person or persons gifts, a reward, and great honor.
2:10-11	hkhh				Who did the wise men say could do what the king asked concerning his dream?	The wise men said that there was not a man on earth who could meet the king’s demand, only the gods could do that.
2:13	jiow				After the wise men’s reply to Nebuchadnezzar, what did the king decree?	The king decreed that all those known for their wisdom were to be put to death.
2:14	tffi				Who was Arioch?	He was the commander of the king’s bodyguard, the one the king appointed to kill everyone who was wise in Babylon.
2:14-15	mpnf				How did Daniel interact with Arioch, when he came to Daniel?	Daniel replied with prudence and discretion to Arioch. He asked Arioch why the king’s decree was so urgent.
2:16	ps76				What did Daniel request after speaking with Arioch?	Daniel went in and requested an appointment with the king so he could present the interpretation to the king.
2:19	aaxn				What did Daniel do after the secret was revealed to him?	Daniel praised the God of heaven.
2:23	s4p6				For what did Daniel thank the God of his ancestors?	Daniel thanked the God of his ancestors for the wisdom and power the God of his ancestors had given him.
2:24	jw14				Who did Daniel go see after the secret was revealed to him?	Daniel went in to see Arioch.
2:24	p670				What did Daniel tell Arioch?	Daniel told Arioch not to kill the wise men in Babylon. Daniel told Arioch to escort him before the king so Daniel could tell the king the dream’s meaning.
2:28	xhcq				When Daniel was brought in to the king, who did Daniel say could reveal the mystery the king had demanded?	Daniel said there is a God who lives in the heavens, who reveals secrets.
2:28	mu0f				In general what did Daniel say the king’s dream was about?	Daniel said the dream was about what would happen in the days to come.
2:30	r1bg				Why was the dream revealed to Daniel?	The dream was revealed to Daniel so that the king might understand the meaning and know the thoughts deep within himself.
2:31-32	cwpd				What did the statue that the king saw in his dream look like?	The statue was large and had a head of gold, breast and arms of silver, its middle and thighs were bronze, its legs of iron and its feet part iron and part clay.
2:34-35	cnl1				What happened to the statue the king saw in his dream?	The king saw a stone cut, but not by human hands. The stone struck the statue’s feet and the whole statue shattered into pieces which the wind carried away.
2:35	szdb				What happened to the stone that struck the statue?	The stone that struck the statue became a great mountain and filled the whole earth.
2:38	aje5				Who was the head of gold?	King Nebuchadnezzar was the head of gold.
2:44	laj7				What will the God of heaven do in the days of the kingdom that is partly iron and partly clay?	In those days the God of heaven will set up a kingdom that will never be destroyed or conquered by another people.
2:46	sgif				What did Nebuchadnezzar command to be done for Daniel after he finished telling the king the dream and its interpretation?	The king commanded an offering to be made and incense be offered up to Daniel.
2:47	auy7				What did Nebuchadnezzar say concerning Daniel’s God?	Nebuchadnezzar said Daniel’s God is the God of gods, the Lord of kings and the one who reveals secrets.
2:49	t9cp				What did Nebuchadnezzar do after Daniel made a request of the king?	The king appointed Shadrach, Meshach, and Abednego to be administrators over the province of Babylon.
3:1	vsqs				What were the dimensions of the gold statue that king Nebuchadnezzar made and set up on the Plain of Dura?	The statue was sixty cubits tall and six cubits wide.
3:3	hpr5				Who came to the dedication of the statue that Nebuchadnezzar had made?	The provincial governors, regional governors, and local governors, together with the counselors, treasurers, judges, magistrates and all the high officials of the provinces came to the dedication.
3:4-5	n7q6				What did Nebuchadnezzar want those in attendance at the dedication to do?	He wanted those in attendance to fall down and prostrate themselves to the golden statue when they heard the sound of the horns, flutes, zithers, lyres, harps, and pipes, and all kinds of music.
3:6	ol8n				What did the king command to happen to those who didn’t fall down and worship the statue when they heard all the instruments and the music?	The king said that those who wouldn’t fall down and worship, at that very moment, would be thrown into a blazing furnace.
3:8	l1nr				Who brought accusations against Shadrach, Meshach, and Abednego?	Certain Chaldeans came and brought accusations against them.
3:12	dvlq				Who didn’t fall down and worship the statue?	Certain Jews, their names being Shadrach, Meshach, and Abednego, would not fall down and worship the statue.
3:17-18	n0d5				What was the response of Shadrach, Meshach and Abednego to the king when the king repeated the command to fall down and worship the statue, and stated the consequences if they didn’t follow the king’s command?	Shadrach, Meshach and Abednego responded that their God could and would keep them safe and rescue them from the blazing furnace. But even if not, they would not worship Nebuchadnezzar’s gods or prostrate themselves to the statue.
3:19-20	qys5				What did Nebuchadnezzar command concerning Shadrach, Meshach and Abednego?	Nebuchadnezzar ordered the furnace to be heated seven times hotter than normal, and for Shadrach, Meshach and Abednego to be tied up and thrown into the furnace.
3:22-23	ahg7				What happened to Shadrach, Meshach, Abednego and the men who took them to put them in the furnace?	The men who took up Shadrach, Meshach and Abednego were killed by the very hot flames from the furnace and Shadrach, Meshach and Abednego fell into the furnace.
3:25	p3tg				What caused Nebuchadnezzar to be amazed and stand up quickly?	Nebuchadnezzar was amazed because he saw four men, not tied up, walking around in the fire and they weren’t hurt and the brilliance of the fourth man was like a son of the gods.
3:27	y6oi				What did those present observe about Shadrach, Meshack and Abednego after they came out of the fire.	Those present observed that the fire had not hurt their bodies; the hair on their heads was not singed; their robes were not harmed; and there was no smell of fire on them.
3:29	nja9				What decree did Nebuchadnezzar issue after the event of Shadrach, Meshach and Abednego and the blazing furnace?	Nebuchadnezzar decreed that any people, nation or language that spoke anything against the God of Shadrach, Meshach and Abednego would be torn apart, their houses would be made into hills of sewage because there was no other god who was able to save like that.
3:30	wett				What did the king do for Shadrach, Meshach and Abednego?	Nebuchadnezzar, the king, promoted Shadrach, Meshach and Abednego in the province of Babylon.
4:1	x2h2				To whom did Nebuchadnezzar send the decree?	Nebuchadnezzar sent the decree to all peoples, nations, and languages who lived on the earth.
4:2	fpar				Why did Nebuchadnezzar send the decree?	Nebuchadnezzar sent the decree to tell everyone about the signs and wonders the Most High had done for him.
4:3	lk9j				What did Nebuchadnezzar say about the Most High?	Nebuchadnezzar said about the Most High, “How great are his signs, and how mighty are his wonders! His kingdom is an everlasting kingdom, and his dominion lasts from generation to generation.”
4:5	miye				What made Nebuchadnezzar afraid?	A dream Nebuchadnezzar made him afraid.
4:6	mn8x				Why did Nebuchadnezzar issue a decree to bring before him all the wise men of Babylon?	Nebuchadnezzar wanted the wise men of Babylon to come and interpret his dream for him.
4:8-9	ud2s				What was Daniel’s Babylonian name and what was Daniel’s position in Nebuchadnezzar’s kingdom?	Daniel’s Babylonian name was Belteshazzar and he held the position of “chief of the magicians”.
4:8-9	trqj				Who did Nebuchadnezzar believe was able to tell the interpretation of his dream?	Nebuchadnezzar believed Daniel could interpret his dream for him, for Nebuchadnezzar said of Daniel, “…the spirit of the holy gods is in you and no mystery is too difficult for you.”
4:10-12	ksjo				What did Nebuchadnezzar see in the first part of his dream?	Nebuchadnezzar saw a great, strong, beautiful tree that reached to the heavens. It provided shade for animals and an abode for the birds. It had abundant fruit that fed all living creatures.
4:13-14	wli1				What did the holy messenger from the heavens say to do to the tree?	The holy messenger said to chop down the tree, cut off its branches, strip off its leaves and scatter its fruit.
4:15-16	gvby				What was to be done with the tree stump?	The stump was to be left in the earth bound with a band of iron and brass. Let it be wet with dew. Let it live with the animals. Let his mind be that of an animal and not of a man for seven years.
4:17	o9tx				What was the purpose of doing this to the tree in Nebuchadnezzar’s dream?	The purpose was so that those who are alive would know that the Most High rules over the kingdoms of peoples and gives them to anyone he wishes to place over them.
4:22	ps3c				Who did Daniel say the tree was in Nebuchadnezzar’s dream?	Daniel said the tree was Nebuchadnezzar.
4:25	rn2c				What was to happen to Nebuchadnezzar’s until he acknowledged that the Most High rules over the kingdoms of people and that he gives them to anyone he wishes?	Nebuchadnezzar was to be driven from among men. He would live in the fields with the wild animals and eat grass like an ox and be wet with the dew from the heavens.
4:25	u4l1				How long was it to be before Nebuchadnezzar would acknowledge that the Most High rules over the kingdoms of people and he gives them to anyone he wishes?	Seven years were to pass until Nebuchadnezzar acknowledged that the Most High rules over the kingdoms of people and he gives them to anyone he wishes.
4:27	yg54				After interpreting the dream for Nebuchadnezzar what was Daniel’s advice for him?	Daniel advised Nebuchadnezzar to stop sinning and to do what was right. He also told Nebuchadnezzar to turn away from his sins by showing mercy to the oppressed.
4:28	gscr				How long was it before the interpretation of Nebuchadnezzar’s dream began to happen?	All these things began to happen twelve months after his dream.
4:34	a503				What happened to Nebuchadnezzar at the end of the seven years?	Nebuchadnezzar’s sanity was restored to him?
4:34	rmky				What did Nebuchadnezzar do after his sanity was restored to him?	Nebuchadnezzar praised and honored the Most High who rules forever.
4:36	rmvp				What happened to Nebuchadnezzar’s kingdom?	The kingdom was given back to him.
4:37	rjtz				What was Nebuchadnezzar’s final statement concerning the King of heaven?	His statement was: “Now I, Nebuchadnezzar, praise, extol, and honor the King of heaven, for all his deeds are right, and his ways are just. He can humble those who walk in their own pride.”
5:1	kg6z				For whom did Belshazzar, the king, make a great feast?	He made a great feast for a thousand of his noblemen.
5:2	pz74				Who was this Belshazzar?	He was the son of Nebuchadnezzar.
5:3	c5xp				What containers did they use to drink the wine from at this feast?	They used the gold containers that had been taken out of the temple, the house of God, in Jerusalem.
5:4	etcr				What did the people at the feast do as they drank the wine?	They praised their idols made of gold and silver, bronze, iron, wood, and stone.
5:5	q1pr				As the people were drinking wine and praising their idols what happened?	The fingers of a human hand appeared in front of the lamp stand and wrote on the plaster wall in the king’s palace.
5:6	irfy				What was the king’s immediate response when he saw the hand?	The king’s face changed and his thoughts frightened him; his limbs could not support him, and his knees were knocking together.
5:7	wbuj				What did the king promise to the one who could explain the writing on the plaster wall and its meaning?	The king promised that the one who explained the writing and its meaning would be clothed in purple and would have a gold chain put around his neck and that he would have the authority of the third highest ruler in the kingdom.
5:13	nbfl				According to the king what qualities did he say he had heard about Daniel?	The king told Daniel he had heard that Daniel had the spirit of the Gods in him and that Daniel possessed light and understanding and excellent wisdom.
5:17	jwzb				What was Daniel’s response when he was told of the rewards he would receive for reading the writing and explaining its meaning?	Daniel told the king, “Let your gifts be for yourself, and give your rewards to another person. Nevertheless, I will read the writing to you, king, and will tell you the meaning.”
5:20	okpo				Why was Nebuchadnezzar brought down from his kingly throne and why was his majesty taken away from him?	Nebuchadnezzar lost his majesty and his throne because his heart became arrogant and his spirit was hardened so that he acted presumptuously.
5:22-23	jdy9				What were Daniel’s charges against Belshazzar?	Daniel said Belshazzar had not humbled his heart, he had lifted himself up against the Lord of Heaven and he had not honored the God who held his breath in his hand and who knew all his ways.
5:26-28	oyjw				What was the meaning of the writing on the plaster wall?	The meaning was as follows: God has numbered Belshazzar’s kingdom and brought it to an end. Belshazzar is weighed in the scales and found lacking. Belshazzar’s kingdom is divided and is given to the Medes and Persians.
5:30-31	x5lu				What happened that night after Daniel gave his interpretation of the writing to Belshazzar?	That night Belshazzar, the Babylonian king, was killed, and Darius the Mede received the kingdom.
5:31	ynwo				How old was Darius the Mede when he received the kingdom?	Darius the Mede was about sixty-two years old when he received the kingdom.
6:1-2	d7dg				Who did Darius appoint over the kingdom?	He appointed 120 provincial governors with three chief administrators over them.
6:2	c0pd				Who was one of the three chief administrators?	Daniel was one of the three chief administrators.
6:2	myx8				Why were the three chief administrators appointed?	They were appointed to supervise the provincial governors, so that the king should suffer no loss.
6:3	wly9				Who was the king planning to put over the whole kingdom?	The king planned to put Daniel over the whole kingdom.
6:4	kw8h				Why could the other chief administrators and provincial governors find no corruption, no failure in his duty, no mistakes and no negligence in Daniel’s work for the kingdom?	They could find none of these things because Daniel was faithful.
6:5	o74m				What was the only area of his life that the other chief administrators and provincial governors think they might find something to complain against Daniel?	They thought they might find something against Daniel regarding the law of his God.
6:7	u84m				What did the provincial governors and the other chief administrators advise King Darius to do?	They advised Darius to issue a decree and enforce it that whoever made a a petition to any god or man except King Darius for thirty days, that person had to be thrown into a den of lions.
6:10	lnsx				What did Daniel do after he learned that the decree had been issued and the document signed into law?	Daniel went into his house, got down on his knees and prayed giving thanks to God as he had done before.
6:13	j0hk				What did the men who plotted against Daniel do when they saw Daniel make requests and seek help from God?	Those men went to the king and told him that Daniel paid no attention to the king or his decree and that Daniel prayed to God three times a day.
6:14	rw89				What did the king do when he heard Daniel had disobeyed the king’s decree?	The king became terribly distressed and he applied his mind to rescue Daniel from his ruling.
6:17-18	l5gj				After Daniel was thrown into the lion’s den, what did the king do?	The king sealed the entrance to the den with his own signet ring. He then went to the palace and fasted through the night and did not sleep.
