Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	hsip				Where was Moses when he spoke to Israel?	Moses was beyond the Jordan in the wilderness, in the plain of the Jordan river valley.
1:3	hgow				When did Moses speak to the people of Israel, telling them all that Yahweh commanded him?	It was the fortieth year, the first day of the eleventh month, on the first day of the month.
1:8	ye55				To whom had Yahweh sworn to give the land?	Yahweh had sworn to Abraham, Isaac, and Jacob to give the land to them and to their descendants after them.
1:9-10	jtah				Why did Moses feel he could not carry the people alone?	God had multiplied them, made them to number as the stars of heaven.
1:12-13	ev2y				Who would help Moses carry the loads, burdens, and disputes of the people?	They would take wise understanding men of good repute, tribe by tribe, and make these men heads over them.
1:16	tdii				What did Moses command the judges to do?	He commanded them to hear the disputes between brothers, and the foreigner who is with him.
1:19	trn4				What did Israel travel through as they journeyed from Horeb to the hill country?	They traveled through all the great and terrible wilderness.
1:22	tyh5				Why did the people ask Moses to send men ahead of them?	They asked Moses to send men ahead to search out the land and bring back word about how they should attack and about the cities.
1:23	odbe				Who did Moses choose to scout out the land in the hill country?	He chose twelve men, one man for every tribe.
1:25	ik2m				What did the men report back about the land?	They said, “It is a good land that Yahweh our God is giving to us.”
1:27	nrtf				Why did the men say Yahweh brought them out of the land of Egypt?	They said Yahweh hated them and he brought them out of the land of Egypt to destroy them.
1:28	xurt				What did their brothers say about the people of the land?	They said that the people of the land were bigger and taller than the Israelites.
1:29-31	oz8p				What did Moses say was there reason the people did not need to be afraid?	He told them not to be afraid, because Yahweh would go before them and would fight for them like he did in Egypt and in the wilderness.
1:34-35	iyt4				What did Yahweh say because he was angry?	He swore and said, “Surely not one of these men of this evil generation will see the good land except Caleb.”
1:38	rknw				What did Yahweh tell Moses to do for Joshua the son of Nun?	Yahweh told Moses to encourage Joshua for he will lead Israel to inherit the land.
1:39	f4xe				Who did Yahweh say will go into the land and possess it?	He said their little children will go in and will possess it.
1:43-44	gzai				What did the people do when Yahweh told them not to attack the hill country?	They were arrogant and attacked the hill country, and the Amorites came against the men, and chased them like bees.
2:1	ronr				Where did Moses say they took their journey?	They took their journey into the wilderness, by way to the Red Sea.
2:4-5	esum				What did Yehweh command the people to be careful not to do?	They were to to be careful not to fight the descendants of Esau, for Yahweh would not give them any of their land.
2:6	cood				How were they to get food and water?	They were to buy food and water from the people of Seir so they could eat and drink.
2:9	emkn				What did Yahweh tell them they were not to do in Moab?	They were not to trouble Moab or fight with them because Yahweh was not giving them that land.
2:14	p1hs				How long did it take Israel to go from Kadesh Barnes to the brook Zered?	It took them 38 years to go to the brook Zered.
2:16	tpa0				What happened to all the men who were fit for fighting?	All the men who were fit for fighting were dead and gone from among the people.
2:19	ad92				To whom had Yahweh given the land of the people of Ammon?	Yahweh had given that land to the descendants of Lot.
2:25	f08p				What will the people of the land do when they hear news about the Israelites?	They will tremble and be in anguish because of the Israelites.
2:26-27	v5hz				What words of peace did Moses send to the King of Hashbon?	Moses asked that he be allowed to pass through the land on the highway, not turning to the right or left.
2:28-29	tq9f				What did Moses plan to get food and water for the people?	He asked the king of Hashbon to sell him food and water for money so they could eat and drink.
2:32-33	zjd8				What happened when Sihon came out against Moses?	Yahweh gave him over to Moses and they defeated him, killing him, his sons and all his people.
2:34	mfep				What happened to all the inhabited cities?	Moses took all the king’s cities and destroyed them, including women and children; none were left remaining.
3:1	zkq6				What did Og, the king of Bashan do to Israel as they approached his land?	On the way to Bashan, the king of Bashan and all his people came and attacked Israel.
3:3-4	ak6u				What did Israel do to the king of Bashan and his people?	They struck the king of Bashan dead until not one of his people remained, and took all his cities.
3:7	keak				What did Israel do with the cattle and the spoils of the cities?	They took for themselves all the cattle and the spoil of the cities.
3:12-13	g0w9				To whom did Moses give the land that they had taken possession?	He gave it to the Reubenites and the Gadites and the half tribe of Manasseh.
3:18	qg8q				What did Moses command the men of war of the the Reubenites and the Gadites and the half tribe of Manasseh to do?	He commanded them to pass over armed before their brothers, the people of Israel.
3:20	f8cz				When did Yahweh say the the Reubenites and the Gadites and the half tribe of Manasseh could return to their own property?	Yahweh said they could return after Yahweh gave rest to their brothers, until they also possess their land.
3:22	m2u0				What did Moses tell Joshua not to do?	He told Joshua not to fear the enemy because Yahweh would be the one who would fight for him.
3:25	ulvu				Where did Moses beg to go and see?	He begged Yahweh to let him go and see the good land beyond Jordan and also Lebanon.
3:26	t5xo				How did Yahweh answer Moses’ request to go and see the land?	Yahweh was angry with him because of the people and and did not listen to Moses.
3:27	qngc				What did Yahweh do to allow Mosses to see the land?	Yahweh told him to go up to the top of Pisgah and lift his eyes all around him for he would not go over the Jordan.
3:28-29	p4pb				What did Yahweh tell Moses to do for Joshua?	He told Moses to instruct Joshua, encourage and strengthen him, bacause he would go over before the people and will cause them to inherit the land that you see.
4:1	vlko				What must the people of Israel do so that they may live, and go in and possess the land that Yahweh is giving them?	They must listen and obey the laws that Moses is going to teach them so that they may possess the land.
4:2	a34u				What must the people not do?	They must not add to nor diminish the words that Moses commanded them so they may keep the commandments of Yahweh.
4:4	b9rs				What men did Yahweh destroy?	Yahweh destroyed the men that followed Baal Peor.
4:6	orza				Why should Israel keep the laws that Moses commanded them?	They should keep and do them so that they will have wisdom and understanding in the sight of the peoples.
4:9-10	zm0o				Why should the people pay attention and guard their soul?	They should pay attention and guard their soul so they do not forget what they have seen, but keep those things in their hearts and make them known to their children and their children’s children.
4:11-12	mppz				What did the people hear out of the middle of the fire on the mountain?	They heard Yahweh’s voice out of the middle of the fire, but saw no form.
4:13	umai				What was the covenant that Yahweh commanded them to perform and on what was it written?	Yahweh commanded Moses to teach them the Ten Commandments that were written on two tablets of stone.
4:15-18	o1fc				What were the people told not to do?	They were told to not corrupt themselves by making carved figures of any form, including men, women, birds, things that creep, and fish.
4:19	i07w				Why did Moses tell the people to be careful about the sun, moon and stars?	He told them that they should be careful to not be drawn away to worship the heavens, sun, moon, or stars.
4:20	hbi3				Why did Yahweh bring the people out of the iron furnace, Egypt?	He brought them out of Egypt to be a people of his own inheritance.
