Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	s9rj				How does Paul describe the people he is writing to in this letter?	Paul describes the people he is writing to as saints, and as faithfully trusting in Christ Jesus.
1:3	c6di				With what has God the Father blessed believers?	God the Father has blessed believers with every spiritual blessing in the heavenly places in Christ.
1:4	eph8				When did God the Father choose those who believe in Christ?	God the Father chose those who believe in Christ before the foundation of the world.
1:4	cgvj				For what purpose did God the Father choose the believers?	God the Father chose the believers so they could be holy and blameless before him.
1:5	x0f2				Why did God destine the believers in advance for adoption?	God destined the believers in advance because he was pleased to do it.
1:6	a777				Why did God destine the believers in advance for adoption?	God destined the believers in advance so that he would be praised for his glorious grace.
1:7	dptl				What do believers receive through the blood of Christ, God’s beloved one?	Believers receive redemption, the forgiveness of their trespasses through the blood Christ.
1:10	q6gc				What will God do when the times for the completion of his plan come?	God will bring together everything in heaven and on the earth under Christ.
1:13	m2sm				What seal did the believers receive when they heard the word of truth?	The believers were sealed with the promised Holy Spirit.
1:14	e9da				Of what is the Spirit a down payment?	The Spirit is a down payment of the inheritance of believers.
1:18	wdw4				What does Paul pray the Ephesians will be enlightened to understand?	Paul prays that the Ephesians will be enlightened to understand the hope of their calling and the glorious riches of Christ’s inheritance in the saints.
1:20	u36i				What did the same power that now works in the believers do in Christ?	The same power raised Christ from the dead and seated him at God’s right hand in the heavenly places.
1:22	nc6y				What has God put under Christ’s feet?	God has put all things under Christ’s feet.
1:22	ybk9				What is Christ’s position of authority in the Church?	Christ is the head over all things in the Church.
1:23	zi2i				What is the Church?	The Church is Christ’s body.
2:1	rv6g				What is the spiritual condition of all unbelievers?	All unbelievers are dead in their trespasses and sins.
2:2	u66r				Who is working in the sons of disobedience?	The ruler of the authorities of the air is working in the sons of disobedience.
2:3	p8m8				By nature, what are all unbelievers?	All unbelievers are by nature children of wrath.
2:4	cxpy				Why is God rich in mercy towards believers?	God is rich mercy because of his great love.
2:5	n3sw				By what have believers been saved?	Believers have been saved by God’s grace.
2:6	e4zl				Where are believers seated?	Believers are seated in the heavenly places with Christ Jesus.
2:7	i4ud				For what purpose has God saved and raised up believers?	God has saved and raised up believers so that in the ages that are coming he might show them the great riches of his grace.
2:8	ae42				How have we been saved?	We have been saved by grace through faith as God’s gift.
2:9	rffw				Why should believer not boast?	No believer should boast because he is not saved by his own works.
2:10	fa4e				For what purpose has God created believers in Christ Jesus?	God’s purpose for believers in Christ Jesus is that they should walk in good works.
2:12	cvho				What is the spiritual condition of unbelieving Gentiles?	Unbelieving Gentiles are separated from Christ, alienated from Israel, strangers to the covenants, without hope and without God.
2:13	bqaq				What has brought some Gentile unbelievers near to God?	Some Gentile unbelievers have been brought near to God by the blood of Christ.
2:14	rg90				How did Christ change the relationship between Gentiles and Jews?	Christ made believing Gentiles and Jews into one group, destroying the hostility that divided them.
2:15	dpj6				What did Christ abolish in order to make peace between Jews and Gentiles?	Christ abolished the law of commandments and regulations in order to make peace between Jews and Gentiles.
2:18	ep5a				By what means do all believers have access to the Father?	All believers have access to the Father by means of the Holy Spirit.
