Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	t6yi				Over how much territory did Ahasuerus reign?	Ahasuerus ruled from India even as far as Ethiopia, 127 provinces.
1:3	lqyo				Who was in the king’s presence?	The officials of the provinces were “before his face,” meaning that they were in the king’s presence.
1:5	a0nw				For whom did the king give the feast that lasted seven days?	The king made a feast for all the people who were found in Susa the citadel, from the greatest even to the least.
1:7	t487				Why was there much royal wine?	The wine of royalty was abundant according to the hand of the king. And the drinking was according to the law, “There is no compulsion.”
1:8	k5of				What were the king’s orders to all the overseers of his palace?	And the drinking was according to the law, “There is no compulsion,” for thus the king had established for every overseer of his house, to do according to the desire of man by man.
1:10	ujlq				What did the king tell the seven officials who served before him?	To bring Vashti the queen before the king in a crown of royalty in order to show the people and the officials her beauty.
1:11	yblt				What did the king tell the seven officials who served before him?	The king said to bring Vashti the queen to the face of the king in a crown of royalty in order to show the people and the officials her beauty.
1:12	m9r8				Why did the king become very angry?	The king became very angry because the queen Vashti refused to come at the word of the king that was by the hand of the eunuchs.
1:13	u2fx				With whom did the king confer?	The king consulted with the wise men, who were knowers of the times.
1:16	b0ku				According to Memucan, against whom did Vashti do wrong?	Vashti the queen did wrong not only toward the king alone, but toward all the officials and toward all the people who were in all the provinces of the king Ahasuerus.
1:17	wjxb				What did Memukan say the women of Persia and Media would do?	Memukan said that what the queen did would become known to all the women in the kingdom of king Ahasuerus and that when the women of the kingdom found out what the queen had done they would despise their own husbands and say, “King Ahasuerus commanded his servants to bring Queen Vashti to him, but she did not come!”
1:18	uvc6				What did Memucan say the noble women of Persia and Media would do before the end of that very day?	For the matter of the queen will go out to all the women, in order to make their husbands despised in their eyes when they say, ‘The king Ahasuerus said to bring Vashti the queen before him, but she did not come.’ Now this day, the noblewomen of Persia and Media who have heard the matter of the queen will speak to all the officials of the king; and there will be contempt and wrath enough!
1:19	quso				To whom would the king give Vashti’s position as queen?	The king would give his position to her female neighbor, the woman who is better than she.
1:22	p453				What did the king order?	The king sent letters that every man should be ruling in his house and speaking according to the tongue of his people.
2:2	gtjy				What did the king’s young men recommend?	The king’s young men recommended that they seek for the king young women who were virgins and pleasing of appearance.
2:3	xvl9				Under whose care would the virgins be put?	The virgins would be put into the hand of Hegai, the eunuch of the king who is overseer of the women. This means Hegai was the one who was responsible to take care of the virgins.
2:6	sjzm				Who had taken Kish from Jerusalem?	Nebuchadnezzar, the king of Babylon, had taken Kish from Jerusalem.
2:7	x3xr				What was Esther’s other name?	Esther’s other name was Hadassah.
2:7	qva0				How was Esther related to Mordecai?	Esther was the daughter of Mordecai’s uncle.
2:9	xh5y				With what did Hegai provide Esther?	Hegai quickly gave her ointments, portions of food, and seven young women chosen from the house of the king.
2:10	iw99				Why had Esther not told anyone who her people or relatives were?	Esther had not declared her people or her ancestry, for Mordecai had laid a charge upon her that she should not tell it.
2:13	h2zn				When a young woman went to the king, what was given to her?	Anything that she said would be given to her.
2:14	l25u				When would a girl return to the king?	She would not go to the king again unless the king had delighted in her and she was called by name.
2:15	aye5				For what did Esther ask?	She did not ask for anything except what Hegai, the eunuch of the king who was overseer of the women, said.
2:16	xw57				When was Esther taken to King Ahasuerus?	So Esther was taken to the king Ahasuerus, to the house of his royalty, in the tenth month (which is the month of Tebeth), in the seventh year of his reign.
2:17	de9h				Why did the king set the royal crown on Esther’s head and make her queen?	And the king loved Esther more than all the women, and she lifted favor and kindness before his face more than all the virgins. So he set a crown of royalty on her head, and he made her queen instead of Vashti.
2:21	b9zm				What did Bigthan and Teresh seek to do to King Ahasuerus?	Bigthan and Teresh, two eunuchs of the king who were guardians of the doorway, became angry. And they sought to stretch out a hand to the king Ahasuerus.
2:23	gzh5				What happened to Bigthan and Teresh?	The two of them were hung on a tree.
3:2	w5v8				Who were kneeling and prostrating themselves to Haman?	All the servants of the king were at the gate of the king and were bowing down and prostrating themselves to Haman.
3:4	pl2l				What did Mordecai refuse to do?	Mordecai would neither bow down nor would he prostrate himself.
3:6	n1sg				Who did Haman want to kill?	Haman sought to annihilate all the Jews, the people of Mordecai, who were in all the kingdom of Ahasuerus.
3:8	p26l				When they threw lots, what month did they chose?	In the first month, which is the month of Nisan, in the twelfth year of the king Ahasuerus, a Pur (which is “the lot”) was cast before the face of Haman from day to day and from month to month: the twelfth, which is the month of Adar.
3:9	mv1s				How much money was Haman willing to put into the king’s treasury if the king would give a command to kill the Jews?	Haman said he would pay 10,000 talents of silver into the hands of the doers of the work, to bring into the treasuries of the king.
3:13	aemz				How were documents delivered to all the king’s provinces?	And letters were sent by the hand of runners to all of the provinces of the king.
3:15	nimn				How did Susa respond to the decree?	The city of Susa was in confusion.
4:2	p65j				How far did Mordecai go? Why?	And he came only as far as before the face of the gate of the king, because no one was to come into the gate of the king while wearing sackcloth.
4:4	diol				When Esther sent garments to clothe Mordecai, how did he respond?	And she sent garments to clothe Mordecai and to take off his sackcloth from upon him, but he did not accept.
4:7	uobs				What did Mordecai report to Hathak?	And Mordecai reported to him all that had happened to him, and the exact amount of silver that Haman had said to weigh out into the treasuries of the king, against the Jews, to destroy them.
