Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	r2gg				Into what country did the sons of Israel come with Jacob?	The sons of Israel came into Egypt with Jacob.
1:5	xbyk				How many descendants of Jacob were there?	All of the descendants of Jacob were 70 in number.
1:8	vxqq				Who did not care for the memory of Joseph?	A new king arose over Egypt, who did not care for the memory of Joseph.
1:8	wagv				What did the king of the Egyptians think would happen if they did not deal wisely with the Israelites?	The king of the Egyptians was afraid that the Israelites would continue to multiply, and if war would break out, they would join the Egyptians’ enemies, fight against them, and leave the land.
1:11	s0rg				How did the taskmasters oppress the Israelites?	The taskmasters oppressed the Israelites with hard labor.
1:12	e3ku				What happened the more the Egyptians oppressed the Israelites?	The more the Egyptians oppressed the Israelites, the more the Israelites increased in number and spread.
1:16	m8ha				What did the king of Egypt tell the midwives to do if the baby was a male?	The king of Egypt told them that if the baby was male, then they must kill him.
1:17	tzxq				Why did the midwives not do as the king of Egypt ordered them?	The midwives feared God and so they did not do as the king of Egypt ordered them.
1:19	oxp0				How did the midwives say the Hebrew women were not like the Egyptian women?	They said Hebrew women were vigorous and finished giving birth before a midwife came to them.
1:22	sse2				What did Pharaoh order all his people to do to the male babies?	Pharaoh ordered all his people, “You must throw every male that is born into the river”.
2:2	dc4k				For how long did the woman of Levi hide her son?	The woman of Levi hid her son for three months.
2:3	b58k				With what did the woman of Levi seal the papyrus basket?	She sealed the papyrus basket with bitumen and pitch.
2:4	vo29				Why did the baby’s sister stand at a distance?	The baby’s sister stood at a distance to see what would happen to him.
2:5	uwbd				What did Pharaoh’s daughter come to do while her attendants walked along by the riverside?	Pharaoh’s daughter came down to bathe at the river while her attendants walked along by the riverside.
2:7-8	c3mv				Who did the young girl find to nurse the child for Pharaoh’s daughter?	The young girl went and got the child’s mother to nurse the child for Pharaoh’s daughter.
2:10	afnh				Who named the child Moses?	Pharaoh’s daughter named the child Moses.
2:12	espm				Where did Moses hide the body of the Egyptian whom he killed?	Moses killed the Egyptian and hid his body in the sand.
