Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-3	vy74				Among whom was Ezekiel living when he had visions of God?	Ezekiel was living among the captives in the land of the Chaldeans when he had visions of God.
1:4-6	hus3				What was in the middle of the great cloud Ezekiel saw coming from the north?	In the middle of the cloud was the likeness of four living creatures, each with four faces and four wings.
1:9	se1h				How did the creatures move?	The creatures did not turn as the went but each one went straight forward.
1:10	drji				What appearances did the living creatures have on their faces?	Their faces had the appearance of a man, a lion, an ox, and an eagle.
1:12	ix2j				What was directing the movement of the four living creatures?	The Spirit was directing the movement of the four living creatures.
1:14	av10				As the four living creatures moved back and forth, what did they look like?	As they moved, the four living creatures looked like lightning.
1:17	oa4r				What were the four wheels beside the four living creatures able to do?	The four wheels were able to go in any direction without turning.
1:20-21	kj5y				Why did the wheels go wherever the living creatures went?	The wheels followed the living creatures because the spirit of the living creatures was in the wheels.
1:22	m1c7				What was over the heads of the living creatures?	An expansive dome was over the heads of the living creatures.
1:23	cnlb				What did the living creatures do with their wings?	Each one of the creature’s wings stretched out straight and touched another creature’s wings and each of the living creatures also had a pair of wings to cover his own body.
1:24	j5uk				What does Ezekiel say the creatures’ wings sounded like?	The creatures’ wings sounded like rushing water, like the voice of the Almighty, like a rainstorm, and like an army.
1:26	j3zu				What was above the dome, which was over the creatures’ heads?	Above the dome was a throne, and on the throne was the appearance of one who looked like a man.
1:28	ovz4				As what did the bright figure appear to Ezekiel?	The bright figure appeared as the likeness of the glory of Yahweh.
1:28	nuzn				What did Ezekiel do when he saw the bright figure?	When he saw the bright figure, Ezekiel fell on his face.
2:2	xk6d				What did the Spirit do to Ezekiel as the Spirit spoke to Ezekiel?	The Spirit stood Ezekiel on his feet as he spoke to Ezekiel.
2:3	njus				To whom did the Spirit send Ezekiel?	The Spirit sent Ezekiel to the people of Israel.
2:4	ghco				What was Ezekiel to say to the people of Israel?	Ezekiel was to say, “This is what the Lord Yahweh says,” to the people of Israel.
2:4-5	k5ps				According to the Spirit, what kind of people were the descendants of Israel?	The descendants were a stubborn, hardhearted and rebellious people.
2:5	xovc				What would the people of Israel know because of Ezekiel’s speaking to them?	The people of Israel would know that a prophet had been among them.
