Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2	wwlj				Who did Yahweh appoint to build for him a house in Jerusalem?	Yahweh appointed Cyrus to build for him a house in Jerusalem.
1:4	myzu				Who would provide silver and gold and goods and livestock for the Jewish people who were returning to Jerusalem to rebuild the temple?	The Jewish people returning to Jerusalem to rebuild the temple were to be provided silver and gold and goods and livestock by the Jewish men who had been living in the same region.
1:7	e3vn				Where had Nebuchadnezzar put the objects belonging to Yahweh’s house?	Nebuchadnezzar had put the objects belonging to Yahweh’s house in the house of his own gods.
1:11	x5ah				How many gold and silver items did Sheshbazzar bring when the exiles went from Babylon to Jerusalem?	Sheshbazzar brought 5,400 gold and silver items when the exiles went from Babylon to Jerusalem.
2:1	js9c				Who had exiled the Jewish people living in Babylon?	King Nebuchadnezzar had exiled the Jewish people living in Babylon.
2:62	rzh7				Why were some of the the priests’ descendants excluded from the priesthood?	They were excluded from the priesthood because they could not find a record of their geneology.
2:63	yrf5				When could the priests’ descendants eat the holiest holy food?	The priests’ descendants could eat the holiest holy food after a priest stood with the Urim and Thummim.
2:70	q520				Who lived in their cities?	The priests, and the Levites, and some from the people, and the ones who sang, and the gatekeepers, and the Nethinim lived in their cities.
3:2	hj02				What did Jeshua, the priests, and Zerubbabel and his brothers rise up to do?	They rose up to build the altar of the God of Israel so that burnt offerings could be offered on it.
3:3	w2da				How often did Jeshua and the priests and Zerubbabel and his brothers offer burnt offerings to Yahweh?	They offered burnt offerings to Yahweh in the morning and in the evening.
3:7	dtdq				Who gave permission for cedar trees to be sent from Lebanon to Joppa by sea?	Cyrus, king of Persia, gave permission for cedar trees to be sent from Lebanon to Joppa by sea.
3:8	t35b				When did the work begin?	The work began in the second month of the second year after the Israelites came to the house of God in Jerusalem.
3:11	eqd0				How did all the people respond after the temple’s foundations had been laid?	All the people shouted a great shout in praise to Yahweh because the temple’s foundation had been laid.
3:12	y3c9				How did the people who had seen the first temple respond after seeing the foundation of the second temple?	They wept with a loud voice.
4:1	klla				What did the enemies of Judah and Benjamin hear that the people who had been exiled were doing?	The enemies of Judah and Benjamin heard that the people who had been exiled were building a temple for Yahweh, the God of Israel.
4:2	kxdc				For how long did the enemies of Judah and Benjamin say that they themselves had been sacrificing to Yahweh?	Judah and Benjamin’s enemies said that they themselves had been sacrificing to Yahweh since the days of Esarhaddon, the king of Assyria.
4:4-5	lb8u				What were the people of the land doing to the people of Judah?	The people of the land were making the hands of the people of Judah weak, and making them afraid to build, and hiring counselors against them to frustrate their plans.
