Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	i4zd				What did God create in the beginning?	God created the heavens and the earth.
1:2	hxnl				What was the Spirit of God doing in the beginning?	The Spirit of God was moving above the surface of the waters.
1:3	yzts				How did God create light?	God said, “Let there be light”.
1:7-8	op7t				What did God make on the second day?	God made the sky between the expanses of water.
1:10	mv7g				What did God call the dry land and the gathered waters?	God called the dry land “earth,” and the gathered waters he called “seas.”
1:11-12	nc8q				What living things did God make on the third day?	God made plants, fruit trees, and vegetation on the third day.
1:14	kh88				What is the purpose of the lights in the sky?	They are to divide the day from the night, and as signs for seasons, for days and years.
1:16	mgsa				What did God make on the fourth day?	God made the two great lights and the stars.
1:21	next				What did God make on the fifth day?	God made the living creatures of the water, and birds.
1:22	yzpe				What command did God give the sea creatures and birds?	Be fruitful, and multiply.
1:26	gfpf				What did God make in his image?	God made man in his image.
1:26	j7tv				Over what things was man given dominion?	God gave man dominion over the fish of the sea, over the birds of the sky, over the livestock, over all the earth, and over every creeping thing that creeps upon the earth.
1:27	zj7a				What was different about how God made man?	God created man in his own image.
1:28	jh4n				What command did God give man?	Be fruitful and multiply, fill the earth and subdue it.
1:29	utrp				What did God give man to eat?	God gave them every plant yielding seed and every tree with fruit.
1:31	bkv3				When God saw everything that he had made, what did he think about it?	God thought it was very good.
2:2-3	e07v				What did God do on the seventh day?	He rested from all his work, and he blessed and sanctified the day.
2:6	aeiq				Before Yahweh caused it to rain, how was the earth watered?	A mist went up from the earth.
2:7	be0g				How did Yahweh make man?	Yahweh formed man from the dust of the ground and breathed the breath of life into him.
2:8	knt5				Where did Yahweh first put the man?	In the garden in Eden.
2:9	sx2v				What two trees were in the midst of the garden?	The tree of life and the tree of the knowledge of good and evil.
2:15	oslv				What was the man to do in the garden?	He was to work and maintain the garden.
2:16-17	suff				What command did Yahweh give the man about what to eat?	You may freely eat from every tree in the garden, except the tree of the knowledge of good and evil.
2:17	mgve				What did Yahweh say would happen if the man violated this command?	In the day when the man violated the command, he would surely die.
2:18	aqbq				What did Yahweh say was not good?	He said it was not good that the man was alone.
2:19	wtq6				What did Yahweh have the man do with every living creature?	The man gave every living creature a name.
2:20	rzis				What was not found among all the living creatures?	A helper for the man corresponding to him.
2:22	ao3f				How did Yahweh make the woman?	Yahweh caused the man to sleep and took one of the man’s ribs, and made the woman from the rib.
2:23	goh1				Why did the man call her “woman”?	Because she was taken out of the man.
2:24	lk7u				How do a man and woman become one flesh?	The man is united to the woman as his wife.
2:25	cdnj				Were the man and his wife ashamed of being naked?	No.
3:1	o2a7				What was the first question that the serpent asked the woman?	The serpent asked the woman, “Has God really said, ‘You must not eat from any tree of the garden’”?
3:4	m1ii				When the woman said God told them they would die if they ate from the tree in the middle of the garden, what did the serpent say?	The serpent said, “You will surely not die”.
3:5	sy1i				What did the serpent say would happen to the man and woman if they ate of the fruit?	The serpent said they would be like God, knowing good and evil.
3:6	vj2q				What attracted the woman to the fruit of the tree?	She saw it was good for food, a delight to the eyes, and desirable to make one wise.
3:6	t4vf				Who ate of the fruit?	The woman ate, and gave some to her husband who also ate.
3:7	jx3e				What happened to them when they ate of the fruit?	When they ate, their eyes were opened and they knew that they were naked.
3:8	rpas				What did the man and woman do when God came into the garden?	They hid themselves from God.
3:10	qg1v				Why did the man hide himself from God when he came into the garden?	The man hid himself from God because he was naked and therefor afraid.
3:12	pdzg				Who did the man say was responsible for giving him the fruit?	The man said the woman was responsible.
3:13	i7px				Who did the woman say was responsible for giving her the fruit?	The woman said that the serpent was responsible.
3:15	ycko				What kind of relationship did God say he would cause to exist between the serpent and the woman?	God said he would cause them to hate each other.
3:16	sdzi				What curse did God give the woman regarding childbirth?	God greatly multiplied the woman’s pain in childbirth.
3:17	pvbu				What curse did God give the man regarding his work?	God cursed the ground so that only by painful toil would the man eat from it.
3:20	ip5m				What name did the man give the woman, and why?	The man called the woman Eve, because she was the mother of all living things.
3:21	sh4y				What did God make for Adam and Eve, and why?	God made them garments of skins in order to clothe them.
3:22	dgha				Why did God say that now Adam must not eat of the tree of life?	God said that since Adam now knew good and evil he must not eat of the tree of life, because he would then live forever.
3:24	w4mi				What did God do to prevent Adam from eating from the tree of life?	God drove the man out of the garden and placed cherubim there to guard the way to the tree of life.
4:2	hvck				What work did Cain and Abel do?	Cain worked the soil, and Abel was a shepherd.
4:3	zng3				What offering did Cain bring to Yahweh?	Cain brought some of the fruit of the ground.
4:4	spqa				What offering did Abel bring to Yahweh?	Abel brought some of the firstborn of his flock and some of the fat.
4:4-5	fsdk				How did Yahweh respond to the offerings of Cain and Abel?	Yahweh accepted Abel’s offering, but did not accept Cain’s offering.
