Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	s3pe				How has God spoken in the past?	God has spoken in the past through the prophets at many times and in many ways.
1:2	wmho				How has God spoken in these recent days?	God has spoken in these recent days through a Son.
1:2	qsni				Through whom were the ages made?	The ages were made through the Son of God.
1:3	suav				How are all things sustained?	All things are sustained by the word of the Son of God’s power.
1:3	t73s				How does the Son display the glory and essence of God?	The Son is the radiance of God’s glory and the representation of God’s essence.
1:4	q7xp				How does the Son of God compare to the angels?	The Son of God is far superior to the angels.
1:6	djak				What did God command the angels to do when the Son was brought into the world?	God commanded the angels to worship the Son when the Son was brought into the world.
1:8	tqxo				How long will the Son rule as a king?	The Son will rule as a king for ever and ever.
1:9	v22q				What does the Son love and what does the Son hate?	The Son loves righteousness and the Son hates lawlessness.
1:10-11	y2vl				What will happen to the earth and heavens over time?	The earth and heavens will wear out like a garment and perish.
1:13	ex08				Where did God tell the Son to sit, and until what happened?	God told the Son to sit at his right hand until God made the Son’s enemies a stool for the Son’s feet.
1:14	jctl				For whom do the angels care?	The angels care for those who are going to inherit salvation.
2:1	e8t6				Why must believers pay attention to what they have heard?	Believers must pay attention to what they have heard so that they do not drift away from it.
2:2	wje0				What would every transgression and disobedience receive?	Every transgression and disobedience would receive just punishment.
2:4	oiz6				How did God testify to the message of salvation announced by the Lord?	God testified to the message by signs, wonders, powerful deeds, and by the gifts of the Holy Spirit.
2:5	fdef				Who will not rule the world to come?	Angels will not rule the world to come.
2:7-8	okqg				Who will rule the world to come?	Man will rule the world to come.
2:9	j0o4				Why was Jesus crowned with glory and honor?	Jesus was crowned with glory and honor because of his suffering and death.
2:9	ahfm				For whom did Jesus taste death?	Jesus tasted death for every man.
2:10	yjfz				Whom does God plan to bring to glory?	God plans to bring many sons to glory.
2:11	ov8n				Who are the two who come from the one source, God?	Both the one who sanctifies and those who are sanctified come from the one source, God.
2:14	h4w8				Who was made ineffective through Jesus’ death?	The devil was made ineffective through Jesus’ death.
2:15	dyfk				From what slavery are people freed through the death of Jesus?	Through the death of Jesus, people are freed from the fear of death.
2:17	bokd				Why was it necessary for Jesus to be like his brothers in all ways?	It was necessary so that he might become a merciful and faithful high priest over God’s things, and so he might obtain forgiveness for the people’s sins.
2:18	w3tq				Why is Jesus able to help those who are tempted?	Jesus is able to help those who are tempted because he was tempted also.
3:1	lqsl				What two roles does the author of the book of Hebrews say Jesus fills?	The author says Jesus is an apostle and a high priest.
3:2-3	aa7p				Why has Jesus been considered worthy of greater glory than Moses?	Jesus has been considered worthy of greater glory because while Moses was faithful in all God’s house, Jesus is the one who built the house.
3:5	rn1u				What was Moses’ role in God’s house?	Moses was a servant in God’s house.
3:5	lcnt				About what did Moses give testimony?	Moses gave testimony about the things that were to be spoken of in the future.
3:6	ie63				What is Jesus’ role in God’s house?	Jesus' role is as a Son in charge of God’s house.
3:6	vf5k				Who is God’s house?	The believers are God’s house if they hold fast to their confidence.
3:7-8	yvzc				What did the Israelites in the wilderness do when they heard God’s voice?	The Israelites hardened their hearts.
3:10-11	qarg				What did God swear concerning the Israelites who went astray in their hearts?	God swore that they would not enter his rest.
3:12	yti8				Of what are the brothers warned to be careful?	The brothers are warned to be careful not to turn away from the living God by unbelief.
3:13	lkhh				What are the brothers to do in order to avoid being hardened by the deceitfulness of sin?	The brothers are to encourage one another daily.
3:14	ynpz				As partners of Christ, what must believers do?	As partners of Christ, believers must firmly hold their confidence in him from the beginning to the end.
3:17	tkxa				With whom was God angry for 40 years?	God was angry with those who sinned in the wilderness.
3:17	sily				What happened to those with whom God was angry?	Their dead bodies lay in the wilderness.
3:19	lesq				Why were the disobedient Israelites not able to enter God’s rest?	They were not able to enter God’s rest, because of unbelief.
4:2	d4kt				What good news had the believers and the Israelites both heard?	The believers and the Israelites had both heard the good news about God’s rest.
4:2	kamc				Why did the good news not benefit the Israelites?	The good news did not benefit the Israelites because they did not join in faith with those who believed it.
4:3	hc9o				Who are the ones who enter God’s rest?	Those who have believed enter God’s rest.
4:3-4	sx3t				When did God finish his created works and then rest?	God finished his created works at the beginning of the world and then rested on the seventh day.
4:5-6	oqf6				What did God say about the Israelites and his rest?	God said that the Israelites would not enter his rest.
4:7	n0ki				What day has God now set for people to enter his rest?	God has set “Today” as the day for people to enter his rest.
4:7	txiv				What must a person do in order to enter God’s rest?	A person must listen to God’s voice and not harden his heart.
4:9	a832				What is still reserved for God’s people?	A Sabbath rest is still reserved for God’s people.
4:10	roo0				A person who enters God’s rest also rests from what?	A person who enters God’s rest also rests from his works.
4:11	uub1				Why should believers be eager to enter God’s rest?	Believers should be eager to enter God’s rest so that they do not fall into disobedience as the Israelites did.
4:12	cd4v				What is the word of God sharper than?	The word of God is sharper than any two-edged sword.
4:12	y6uw				What is the Word of God able to divide?	The Word of God is able to divide soul from spirit and joints from marrow.
4:12	e6qy				What is the Word of God able to discern?	The Word of God is able to discern the thoughts and intentions of the heart.
4:13	opug				Who or what is hidden from God’s sight?	No created thing is hidden from God’s sight.
4:14	mb8g				Who serves as the great high priest for believers?	Jesus, the Son of God, serves as the great high priest for believers.
4:15	l5cm				Why does Jesus feel sympathy for the weaknesses of believers?	Jesus feels sympathy for the weaknesses of believers because he was in all ways tempted.
4:15	z66r				How many times did Jesus sin?	Jesus never sinned. Jesus was without sin.
4:16	poo3				In time of need, what are believers to do to receive mercy and find grace?	In time of need, believers are to approach with confidence to the throne of grace.
5:1	f9kg				What does every high priest do on behalf of the people?	For the people, every high priest offers gifts and sacrifices for sins.
5:3	qzso				In addition to the people, for whom does the high priest also present sacrifices?	The high priest also presents sacrifices for his own sins.
5:4	cfxd				How does a man receive the honor of being a high priest of God?	A man must be called by God to be a high priest of God.
5:5	cty9				Who declared Christ to be a high priest?	God declared Christ to be a high priest.
5:6	dxsz				For how long is Christ God’s high priest?	Christ is God’s high priest forever.
5:6	fllb				Of what order is Christ as a high priest?	Christ is a high priest of the order of Melchizedek.
5:7	b3bt				Why was Christ heard by God when he prayed?	Christ was heard by God because of his godly life.
5:8	ly69				How did Christ learn obedience?	Christ learned obedience from the things he suffered.
5:9	ewdj				For whom did Christ become the cause of eternal salvation?	For everyone who obeys him, Christ became the cause of their eternal salvation.
5:11	meb6				What was the spiritual condition of the original readers of this letter?	The original readers were dull of hearing.
5:14	yjmd				How does the author of the letter say that believers grow from spiritual babies into full-grown adults?	Believers grow spiritually by practicing distinguishing right from wrong, discerning both good and evil.
6:1	wxuj				On to what does the author of Hebrews want the believers to go forward?	The author of Hebrews wants the believers to go forward to maturity.
6:1-2	t338				What teachings does the author list as the foundation of the message of Christ?	The foundational teachings are repentance from dead works, faith in God, baptisms, laying on of hands, the resurrection of the dead, and eternal judgment.
6:4-5	uei1				What had these enlightened people gained?	These enlightened people had tasted the heavenly gift, became sharers of the Holy Spirit, and tasted God’s Word and the powers of the age to come.
6:4-6	fv1b				What is impossible for those who gained so much in Christ but then fell away, to do?	It is impossible for those who gained so much in Christ, but then fell away, to be restored again to repentance.
6:6	f7cx				Why are these people not able to be restored to repentance?	They are not able to be restored because they have crucified for themselves the very Son of God and exposed him to public shame.
6:7-8	vbwv				In the author’s analogy, what happens to land that receives rain but bears thorns and thistles?	Land that receives rain but bears thorns and thistles has its end in burning.
6:9	kb20				What is the author’s expectation concerning the believers to whom he is writing?	The author expects better things concerning these believers, things that are about salvation.
6:10	sl6h				What will God not forget about these believers?	God will not forget their work, love of God, and service to the saints.
6:12	itts				What should the believers imitate about those who inherit the promises of God?	The believers should imitate the faith and patience of those who inherit the promises of God.
6:13-15	xe2b				What did Abraham have to do in order to obtain what God promised him?	Abraham had to wait patiently to obtain what God promised him.
6:17	bg60				Why did God guarantee his promise with an oath?	God guaranteed his promise with an oath to show more clearly the unchangeable quality of his purpose.
6:18	drj0				What is it impossible for God to do?	It is impossible for God to lie.
6:19	y6sq				What does the believer’s hope in God do for his soul?	The believer’s hope in God is a secure and reliable anchor for his soul.
6:19-20	q05h				Where did Jesus enter as the forerunner for the believers?	Jesus entered into the inner place behind the curtain as the forerunner for the believers.
7:1	tml2				What two titles did Melchizedek have?	Melchizedek was king of Salem and priest of God Most High.
7:2	f0in				What did Abraham give Melchizedek?	Abraham gave Melchizedek a tenth of everything he had captured.
7:2	hmv9				What does the name Melchizedek mean?	The name Melchizedek means “king of righteousness” and “king of peace”.
7:3	sc74				Who were the ancestors of Melchizedek, and when did he die?	Melchizedek was without ancestors and has no end of life.
7:5	aeg4				From whom are the priests descended who are priests according to the Law and who collect tithes from the people?	The priests of the Law are descended from Levi, and before him, from Abraham.
7:7	s2i6				Who was the greater person, Abraham or Melchizedek?	Melchizedek was the greater person because he blessed Abraham
