Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2	sdkv				What kind of wife did Yahweh tell Hosea to take for himself?	Yahweh told him to take for himself a wife who was a prostitute.
1:4	g3h4				Why should Hosea call the name of his first son Jezreel?	Hosea should call his name Jezreel. For in a little while Yahweh will punish the house of Jehu for the bloodshed at Jezreel.
1:7	qoyl				On whom will Yahweh have mercy?	Yahweh will have mercy on the house of Judah.
1:9	w57a				Why should Hosea call the name of his second son Lo Ammi?	Hosea should call his name Lo Ammi, for the Israelites were no longer his people.
1:10	und2				What will be said to those who formerly were not Yahweh’s people?	It will be said to them that they were people of the living God.
2:2-3	gkrr				What will Yahweh do if Israel does not put away her prostitution?	If Israel does not put away her prostitution, Yahweh will strip her naked and show her nakedness as on the day that she was born.
2:4	v5br				Why will Yahweh not have any mercy on Israel’s children?	Yahweh will not have any mercy on her children, for they were children of prostitution.
2:7	so58				Why will Israel return to her first husband?	Israel will return to her first husband, for was it better for her then than it now.
2:8	zv53				Who lavished on Israel silver and gold?	Yahweh lavished on her silver and gold.
2:10	b0pd				What will Yahweh do to Israel in the sight of her lovers?	Yahweh will strip her naked in the sight of her lovers.
2:12	p5an				What wages did Israel’s lovers give her?	Israel’s lovers gave her vines and fig trees.
2:15	zx37				How will the prostitute answer Yahweh after he goes to win her back?	She will answer him as she did in the days of her youth, as in the days that she came out of the land of Egypt.
2:16	x82o				In that day, what will Israel call Yahweh?	She will call him ‘My husband,’ and no longer, ‘My Baal.’
2:18	t83h				What will Yahweh make his people do?	He will make them lie down in safety.
2:19	dfqq				For how long will Yahweh promise to be his people’s husband?	Yahweh will promise to be their husband forever.
2:22	k6wq				What will the new wine and the oil answer?	The new wine and the oil will answer Jezreel.
2:23	huvd				What will Yahweh say to those who were not his people?	Yahweh will say to those who were not his people, ‘You are my people.’
3:1	uxe8				In what way must Hosea love his wife?	Hosea must love her just as Yahweh loves the people of Israel.
3:2	cr5s				For how much did Yahweh buy Israel?	He bought her for fifteen pieces of silver and a homer and a lethek of barley.
3:4-5	likd				After the people of Israel live for many days without a king, who will they seek?	After the people of Israel live for many days without a king, they will seek Yahweh their God and David their king.
4:1	dlzx				Against whom did Yahweh have a lawsuit?	Yahweh had a lawsuit against the inhabitants of the land.
4:3	eu31				What was happening to every one who was living in the land?	Every one who was living in it was wasting away.
4:5	sidu				Who will stumble by night?	The prophets will stumble by night.
4:6	ssld				Why will Yahweh forget the children of the people of Israel?	Yahweh will forget the children of the people of Israel because they forgot the Law of God.
4:9	ij70				How will the people act?	They will act like the priests.
4:11	mofy				What things took away the understanding of the people?	Sexual promiscuity, wine, and new wine took away their understanding.
4:14	pvgk				Why will Yahweh not punish the people’s daughters when they choose to commit sexual immorality?	Yahweh will not punish the people’s daughters when they choose to commit sexual immorality, for the men also give themselves to the prostitutes.
4:15	rg3h				Where should the people not go?	They should not go to Gilgal or Beth Aven.
4:18	tmc1				What did Ephraim do even when their strong drink was gone?	Ephraim continued to commit adultery even when their strong drink was gone.
5:2	o6f6				Where did the rebels stand?	The rebels stood deep in slaughter.
5:4	feny				What will not allow Ephraim to turn to their God?	Ephraim’s deeds will not allow them to turn to their God.
5:6	wam3				Why will Israel, Ephraim, and Judah not find Yahweh?	Israel, Ephraim, and Judah will not find Yahweh, for he has withdrawn himself from them.
5:9	w2sb				Who declared that Ephraim will become a desolation?	Yahweh declared that Ephraim will become a desolation.
5:10	cd9c				On whom will Yahweh pour his wrath?	Yahweh will pour his wrath on the leaders of Judah.
5:13	uf4n				When did Ephraim go to Assyria?	When Ephraim saw his sickness, then he went to Assyria.
5:15	nuw7				For how long will Yahweh go and return to his place?	Yahweh will go and return to his place until Ephraim and Judah acknowledge their guilt and seek his face; until they earnestly seek him in their distress.
6:1	ruwc				Although Yahweh tore his people to pieces, what will he then do?	Although he tore them to pieces, he will heal them.
6:2	nuri				When will Yahweh raise up his people?	He will raise them up on the third day.
6:4	oj4u				What was the faithfulness of Ephraim and Judah like?	Their faithfulness was like a morning cloud, like the dew that goes away early.
6:6	zlc6				What did God desire?	God desired faithfulness and not sacrifice, and the knowledge of him more than burnt offerings.
6:9	ujts				In what way did the priests band together to commit murder on the way to Shechem?	As gangs of robbers wait for someone, so the priests banded together to commit murder on the way to Shechem.
6:11	luo4				What was appointed to Judah when Yahweh will restore the fortunes of his people?	A harvest was appointed, when Yahweh will restore the fortunes of his people.
7:2	nqxn				What did Yahweh remember?	Yahweh remembered all their evil deeds.
7:3	dsdu				How did the people make the officials glad?	By their lies they made the officials glad.
7:6	fhgo				What were the people’s hearts like?	Their hearts were like an oven.
7:9	yg6s				What did Ephraim not know?	Ephraim did not know that foreigners devoured his strength or that gray hairs were sprinkled on him.
7:11	q0o9				How was Ephraim like a dove?	Ephraim was like a dove, gullible and without sense.
7:13	tegw				Why did Yahweh not rescue the people?	Yahweh did not rescue the people because they spoke lies against him.
7:14	yx7b				What did the people do to obtain grain and new wine?	They cut themselves to obtain grain and new wine.
7:16	ihm2				Why will the officials fall?	The officials will fall because of the wickedness of their tongues.
8:1	h2wi				Why was an eagle coming over the house of Yahweh?	An eagle was coming over the house of Yahweh because the people broke his covenant and rebelled against his Law.
