Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	q9bc				Who was Isaiah?	Isaiah was the son of Amoz.
1:1	oti0				What was Isaiah’s vision about?	Isaiah’s vision was about Judah and Jerusalem.
1:1	plz8				When did Isaiah have his vision?	Isaiah had his vision in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
1:2	zya0				Why should the heavens hear and the earth listen?	The heavens should hear and the earth should listen because Yahweh has spoken.
1:2	h7gs				What has Yahweh done?	He has nourished and brought up children
1:2	ooop				What have Yahweh’s children done?	They have rebelled against Yahweh
1:4	x87c				How is the nation described?	They are described as sinners, people full of iniquity, offspring of evil doers and sons that act corruptly.
1:4	bcb3				What has the nation done?	They have abandoned Yahweh, estranging themselves from and despising the Holy One of Israel
1:7	fxij				What is the condition of their country and cities?	Their country is desolate and their cities are burned
1:9	q2lo				What has Yahweh left them?	He has left them a very small remnant.
1:11	ee25				What does not delight Yahweh?	He does not delight in the blood of bullocks, lambs and male goats.
1:14	zaxo				What does Yahweh hate?	He hates their new moons and appointed feasts
1:15	dimn				Why will Yahweh not hear their prayers?	He will not hear because their hands are full of blood.
1:16-17	ewgq				What does Yahweh tell them to do?	Yahweh tells them to stop being evil; learn to do good; seek justice, help the oppressed, give justice to the fatherless and defend the widow.
1:19	p6h6				What must they do to eat the good of the land?	They must be willing and obedient.
1:20	a0f7				What will happen if they refuse and rebel?	The sword will devour them
1:21	qvzq				What was the faithful city like before she became a prostitute?	The faithful city was full of justice and righteousness.
1:21	dmg4				What did the faithful city become full of?	The faithful city became full of murderers.
1:24	xa0l				What will Yahweh do?	He will take vengeance against his adversaries.
1:29	n07v				What will make them ashamed and embarrassed?	They will be ashamed of the sacred oak trees they desired and embarrassed by the gardens they have chosen
1:31	sk58				What will happen to the strong man and his work?	They will both burn together
2:1	pszy				What did the word that Isaiah saw concern?	The word Isaiah saw concerned Judah and Jerusalem.
2:2	mbp1				What will happen in the latter days?	In the latter days the mountain of Yahweh’s house will be established.
2:2	x10y				Who will come into Yahweh’s house?	All nations will flow to it.
2:3	dgt8				Why will many people go up to the mountain of Yahweh?	They will go up to be taught some of Yahweh’s ways.
2:4	pr78				What will Yahweh do for the nations and many peoples?	Yahweh will judge them and render decisions.
2:4	fmcb				What will the nations not do?	They will not lift up the sword against one another or train for war.
2:5	sa5m				What is the house of Jacob told to do?	They are told to walk in the light of Yahweh.
2:6	ff3t				What has Yahweh done?	He has abandoned his people, the house of Jacob.
2:6	m3oe				Why has Yahweh abandoned the house of Jacob?	He has abandoned them because they are filled with customs from the east and are omen readers like the Philistines, and they shake hands with sons of foreigners.
