Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	rxnu				Who would lead the people of Israel when they went up against the Canaanites to fight against them?	Judah would lead the people of Israel against the Canaanites to fight against them.
1:4-5	cciw				Against whom did the men of Judah fight?	The men of Judah fought against Adoni Bezek.
1:7	fe58				Who gathered their food from under Adoni Bezek’s table?	Seventy kings, who had their thumbs and their big toes cut off, gathered their food from under Adoni Bezek’s table.
1:10	ntzn				What was the previous name of Hebron?	The name of Hebron was previously Kiriath Arba.
1:12-13	uct9				What did Caleb give to Othniel?	Caleb gave Achsah, his daughter, to be Othniel’s wife.
1:15	f9oy				Since Achsah was in Negev, what did she want her father to give her?	Since Achsah was in Negev, she wanted him to give her springs of water.
1:16	sjw4				Where is the wilderness of Judah?	The wilderness of Judah is in the Negev.
1:19	ofm8				Why could the people of Judah not drive out the inhabitants of the plains?	They could not drive out the inhabitants of the plains because the inhabitants had iron chariots.
1:21	sdu5				Why did the Jebusites live with the people of Benjamin in Jerusalem?	Because the people of Benjamin did not drive out the Jebusites who inhabited Jerusalem, the Jebusites lived with the people of Benjamin in Jerusalem.
1:25-26	oj2h				What happened to the man who showed the spies from the house of Joseph how to get into Bethel?	The spies let the man and his family get away and the man went to the land of the Hittites and built a city and called it Luz.
1:28	z5s6				When Israel became strong, what did they do to the Canaanites?	When Israel became strong, they forced the Canaanites to serve them with hard labor, but they never drove them out completely.
1:32	lwez				Why did the tribe of Asher live among the Canaanites?	The tribe of Asher lived among the Canaanites, because Asher did not drive them out.
1:34-35	ml1t				Who conquered the Amorites at Mount Heres, in Aijalon, and in Shaalbim?	The house of Joseph conquered them.
2:1	btmw				Where did the angel of Yahweh bring the people of Israel?	The angel of Yahweh brought them to the land he swore to give to their fathers.
2:3-4	r08t				When the angel said he would not drive the Canaanites out before the people of Israel, what did they do?	When the angel said he would not drive the Canaanites out before the people of Israel, they shouted and wept.
2:7	tq1t				How long did the people serve Yahweh?	The people served Yahweh during the lifetime of Joshua and of the elders who outlived him.
2:12	ki7r				What gods did the people of Israel go after?	The people of Israel went after the very gods of the peoples who were around them.
2:15	nw5v				What had Yahweh sworn to Israel?	Yahweh had sworn that wherever Israel went out to fight, Yahweh’s hand would be against them to defeat them.
2:16	yjrx				What did the judges do?	The judges saved the people of Israel from the power of those who were stealing their possessions.
2:19	ky9w				What happened when the judge died?	When the judge died, the people of Israel would turn away and do things that were even more corrupt than their fathers had done.
2:21-22	x5yy				Why would Yahweh not drive out from Israel any of the nations that Joshua left when he died?	Yahweh would not drive out from Israel any of the nations that Joshua left when he died, so that Yahweh could test Israel, whether or not they would keep the way of Yahweh and walk in it, as their fathers kept it.
3:1	zoo6				Why did Yahweh leave nations to test Israel?	Yahweh left nations to test Israel to teach warfare to the new generation of the Israelites who had not known it before.
3:4	jjnm				What would Yahweh do by means of the remaining nations?	Yahweh would test Israel by means of the remaining nations, to confirm whether they would obey the commands he gave their ancestors through Moses.
3:7	rlje				What did the people of Israel worship?	They worshiped the Baals and the Asherahs.
3:9	y8jl				Who did Yahweh first raise up, who would come to help the people of Israel?	Yahweh first raised up Othniel the son of Kenaz, Caleb’s younger brother.
3:12	omwr				Who gave strength to Eglon the king of Moab?	Yahweh gave strength to Eglon the king of Moab.
3:15	nc6z				When did Yahweh raise up Ehud to help the people of Israel?	Yahweh raised up Ehud to help the people of Israel when they called out to him.
3:16	mglj				Where did Ehud strap on the sword he made?	He strapped it on under his clothing on his right thigh.
