Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	amm2				What kind of work did Jeremiah do?	Jeremiah was a priest.
1:2	sv8u				Who was king when the word of Yahweh first came to Jeremiah?	The word of Yahweh came to Jeremiah when Josiah was king.
1:5	sqfx				When did Yahweh choose Jeremiah to be a prophet?	Yahweh chose Jeremiah before Jeremiah was born.
1:6	w2nx				Why did Jeremiah say he was not qualified?	He said he was very young.
1:7	sa9f				What did Yahweh command Jeremiah to say?	Yahweh commanded him to say whatever Yahweh commanded him to say.
1:8	dmw5				Why should Jeremiah not be afraid?	He should not be afraid because Yahweh was going to be with him and rescue him.
1:9	ipmr				What did Yahweh place in Jeremiah’s mouth?	Yahweh placed his word in Jeremiah’s mouth.
1:11	uqca				What did Jeremiah see?	He saw an almond branch.
1:12	exam				What will Yahweh do with his word?	He will carry it out.
1:14	e4j6				What was the meaning of the pot that Jeremiah saw?	The pot was a picture of coming disaster.
1:15	gks5				What will all the tribes of the northern kingdom do when Yahweh calls?	They will come and set up thrones all around Jerusalem and Judah.
1:16	h4cg				Why will Yahweh pronounce sentence against Jerusalem and Judah?	He will pronounce sentence against them because they have disobeyed him.
1:19	xr2x				What will the people do after Jeremiah speaks to them?	The people will fight against him.
2:2	ih48				What does Yahweh remember about the people of Jerusalem?	Yahweh remembers that the people of Jerusalem loved him in the past.
2:3	q3b6				What will happen to the people of Israel?	Evil will come on them.
2:4-5	sqlc				What does Yahweh want the house of Jacob to tell him?	Yahweh wants the house of Jacob to tell him what he did that was wrong.
2:7	g33b				What did the people do when God brought them to the land of Carmel?	They defiled the land.
2:8	ipa2				For whom did the prophets prophesy?	The prophets prophesied for Baal.
2:11	f0qy				For what have Yahweh’s people exchanged their glory?	Yahweh’s people have exchanged their glory for things that cannot help them.
2:13	u4f2				What two evils have Yahweh’s people committed?	His people have abandoned the springs of living waters and dug out cisterns.
2:15	ci7f				What did Israel’s enemies do to Israel?	They made Israel become slaves.
2:15	f15l				What happened to Israel’s cities?	His cities are destroyed without any inhabitants.
2:20	su5v				What did the people say after Yahweh broke their yoke and tore their fetters?	They said, “I will not serve!”
2:23-24	meu9				What animal does Yahweh say the people are like?	He says they are like camels and wild donkeys.
2:26-28	f8j1				What sin will the house of Israel be ashamed of?	They will be ashamed of worshiping trees and stones.
2:29	jds5				What is Yahweh’s declaration?	All of you have sinned against me.
2:30	nmwz				Why does Yahweh say he has punished the people in vain?	He has punished them because they do not accept discipline.
2:34	fgyh				What have the people done to the innocent and the poor?	They have killed the innocent and the poor.
2:35	gp09				Why do the people think that Yahweh’s anger will turn from them?	The people think that they have not sinned.
3:1	sh14				What kind of woman does the prophet compare the people to?	He compares them to a woman who has left her husband.
3:3-5	man8				Why did the rains not come?	The rains did not come because the people were not ashamed of their sins.
3:6	m3f5				What did Israel do on the mountains and under the trees?	Israel acted like a promiscuous woman by worshiping idols.
3:8	yebh				What did God do to Israel?	He divorced her.
3:8-10	yeaj				What did Judah do after Yahweh divorced Israel?	Judah did the same things Israel had done.
3:12	nrqm				What does Yahweh invite Israel to do?	He invites them to return.
3:13	mevo				What must the people do when they return?	They must acknowledge their sin.
3:15	voes				What will Yahweh give them if they return?	He will give them shepherds after his heart.
3:16	bhpr				How will they think about the ark of the covenant?	They will no longer think about it.
3:17	sffp				What will happen in Jerusalem?	All the other nations will gather at Jerusalem.
3:18	ll64				Will Judah and Israel still be enemies?	No, they will come together.
3:19	rvk0				How does Yahweh want to honor the people?	He wants to honor them the way a father honors his son.
3:21	ajqh				What noise is heard on the plains?	The weeping and pleading of the people of Israel is heard on the plains.
3:24	b4lj				What has happened to the things the ancestors worked for?	Idols have consumed the things that the ancestors worked for.
3:25	mkb7				What have the people and their ancestors done?	They have not listened to the voice of Yahweh their God.
4:1	wn7b				What will happen if Israel returns to Yahweh?	The nations will ask for Yahweh’s blessing.
4:4-6	m9c2				What will happen because of the people’s wickedness?	Yahweh will be furious with them and bring disaster from the north.
4:7	d9p4				What will the lion do to the people?	He will destroy their cities.
4:8	gl0p				Why would the people wrap themselves in sackcloth?	They would do it to show that they were sorry for their sins.
4:9	krj5				Why does Jeremiah think Yahweh has deceived the people?	Yahweh has promised the people peace, but someone is attacking them.
4:14	kygf				How can the people of Jerusalem be saved?	They must cleanse their hearts from wickedness.
4:16	mclm				Why are the watchmen coming from a distant land?	They are coming because Judah has rebelled against Yahweh.
4:19	u06j				Why is Jeremiah in anguish?	He hears the alarm for battle.
4:22	qfei				What is the foolishness of the people?	They do not know Yahweh.
4:26	cag0				Why was the land that Jeremiah saw empty?	The land was empty because Yahweh was angry.
4:29	ph59				What will the people in every city do?	They will run away from the attackers and leave the cities empty.
4:30	x52t				What kind of people dress in scarlet and gold jewelry?	Rich people dress this way.
4:31	zkqn				What will happen to those who are now rich?	They will be killed.
5:1	jza2				At what point will God forgive Jerusalem?	God will forgive Jerusalem if the prophet can find anyone who is acting justly.
5:3	enjg				Even though God has completely defeated the people, what do they still do?	They still refuse to receive discipline.
5:4	n14o				Why does the prophet say that these are only poor, foolish people?	They do not know Yahweh’s ways.
5:5	edyf				Do the important people know Yahweh’s ways?	No, they have rebelled against him.
5:6	ulaf				What did Jeremiah say about the people’s transgressions and acts of faithlessness?	Jeremiah said their transgressions were increasing and their acts of faithlessness were unlimited.
5:12	e3d3				What have the people said about God?	They have said that he is not real.
5:15	szv3				What is Yahweh about to do to the house of Israel?	He is about to bring a nation against them from far away.
5:17	o024				What will the enemies do to the Israelites?	The enemies will kill the Israelites’ children and eat their food.
5:19	opd7				Why will God harm Israel and Judah?	He will harm them because they abandoned Yahweh and worshiped foreign gods.
5:21	bl14				What do the eyes and ears of idols do?	They do nothing.
5:23	rwen				What does Yahweh want to do for those who fear him?	He wants to bring the rains at the right time so the harvest can be good.
5:27-28	hudv				Are the wicked among Yahweh’s people rich or poor?	They are rich.
5:29	a0s3				How will Yahweh treat the wicked?	He will punish them.
5:31	hm5u				How do the people feel about what the prophets and priests do?	They love it that way.
6:2	fmci				Why should the people of Benjamin find safety by leaving Jerusalem?	Yahweh will destroy Jerusalem.
6:4-5	u3bj				When will the enemies attack?	They will attack at noon and at night.
6:6	vauv				Why does Yahweh want the enemies to attack Jerusalem?	He wants them to attack because the city is filled with oppression and wickedness.
6:8	upsr				What will happen if Jerusalem does not accept discipline?	Yahweh will destroy Jerusalem.
6:9	l3ru				Why can Yahweh not warn the Israelites?	They are not able to pay attention.
