Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	kp2j				How is Job’s character described?	He was blameless and righteous and honored God and turned from evil.
1:5	zx8z				After Job’s sons held feasts with their brothers and sisters in their houses, what would Job do?	Job would consecrate them to God, offer burnt offerings, and pray for them.
1:8	ba5v				Why did Yahweh say Satan should consider Job?	There was no one like Job on the earth, a blameless and upright man, one who feared God and turned away from evil.
1:10	r8j0				How did Satan say Yahweh had protected Job?	He made a hedge around Job, around his house, and around all that he had on every side.
1:11	c2sy				What did Satan think would cause Job to renounce God?	He said to Job would renounce God if God attacked all Job’s possessions.
1:12	geux				What did Yahweh give Satan permission to do?	He gave Satan permission to take everything from Job, but not to lay a hand on his person.
1:14-15	f518				What did the messenger tell Job the Sabeans had done to him?	They killed all Job’s servants in the field and took away all the oxen and donkeys.
1:16	xngc				What did the second messenger tell Job had happened to his sheep?	The fire of God fell from the heavens and burned them up along with the servants.
1:17	krn8				What did the third messenger tell Job had happened to his camels?	Three groups of robbers came and attacked them. They stole all the camels and killed all the men that were caring for them.
1:18-19	giex				What news did the fourth messenger bring to Job?	Job’s sons and daughters were feasting in their brother’s home when a great wind came and struck the house, which collapsed on them and killed them.
1:20	tikd				What did Job do after he got all these messages?	Job tore his robe, shaved his head, lay facedown on the ground, and worshiped God.
1:21	rbig				What did Job say about his condition after these events?	He said he came naked from his mother’s womb, and he would return naked.
1:21	ld2q				What did Job say that Yahweh had done to him?	Yahweh gave, and Yahweh has taken away.
1:22	fk7m				How did Job show that he was not a foolish man?	Job did not sin, nor did he foolishly accuse God.
2:1	w4ih				Who came with the sons of God when they presented themselves before Yahweh?	Satan also came and presented himself.
2:2	lvje				What did Satan tell Yahweh that he had been doing?	He said he was going to and fro on the earth, and walking back and forth on it.
2:3	y5rd				How did Yahweh say that Job continued to do after Satan’s attacks?	Job held fast to his integrity.
2:5	hs5z				What does Satan want to do to Job now so that Job will curse God?	Satan wants to touch Job’s bones and his body to hurt him.
2:7	wvm7				How did Satan afflict Job’s body?	He afflicted Job with severe boils from the sole of his foot to the top of his head.
2:8	u7nw				What did Job do to deal with the pain of his affliction?	He took a potshard and scraped himself as he sat in ashes.
2:9	mx0a				What did Job’s wife want him to do?	Job’s wife wanted him to curse God and die.
2:10	mlsd				What accusation did Job make to his wife?	He accused her of thinking they should receive good at the hand of God but not evil.
2:11	zeuf				What did Job’s three friends do when they heard what happened to Job?	They came to mourn with him and comfort him.
2:12-13	bqsv				How did the three friends of Job show their grief when they saw him?	They raised their voices and wept, tore their robes, threw dust on their heads, and sat on the ground in silence for seven days and nights.
3:1-3	qses				What did Job say about the day he was born?	He cursed the day he was born and asked that it would perish.
3:5	zx0b				What does Job want to claim the day he was born?	He wants that day to be claimed by darkness and the shadow of death.
3:6	lndq				What does Job want to seize the night he was conceived?	Job wants that night to be seized by gloom.
3:11	hh41				What did Job wish had happened when he came out of the womb?	He wishes he had died at birth.
3:13-14	s5sb				What does Job say he would be doing now if he had died at birth?	He would be sleeping and at rest with kings and counselors of the earth.
3:18-19	qr04				From what are prisoners and servants released in death?	The prisoner is released from the voice of the slave driver, and the servant is free from his master.
3:21	g9i8				To whom does Job say that death will not come?	It does not come to the one who longs for death and who searches for it more than those who search for hidden treasure.
3:24	q17x				How does Job describe his groaning?	His groaning flows out like water.
3:26	kpx0				What are the things that troubles have replaced in Job's life?	He cannot be at ease or quiet and has no rest.
4:3	n2tw				What good things does Eliphaz say Job has done for others?	Job had instructed many and strengthened weak hands.
4:6	togc				What does Eliphaz say is Job’s confidence and hope in time of trouble?	Job’s fear of God is his confidence, and the integrity of his ways is his hope.
4:8-9	n3oe				Who perishes by the breath of God and his anger?	Those who plow misery and sow trouble perish and cease to exist.
4:10	jlvf				What does Eliphaz says is broken?	The teeth of young lions are broken.
4:12-13	t7h5				How did Eliphaz secretly receive a certain message?	He heard a whisper in his ear and saw visions in the night.
4:14	hklx				What came upon Eliphaz when he received the message?	Fear and trembling came on him.
4:17	fib4				What did the voice ask about mortal men?	It asked if a mortal man can be more righteous than God, more pure than his Maker?
4:19	jdro				How does Eliphaz describe mortal men?	They live in houses of clay with their foundation in the dust, and they are crushed sooner than a moth.
5:2	hc9l				What does Eliphaz say will happen to a foolish and simple man?	Indignation kills the foolish man, and resentment kills the simple one.
5:4	mha0				What happens to the children of the foolish person in the city gate?	They are unsafe, they are crushed in the gate and are not rescued.
5:7	qqhe				From where does trouble really come?	All his life, man makes his own trouble.
5:10	a4tl				What does God give to the earth and the fields?	He gives rain on the earth and sends water on the fields.
5:12	bzls				What does God do the schemes of crafty people?	He frustrates their schemes so that their hands cannot carry out their plots.
5:15	otu6				From what does God save the needy and poor person?	He saves the poor person from the threats and accusations of the mighty and saves the needy person from harm by the mighty people.
5:18	y06z				Why is the man happy whom God corrects and chastens?	He is happy because the wounds, God binds up wounds, and his hands heal.
5:22	r6uw				At what will the man whom God corrects laugh?	He will laugh at destruction and famine.
5:24	h00d				What will the man whom God corrects find when he visits his sheepfold?	He will find that nothing will be missing.
5:26	lkzz				How long will the man whom God corrects live?	He will come to his grave at a full age.
6:2-3	xxnk				How does Job describe his anguish and his calamity?	If his anguish and calamity were weighed, they would be heavier than the sand of the seas.
6:4	mmx7				What has the Almighty done to Job with his arrows?	His arrows are in Job, and Job’s spirit drinks up the poison.
6:6	fdrh				What food does Job say has no taste?	He says the white of an egg does not have any taste.
6:8-9	lw1u				What one request does Job long for God to grant him?	He wants God to crush him and cut him loose from his life.
6:10	r7un				What is Job’s consolation?	His consolation is that he has not have denied the words of the Holy One.
6:13	erse				What has been taken away from Job?	Initiative has been taken away from him.
6:14	pt5p				To whom should a friend show faithfulness?	A friend should show faithfulness to the despairing person.
6:15-17	w9dl				How does Job compare his brothers to a desert streambed?	They have dealt treacherously like a wadi: they disappear in the dry season.
6:18-20	sn6r				What happened to the caravans when they looked for water in these streams?	They wandered into barren land and then perished. They were disappointed and deceived.
6:21	bk4p				Why were Job’s friends nothing to him?	They saw his dreadful situation and were afraid, so they did not help him.
6:24	ebc7				What does Job say he will do if his friends would teach him?	He will be silent.
6:26	nqc2				What does Job say his friends plan to do with his words?	They plan to correct his words and ignore what he has said.
6:29	x0o1				Why does Job say his friends should relent in their attacks on him?	Job’s cause is just.
7:2-3	lfpy				To what does Job compare his months of misery and trouble-filled nights?	He compares them to a slave desiring relief from heat, or a hired man looking for his wages.
7:5	cnle				What covers Job’s flesh?	Worms and clods of dust, open sores and infection cover his flesh.
7:6	wrxc				What image does Job use to describe the speed of his days?	His days pass more swiftly than a weaver’s shuttle.
7:9	gil6				To what does Job compare the man who goes down to Sheol?	He is like a cloud that is consumed and vanishes away.
7:11	xxlm				In what way will Job speak and complain?	He will speak in the anguish of his spirit and complain in the bitterness of his soul.
7:14	dutm				What does God do to Job when Job goes to bed?	God scares him with dreams and terrifies him through visions.
7:16	vccp				Why did Job want God to leave him alone?	Job said his days are useless.
7:19	xbyw				What does Job ask God to let him alone long enough to do?	He asks to be left alone long enough to swallow his own saliva.
7:21	c7lj				What does Job think God will not do?	Job thinks God will not pardon his transgression and take away his iniquity.
8:2	nx2m				To what did Bildad compare the words of Job’s mouth?	He compared them to a mighty wind.
