Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-3	owce				What did Yahweh tell Joshua to do after the death of Moses?	Yahweh told Joshua to cross the Jordan and lead the people of Israel into the land that Yahweh would give them.
1:5	ntge				Why did Yahweh say that no one would be able to stand against Joshua?	Yahweh said that no one would be able to stand against Joshua because he would be with Joshua just as he had been with Moses.
1:7	umky				What three things did Yahweh ask of Joshua?	Yahweh ask Joshua to be strong, courageous and to obey the law.
1:8	rk5v				What did Yahweh ask Joshua to meditate upon day and night?	Yahweh ask Joshua to meditate day and night upon the book of the Law.
1:11	evy2				What did Joshua command the leaders of the people to do?	Joshua commanded the leaders of the people to command the people to prepare provisions for themselves to cross over the Jordan in three days.
1:13	ae9h				What two things did Joshua say Moses had said Yahweh had commanded the Reubenites, the Gadites and half the tribe of Manasseh to call to mind?	The two things that Joshua said Moses had said Yahweh had commanded the Reubenites, the Gadites and half the tribe of Manasseh to call to mind are “Yahweh your God is giving you rest, and he is giving you this land.”
1:14	uyoh				What did Joshua tell the Reubenites, the Gadites and half the tribe of Manasseh to do?	Joshua told the Reubenites, the Gadites and half the tribe of Manasseh to leave wives, children and livestock in the land Moses had given them beyond the Jordan, but the fighting men should cross the Jordan and help their brothers.
1:16	tsuq				How did the people answer Joshua commands?	The people answered Joshua commands saying they would do what he said to do and go where he said to go.
2:1	nua6				Where did the two spies from Shittim find lodging when Joshua sent them to spy on the land?	The two spies found lodging at the house of a prostitute named Rahab.
2:4	c19y				What did Rahab do with the spies when the king’s men came looking for them?	When the king’s men came to Rahab looking for the spies, she had hid them.
2:5	hxaq				What did Rahab say to the king’s men?	Rahab said to the king’s men that the spies had been there, but had already left.
2:9	bvtl				Why did Rahab tell the spies was the reason that she had hidden them.	Rahab told the spies that she had hidden them because she believed that Yahweh had given them the land.
2:10	q1re				What did Rahab say were the reasons she believed that Yahweh would give the Israelites the land?	Rahab said she believed Yahweh had given the Israelites the land because the waters of the Dead Sea had dried up allowing their escape from Egypt, and they had destroyed the Amorite kings.
2:12-13	jva0				What did Rahab ask the spies to do?	Rahab ask the spies to show mercy and to spare her and her family when they came to take the land.
2:14	yh09				What did the spies promise Rahab?	The spies promised Rahab that they would be merciful and faithful to her if she did not tell of their business.
2:18	sjfw				What did the spies ask Rahab to do to be safe?	The spies ask Rahab to put a scarlet rope in her window and gather her entire family into her house.
2:23-24	rzdg				What did the spies report to Joshua when they returned from Rahab’s city?	The spies told Joshua everything that had happened, and that Yahweh was giving them the land.
3:3	lnoj				What did the officers tell the people to follow when the Levite priests carried it?	The officers told the people to follow the ark of the covenant when the Levite priests carried it.
3:4	b05r				Why did the priests tell the people to stay about 2000 cubits behind the ark of the covenant?	The priest told the people to stay behind the ark so they could see which way to go since they had never gone that way before.
3:5	t8xv				What did Joshua say that Yahweh was going to do among the people on that day?	Joshua said that Yahweh was going to do “wonders” among the people that day.
3:8	o9g3				What did Yahweh tell Joshua to say to the priests when they got to the Jordan River?	Yahweh told Joshua to tell the priests to stand still in the Jordan River.
3:13	pl70				What did Joshua tell the people would happen when the soles of the feet of the priests carrying the ark touched the Jordan River?	Joshua told the people the waters would be cut off when the soles of the feet of the priests carrying the ark touched the river.
3:16	v53o				Where did the people cross the Jordan River?	The people crossed the Jordan near Jericho.
3:17	u449				What did the priests who carried the ark of the covenant do while the people crossed over?	The priests who carried the ark of the covenant remained in the middle of the Jordan River on dry ground while the people crossed over.
4:3	twah				What did Yahweh tell Joshua to command twelve men to take from the Jordan?	Yahweh told Joshua to command twelve men to take twelve stones from the dry ground in the middle of the Jordan where the priests were standing, and to bring them to the place where they were to spend the night.
4:7	z1y3				What did Joshua say was the purpose of taking the stones to the place where they were to spend the night?	The stones would become a memorial to remind the people of Israel forever of what Yahweh had done.
4:9	lso0				Where did Joshua set up a monument of twelve stones?	Joshua set up a monument of twelve stones were the priests had stood on dry ground in the Jordan River.
