Reference	ID	Tags	Quote	Occurrence	Question	Response
1:3	f4o0				What kind of animal did Yahweh tell Moses to tell the people to bring as a burnt offering from the herd?	Yahweh told Moses to tell the people to bring as a burnt offering from the herd a male that was without blemish.
1:4	ozmq				What did Yahweh tell the person to do to make the offering accepted on his behalf to make atonement for himself?	Yahweh told the person to put his hand on the head of the burnt offering to make it accepted on his behalf.
1:5	u490				What were the priests to do with the blood of the bull?	The priests were to present the blood and splash it upon the altar at the front of the temple.
1:8	hxyy				Who were the priests?	The priests were the sons of Aaron.
1:9	p3v1				What was to be done with the inward parts and legs before placing them on the altar to be burned?	The inward parts and the legs were to be washed with water before being placed on the altar to be burned.
1:9	wpug				What would the burnt offering produce that would be pleasing to Yahweh?	The burnt offering would produce a sweet aroma that would be pleasing to Yahweh.
1:10	cnz6				What animal did Yahweh tell Moses to tell the people to bring from the flock for a burnt offering?	Yahweh told the people to bring from the flock a male sheep or goat without blemish.
1:11	wybq				Which side of the altar must the male sheep or goat be killed?	The sheep or goat must be killed on the north side of the altar.
1:11	c3k0				Where must Aaron’s sons splash the blood of the sheep or goat?	Aaron’s sons must splash the blood of the sheep or goat on all sides of the altar.
1:14	ge30				What kinds of birds did Yahweh say could be brought as a burnt offering?	Yahweh said that a dove or young pigeon could be brought as a burnt offering.
2:1	mml2				What kind of grain offering could be brought as an offering to Yahweh?	Fine flour could be brought as an offering to Yahweh.
2:1	y4wi				What had to be done to prepare the fine flour before it was offered to Yahweh?	Oil and incense had to be added to the flour before it was offered to Yahweh.
2:3	fex5				To whom would the grain offering left belong?	Grain offering left after the burnt offering would belong to Aaron and his sons.
2:4	ssd8				If the grain offering was baked with a flat iron pan, what must it be?	If the grain offering was baked with a flat iron pan, it must be of fine flour without yeast mixed with oil.
2:11	zz3x				What substances were not to be in the grain offering?	Yeast and honey were not to be in the grain offering.
2:13	bsgs				What substance must always be in the grain offering?	Salt must always be in the grain offering.
3:1	e5eb				What fellowship offering could be offered from the herd?	A fellowship offering could be either male or female without blemish offered from the herd.
3:2	w5md				Where was the fellowship offering to be killed?	The fellowship offering was to be killed at the door of the tent of meeting.
3:3-4	yg95				What parts of the fellowship offering must be removed and placed on the altar?	The fat that connects to the inner parts, the lobe of the liver and the kidneys must be removed and placed on the altar.
3:6-8	ajw1				Was there any difference in a fellowship offering that was taken from the flock instead of the herd?	No, there was no difference.
3:9	j6wm				What different thing must be removed from the fellowship offering that comes from the flock?	The entire fat tail cut away close to the back bone must be removed if the fellowship offering comes from the flock.
3:16	lppb				To whom only did the fat belong?	The fat only belonged to Yahweh.
3:17	qqlb				What did Yahweh tell the people not to eat in any place they would ever live?	Yahweh told the people not to eat fat or blood any place they would ever live.
4:3	vm2w				About what kind of offering does the fourth chapter of Leviticus talk?	The fourth chapter of Leviticus talks about the sin offering.
4:6	namq				How many times must the priest sprinkle blood from the sin offering before Yahweh, before the curtain of the most holy place?	The priest must sprinkle some blood from the sin offering seven times before Yahweh, before the curtain of the most holy place.
4:11	qfiw				What parts of the bull were to be carried out to the place cleansed for Yahweh and poured on the ashes?	The skin of the bull and any remaining meat, with its head, legs, and inner parts, and its dung were to be carried out to the ashes.
4:15	o284				If the whole assembly of Israel sinned without wanting to sin, who was to lay their hands on the sin offering?	The elders were to lay their hands on the sin offering if the whole assembly of Israel sinned without wanting to sin.
4:20	hban				What would happen to the assembly of Israel if they followed the directions for the sin offering?	If the assembly if Israel followed the directions of the sin offering, they would be forgiven.
4:23	kpw8				What was the animal to be offered if a ruler sinned?	If a ruler sinned, he was to offer a male goat without blemish.
4:27	o1f3				What were the common people to bring as a sacrifice if they sinned?	Common persons were to bring a female goat without blemish to be a sin offering if they sinned.
4:32	k79j				Could a man bring a female lamb without blemish as a sacrifice for a sin offering?	Yes, a man could bring a female lamb without blemish as a sacrifice for a sin offering.
5:1	ssvh				What is one sin of omission for which one would be held responsible?	If anyone sinned by not testifying about something he saw or heard, when he was required to testify, he would be held responsible.
5:2	sohi				What would one be declared who touched anything God had designated as unclean?	If anyone touched anything God had declared unclean, that person would be declared unclean and guilty.
5:5-6	ub8w				What two things must the one who was guilty of a sin do?	The one who was guilty of a sin must confess whatever sin he commited and bring his guilt offering to Yahweh.
5:6	u4lb				What was the animal that should be brought to Yahweh for a guilt offering?	A female goat or sheep should be brought to Yahweh for a guilt offering.
5:7	z3pa				If he could not afford to buy a lamb, what could he bring to Yahweh for a sin offering?	If he could not afford a lamb, he could bring to Yahweh for a sin offering two doves or two young pigeons.
5:11	cyow				If he could not afford two doves or two young pigeons, what could he bring for his sin offering?	If he could not afford two doves or two young pigeons, he could bring a tenth of an ephah of fine flour without any oil or incense on it.
