Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2	kowp				Who were the “eyewitnesses” that Luke mentions?	The “eyewitnesses” were the ones who were with the apostles from the beginning of Jesus’ ministry.
1:2	gjx5				What did some of the eyewitnesses do after they saw what Jesus did?	They wrote down an account or story of what Jesus did.
1:4	b5g8				Why did Luke decide to write his own account of what Jesus said and did?	He wanted Theophilus to know the certainty concerning the things he had been taught.
1:6	ykne				Why did God consider Zechariah and Elizabeth to be righteous?	God considered them to be righteous because they walked blamelessly in his commandments.
1:7	lyss				Why did Zechariah and Elizabeth have no children?	They did not have children because Elizabeth was unable to bear a child. Now she and Zechariah were very old.
1:8	ndy2				What work was Zechariah doing before God?	Zechariah was serving as a priest.
1:9	am5d				What did Zechariah do in the temple?	He burned incense to God.
1:10	i1yp				What did the people do while Zechariah was in the temple?	The people stayed outside the temple and were praying.
1:11	aeen				Who appeared to Zechariah while he was in the temple?	An angel of the Lord appeared to Zechariah in the temple.
1:12	x8vw				How did Zechariah act when he saw the angel?	When Zechariah saw the angel, he was troubled and became very afraid.
1:13	di28				What did the angel say to Zechariah?	The angel told Zechariah not to be afraid and that his wife Elizabeth would have a son. His son’s name would be John.
1:16	uvx1				What did the angel say John would do for the sons of Israel?	The angel said John would turn the sons of Israel back to the Lord their God.
1:17	itoe				What kind of people would John's deeds make ready?	John's deeds would make ready a people prepared for the Lord.
1:19	nsxz				What was the angel’s name and where did he normally stay?	The angel’s name was Gabriel and he normally stood in the presence of God.
1:20	go3k				What did the angel say would happen to Zechariah because he did not believe the angel’s words?	Zechariah would not be able to speak until the child was born.
1:27	sls7				Sixth months after Elizabeth’s conception, who was Gabriel sent by God to see?	He was sent to a virgin named Mary, who was engaged to Joseph, a descendant of David.
1:31	mv8j				What did the angel say would happen to Mary?	The angel said that Mary would become pregnant and bear a son, whom she would call Jesus.
1:33	c31e				What would the child do?	The child would reign over the descendants of Jacob forever, and there would be no end to his kingdom.
1:35	gpsc				How did the angel say this would happen since Mary was a virgin?	The angel said that the Holy Spirit would come upon Mary and the power of the Most High would overshadow her.
1:35	jxtb				The angel said that this holy child would be whose son?	The angel said that the child would be called the Son of God.
1:37	muvo				What did the angel say is not impossible for God?	Every word is not impossible for God.
1:41	ln0x				When Mary greeted Elizabeth, what did Elizabeth’s baby do?	The baby leaped in her womb for joy.
1:42	nyxb				Who did Elizabeth say was blessed?	Elizabeth said that Mary and her baby were blessed.
1:54	bf4d				Why did God help his servant Israel?	God remembered his mercy.
1:59	so1w				On the day of circumcision, what would they normally have named Elizabeth’s son?	Normally, they would name him Zechariah, after his father.
1:63	opls				What did Zechariah write when asked what the name of the child should be?	Zechariah wrote “His name is John.”
1:64	yzdk				What happened to Zechariah immediately after he wrote the child’s name?	Immediately after he wrote the child’s name, Zechariah spoke and praised God.
1:66	hn4h				Because of all these events, what did everyone realize about the child?	They realized that the hand of the Lord was with him.
1:68	hv8v				What had God now accomplished that caused Zechariah to praise God?	God had now accomplished redemption for his people.
1:77	der1				What was it Zechariah prophesied that his child John would help the people to know?	John would help the people know how they could be saved through the forgiveness of their sins.
1:80	jswc				Where did John grow up and live until he began to appear publicly?	John grew up and lived in the wilderness.
2:3	fd0v				Where did the people go to be registered for the census?	The people went to their own town to be registered.
2:4	o7h3				Why did Joseph go to Bethlehem with Mary to be registered there?	Joseph and Mary went to Bethlehem because Joseph was a descendant of David.
2:7	bzmx				When Mary gave birth to her son, where did she place him?	When the child was born, Mary placed him in a manger.
2:8	euif				What were the shepherds doing that night?	They were staying in the open and keeping watch over their flocks.
2:9	e8sp				How did the shepherds react when they saw the angel?	The shepherds were very afraid.
2:11	vzkf				What good news did the angel give to the shepherds?	The angel told the shepherds that the Savior had been born, the one who is Christ the Lord.
2:15	kpya				What did the shepherds decide to do after the angels left them?	The shepherds decided to go to Bethlehem to see the child that had been born.
2:16	lk05				What did the shepherds find in Bethlehem?	The shepherds found Mary and Joseph, and the baby, who was lying in the manger.
2:21	kk9x				When was Jesus circumcised?	Jesus was circumcised on the eighth day after his birth.
2:22	rp5d				Why did Joseph and Mary bring the baby Jesus to the temple in Jerusalem?	They brought him to the temple to present him to the Lord and to offer a sacrifice that was commanded in the Law of Moses.
2:26	eh4j				What did the Holy Spirit reveal to Simeon?	The Holy Spirit revealed to Simeon that he would not die before he saw the Lord’s Christ.
2:32	ssnc				What did Simeon say would happen to Mary because she was Jesus' mother?	Simeon said that Jesus would be a light for revelation to the Gentiles and glory to God’s people, Israel.
2:35	t21p				What did Simeon say would happen to Mary as a result of Jesus?	Simeon said that a sword would pierce her own soul.
2:38	c215				What did the prophetess Anna do when she came up to Mary, Joseph, and Jesus?	Anna began to thank God and to talk about the child to everyone.
2:40	spq8				What happened to the child Jesus after he returned to Nazareth?	Jesus grew and became strong, increasing in wisdom, and the grace of God was upon him.
2:44	twwk				Why did Jesus’ parents not realize he had stayed behind in Jerusalem during the Festival of the Passover?	They did not realize because they assumed that he was in the group that was traveling with them.
2:46	umuq				Where did his parents find Jesus and what was he doing?	His parents found him in the temple, sitting in the middle of the teachers and listening to them and asking them questions.
2:49	cp88				What did Jesus answer when Mary said to him that they had been anxiously searching for him?	“Did you not know I must be in my Father’s house?”
2:51	n2aw				What was Jesus’ attitude toward his parents when they returned to Nazareth?	He was subjected to them.
2:52	zo9z				As Jesus grew up, what kind of young man was he?	He grew in wisdom and stature, and increased in favor with God and people.
3:3	ccc7				What message did John preach throughout the region around the Jordan River?	John preached a baptism of repentance for the forgiveness of sins.
3:4	ep3t				For whom did John say he was making ready the way?	John said he was making ready the way of the Lord.
3:8	hnfb				What did John tell the people to do instead of trusting in the fact that Abraham was their father?	John told them to produce fruits that come from repentance.
3:9	az6s				What did John say happens to the tree that does not produce good fruit?	John said that it is chopped down and thrown into the fire.
3:13	r6m1				What did John tell the tax collectors they must do to show true repentance?	John said that they must not collect more money than they were ordered to collect.
3:16	nu5n				John told the people that he baptized with water. With what did he say that someone was coming would baptize?	John said someone was coming who would baptize with the Holy Spirit and with fire.
3:19	qu43				Why did John rebuke Herod?	John rebuked Herod because Herod had married his own brother’s wife and had done many other evil things.
3:20	cblf				Who put John into prison?	Herod put John into prison.
3:21	t9le				What happened right away after John baptized Jesus?	After John baptized Jesus, the heavens opened up.
3:22	ppto				Who came down from heaven after John baptized Jesus?	The Holy Spirit came down on Jesus like a dove.
3:22	izpa				What did the voice from heaven say?	The voice from heaven said, “You are my beloved son. I am very pleased with you”.
3:23	ndmr				About how old was Jesus when he began to teach?	Jesus was about 30 years old when he began to teach.
4:1	ti9c				Who led Jesus into the wilderness?	The Holy Spirit led Jesus into the wilderness.
4:2	qzua				How long did the devil tempt Jesus in the wilderness?	The devil tempted Jesus in the wilderness for 40 days.
4:3	jpbn				What did the devil challenge Jesus to do with the stones on the ground?	The devil told Jesus to turn the stones into bread.
4:4	ojkz				What was Jesus’ response to the devil?	Jesus said that it was written that man shall not live on bread alone.
4:5	oi56				What did the devil show to Jesus from a high place?	The devil showed Jesus all of the kingdoms of the world.
4:7	t1ax				What did the devil want Jesus to do?	The devil wanted Jesus to bow down before him.
4:8	j69z				What was Jesus’ response to the devil?	Jesus said that it was written that you must worship the Lord your God, and you must serve him only.
4:9	plz7				What did the devil tell Jesus to do when he took him to the highest point of the temple?	He told Jesus to jump down from there.
4:12	jttf				What was Jesus’ response to the devil?	Jesus said that it was written that you must not test the Lord your God.
4:13	aupr				What did the devil do after Jesus refused to jump from the temple?	The devil left Jesus until another time.
4:17	wnko				From which book of the scriptures did Jesus read when he stood up in the synagogue?	Jesus read from the prophet Isaiah.
4:21	r497				What did Jesus say was being fulfilled on that day?	Jesus said that the scripture he had just read from Isaiah was being fulfilled that day.
4:24	wikq				What kind of reception did Jesus say a prophet receives in his own country?	Jesus said that no prophet is accepted in his own country.
