Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	o4pb				In the genealogy of Jesus Christ, which two ancestors are listed first, indicating their importance?	The two ancestors listed first are David and Abraham.
1:16	vey7				At the end of the genealogy, who is the wife that is named, and why is she listed?	Mary, the wife of Joseph, is listed because by her Jesus was born.
1:18	yex8				What happened to Mary before she had come together with Joseph?	Mary became pregnant by the Holy Spirit before she had come together with Joseph.
1:19	tu3d				What kind of man was Joseph?	Joseph was a righteous man.
1:19	xrzl				What did Joseph decide to do when he learned Mary was pregnant?	Joseph decided to end the engagement with Mary secretly.
1:20	wuf6				What happened to Joseph that made him decide to remain engaged to Mary?	An angel told Joseph in a dream to take Mary as his wife because the baby was conceived by the Holy Spirit.
1:21	sz7n				Why was Joseph told to give the baby the name Jesus?	Joseph was told to name the baby Jesus because he will save his people from their sins.
1:23	hqo8				What is written in the Old Testament prophecy which was fulfilled in these events?	The Old Testament prophecy was that a virgin would give birth to a son and that they would call his name Emmanuel, which means “God with us.”
1:25	keii				What was Joseph careful not to do until Mary gave birth to Jesus?	Joseph was careful not to sleep with Mary until she gave birth to Jesus.
2:1	yxb0				Where was Jesus born?	Jesus was born in Bethlehem of Judea.
2:2	be08				What title did the learned men from the east give to Jesus?	The learned men from the east gave Jesus the title “King of the Jews.”
2:2	jrcn				How did the learned men know the King of the Jews had been born?	The learned men had seen the star of the King of the Jews in the east.
2:3	wupq				How did King Herod respond to the news from the learned men?	When King Herod heard the news from the learned men, he was troubled.
2:5-6	mk3s				How did the chief priests and scribes know where the Christ would be born?	They knew the prophecy that said the Christ would be born in Bethlehem.
2:9	t6q7				How did the learned men find exactly where Jesus was?	The star in the east went before them until it stood over where Jesus was.
2:11	g4rc				How old was Jesus when the learned men came to see him?	Jesus was a young child when the learned men came to see him.
2:11	y31m				What gifts did the learned men give to Jesus?	The learned men gave to Jesus gifts of gold, frankincense, and myrrh.
2:12	fqou				By what way did the learned men return home, and why did they go this way?	The learned men returned home another way because God warned them in a dream not to return to Herod.
