Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2-3	a4zc				What did the prophet Isaiah predict would happen before the Lord came?	Isaiah predicted that God would send a messenger, a voice of someone calling out in the wilderness, to prepare the way of the Lord.
1:4	g2v6				What did John come preaching?	John came preaching a baptism of repentance for the forgiveness of sins.
1:5	kdd7				What did the people do as they were baptized by John?	The people confessed their sins as they were baptized by John.
1:6	zlqi				What did John eat?	John ate locusts and wild honey.
1:8	yakl				With what did John say the one coming after him would baptize?	John said the one coming after him would baptize with the Holy Spirit.
1:10	y6fa				What did Jesus see as he came up out of the water after being baptized by John?	After being baptized, Jesus saw the heavens split open and the Spirit descend on him as a dove.
1:11	f2a4				What did the voice from heaven say after Jesus was baptized?	The voice from heaven said, “You are my beloved Son; I am very pleased with you.”
1:12	ahm3				Who drove Jesus out into the wilderness?	The Spirit drove Jesus out into the wilderness.
1:13	ex5p				How long was Jesus in the wilderness, and what happened to him there?	Jesus was in the wilderness 40 days, and he was tempted by Satan there.
1:15	kyxp				What message did Jesus preach?	Jesus preached that the kingdom of God was near, and that people must repent and believe in the gospel.
1:16	yzo9				What was the occupation of Simon and Andrew?	Simon and Andrew were fishermen.
1:17	r3ba				What did Jesus say he would make Simon and Andrew become?	Jesus said he would make Simon and Andrew fishers of men.
1:19	foqj				What was the occupation of James and John?	James and John were fishermen.
1:22	lq6y				Why did Jesus’ teaching astonish the people in the synagogue?	Jesus’ teaching astonished the people because Jesus taught as one with authority.
1:24	rtx4				What title did the unclean spirit in the synagogue give Jesus?	The unclean spirit in the synagogue gave Jesus the title of the Holy One of God.
1:28	dn9o				What happened with the news about Jesus?	The news about Jesus went out everywhere.
1:30	ii0v				When they went into Simon’s house, who did Jesus heal?	When they went into Simon’s house, Jesus healed Simon’s mother-in-law.
1:32-34	ywmc				What happened when it was evening?	When it was evening, the people brought all who were sick or possessed by demons, and Jesus healed them.
1:35	i2xa				What did Jesus do before the sun rose?	Before the sun rose, Jesus went out to a solitary place and prayed there.
1:38-39	y32l				What did Jesus tell Simon he had come to do?	Jesus said that he had come to preach in the surrounding towns.
1:40-41	xyj3				What attitude did Jesus have toward the leper who begged Jesus to be healed?	Jesus had pity on the leper and healed him.
1:44	dzi8				What did Jesus tell the leper to do, and why?	Jesus told the leper to go offer the sacrifices according to what Moses commanded. It would serve the community as a testimony that he was healed.
