Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	pj7m				Who wrote the book of Nehemiah?	Nehemiah the son of Hacaliah wrote the book of Nehemiah.
1:1-2	rgb8				When did Nehemiah ask Hanani and some people from Judah about the Jews who had escaped, the remnant of the Jews who were there, and about Jerusalem?	He asked them in the month Kislev, in the twentieth year.
1:3	rti7				What did Hanani and some people from Judah reply?	They replied that those who remained in the province were in great evil and reproach because Jerusalem’s wall was broken down and its gates were burned with fire.
1:4	af2l				What did Nehemiah do when he heard about the condition of Jerusalem?	He sat down and wept, and he mourned for days. He also fasted and prayed.
1:4	ifk9				What did Nehemiah request while praying before the God of heaven?	Nehemiah requested that Yahweh would listen to his prayer. Nehemiah requested that Yahweh would remember the word he commanded Moses, promising to gather the scattered Israelites if they returned to him and kept his commandments. Nehemiah requested that Yahweh would give him success and grant him mercy.
1:6-7	u5gf				What did Nehemiah confess while praying before the God of heaven?	Nehemiah confessed the sins of the people of Israel and his own sins and the sins of his family. Nehemiah said they had acted very corruptly against Yahweh and had not kept the commandments, the statutes, and the judgments that Yahweh had commanded Moses.
1:8-11	bjby				What did Nehemiah request while praying before the God of heaven?	Nehemiah requested that Yahweh would listen to his prayer. Nehemiah requested that Yahweh would remember the word he commanded Moses, promising to gather the scattered Israelites if they returned to him and kept his commandments. Nehemiah requested that Yahweh would give him success and grant him mercy.
1:11	aoju				To whom did Nehemiah serve as cupbearer?	Nehemiah served as cupbearer to the king.
2:1	nitw				At what date did Nehemiah, when he was sad, give wine to the king?	Nehemiah gave wine to the king in the month of Nisan, in the twentieth year of King Artaxerxes.
2:3	iqxk				Why was Nehemiah sad?	He was sad because Jerusalem, the city of the graves of his fathers, was desolate and its gates had been consumed by fire.
2:4	h4j8				When the king asked what Nehemiah wanted him to do, what did Nehemiah do?	Nehemiah prayed to the God of heaven.
2:4-5	c6xk				What did Nehemiah want the king to give him permission to do?	Nehemiah wanted permission from the king to go to Judah to rebuild the city.
2:9-10	ga17				When the king sent Nehemiah with officers of the army and horsemen, why were Sanballat and Tobiah displeased?	Sanballat and Tobiah were displeased that someone had come who wanted to seek good for the people of Israel.
2:12	ts27				When Nehemiah arose in the night, who did he tell what God had put into his heart to do for Jerusalem?	At that time, Nehemiah did not tell anyone what his God had put into his heart to do for Jerusalem.
2:17-18	wp84				When Nehemiah told the rulers, the Jews, the priests, the nobles, the rest who did the work that the good hand of his God was on him and about the words the king had spoken to him, what did they say and do?	They said that they would rise and build, and they strengthened their hands for the good work.
2:19-20	a2g9				How did Nehemiah respond to Sanballat, Tobiah, and Geshem when they heard about the work, and mocked and ridiculed the workers?	Nehemiah responded by saying that God would give them success, that they were God’s servants, and that Sanballat, Tobiah, and Geshem had no share, no right, and no memorial in Jerusalem.
3:1	ky5b				Who built and consecrated the Sheep Gate?	Eliashib built and consecrated the Sheep Gate along with his brothers, the priests.
3:3	sde4				Who built the Fish Gate?	The sons of Hassenaah built the Fish Gate.
3:5	hpuq				Whose nobles refused to do the work ordered by their lords?	The nobles of the Tekoites refused to do the work.
3:6	mnre				Who repaired the Old Gate?	Joiada and Meshullam repaired the Old Gate.
3:8	tu74				Who repaired Jerusalem as far as the Broad Wall?	Uzziel and Hananiah repaired that portion of Jerusalem.
3:11	bjyn				Who repaired another section along with the Tower of Ovens?	Malkijah (the son of Harim) and Hasshub repaired another section and the Tower of Ovens.
3:12	p0xf				Who helped Shallum repair the walls?	His daughters helped him.
3:13	t46o				Who repaired the Valley Gate as far as the Dung Gate?	Hanun and the inhabitants of Zanoah repaired the Valley Gate and the entire portion of wall between the Valley Gate and the Dung Gate.
3:14	nmjl				Who repaired the Dung Gate?	Malkijah (the son of Recab) repaired the Dung Gate.
3:15	sgj3				Who repaired the Fountain Gate and the wall of the Pool of Siloam?	Shallun repaired the Fountain Gate and the wall of the Pool of Siloam.
