Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-3	ev7x				Who did Yahweh tell Moses to count in the census?	He told Moses to count all the men of Israel, every male who was twenty years old or older.
1:4	t0ct				Who would serve Moses as tribe leaders?	A man from every tribe, a clan head, would serve as his tribe’s leader.
1:18	pxom				How did each man identify his ancestry?	He had to name the clans and families descended from his ancestors.
1:46	hpk6				How many men from the tribes twenty years old or older who could fight in a war were recorded?	There were 603,550 men from the tribes.
1:47	svur				The men from what tribe were not to be counted?	The men from the tribe of Levi were not counted.
1:50	nmm4				For what were the Levites assigned to care?	They were assigned to care for the tabernacle, for all the furnishings in the tabernacle, and for everything in it.
1:51	sua8				What were the Levites to do to any stranger who came near the tabernacle?	The Levites were to kill strangers that came near the tabernacle.
1:52	lda8				Where were the people of Israel to set up their tents?	Each man was to set up his tent near the banner that belonged to his armed group.
1:53	hqmx				Where were the Levities to set up their tents?	They were to set up their tents around the tabernacle of the covenant decrees.
1:54	g3mt				Did the people do what Yahweh commanded?	Yes, they did everything commanded by Yahweh through Moses.
2:1-2	wjuh				Where did Yahweh tell Moses and Aaron for the tribes to put their tents?	Yahweh told the tribes to put their tents around the banner of their armed group and around a smaller flag indicating their tribe. Their camps were to face the tent of meeting.
2:3-4	vrlr				Where did Moses say the 74,600 men of the army of the tribe of Judah must camp, and who must lead their army?	They must camp around Judah’s banner to the east of the tent of meeting where the sun rises, and that Nahshon must lead their army.
2:5-6	j6uh				Where must the 54,400 men of the tribe of Issachar camp, and who must lead their army?	They must camp next to Judah, and Nethanel must lead the army.
2:7-8	k7z1				Where must the 57,400 men of the tribe of Zebulun camp and who must lead their army?	They must camp next to Issachar, and Eliab must lead the army.
2:9	gnm8				Who is to go first out of the camp?	All the armies that camp with Judah would go first out of the camp.
2:10-11	hjgl				Where must the 46,500 men of the tribe of Reuben camp, and who must lead their army?	They must camp around the banner of Rueben on the south side, and Elizur must lead the army.
2:12-13	mdx9				Where must the 59,300 men of the tribe of Simeon camp, and who must lead their army?	They must camp next to Rueben, and Shelumiel must lead their army.
2:14-15	ka0d				Where must the 45,650 men of the tribe of Gad camp, and who must lead their army?	They must camp next, and Eliasaph must lead their army.
2:16	kn2w				Who is to go second out of the camp?	All the armies that camp together with Reuben must go out second.
2:24	o3ci				How many people were numbered in the camp of Ephraim?	There were 108,100 people numbered in the camp of Ephraim.
2:24	kevw				When was the camp of Ephraim supposed to set out in relation to the other camps?	The camp of Ephraim was supposed to set out third.
2:25	c038				Who was the leader of the people of Dan?	The leader of the people of Dan was Ahiezer son of Ammishaddai.
2:32-33	mxsr				Whom did Moses and Aaron not count among the people of Israel and why?	Moses did not count the Levites among the people of Israel because this was as Yahweh had commanded Moses.
2:34	gjd5				What did the people of Israel do?	The people of Israel did everything that Yahweh commanded Moses—camped by their banners and went out from camp by their clans in the order of their ancestor’s families.
3:1	fb25				Of what was this the history?	This was the history of the descendants of Aaron and Moses.
3:2	wzoe				What were the names of Aaron’s sons?	The names of Aaron’s sons were Nadab, Abihu, Eleazar, and Ithamar.
3:4	ejsc				Why did Nadab and Abihu fall dead before Yahweh?	Nadab and Abihu fell dead before Yahweh when they offered unacceptable fire to him.
3:4	c3bc				Which of Aaron’s sons served as priests with Aaron?	Eleazar and Ithamar served with their father Aaron as priests.
3:6	ytdc				Which tribe did Yahweh say was to help Aaron serve as priest?	The tribe of Levi was to help Aaron.
3:7-8	wriz				What were the duties of the tribe of Levi?	They were to perform the duties on behalf of Aaron and the whole community, care for all furnishings, and help the tribes with the tabernacle service.
3:9-10	x9fc				Whom did Yahweh give to help Aaron and his sons?	Yahweh gave the Levites to Aaron and his sons to serve as priests for the people of Israel.
3:11-13	hzoc				Whom did Yahweh set apart for himself?	Yahweh set apart for himself the Levites and all the firstborn in Israel, both people and animals.
3:13	enld				When did God set apart all the firstborn of Israel?	He set apart for himself all the firstborn in Israel on the day that he attacked all the firstborn in the land of Egypt.
3:15-16	f4m1				Whom did Yahweh command Moses to count in the tribe of Levi?	Yahweh commanded Moses to count every male in Levi who was one month old and older.
3:17	rjvd				Who were the sons of Levi?	The sons of Levi were Gershon, Kohath, and Merari.
3:23	wfk3				Where were the clans of the Gershonites to camp?	The clans of the Gershonites were to camp on the west side of the tabernacle.
3:24	fxpt				Who was to lead the clans of the descendants of the Gershonites?	Eliasaph the son of Lael was to lead the clans of the descendants of the Gershonites.
3:25-26	f2vy				Who was to care for the tabernacle curtains, the tent, the tent covering, the entrance curtain, the courtyard hangings, the courtyard entrance curtain, and the courtyard, ropes, and all that was in the tent of meeting?	The clans of the Gershonites who camped on the west side of the tabernacle were to care for the tabernacle coverings, curtain, and ropes.
3:31	bpwh				What were the clans from Kohath who camped on the south side of the tabernacle do?	They were to take care of the sanctuary, the sanctuary curtain, and everything in the sanctuary.
3:32	f6be				Who was Eleazar the son of Aaron the priest to supervise?	He was to supervise the men who led the Levites and the men who cared for the sanctuary.
3:35	gwhd				Who was to lead the clans of Merari who camped on the north side of the tabernacle?	Zuriel son of Abihail was to lead the clans of Merari.
3:36-37	wp1u				What were the clans from Merari who camped on the north side of the tabernacle do?	They were to care for the boards of the tabernacle, the crossbars, posts, bases, all of the hardware, and everything that went with them.
3:38	b2cr				What were Moses and Aaron and sons who were camped on the east of the tabernacle do?	They were to do the duties of the sanctuary and the duties of the people of Israel.
3:38	twyw				What was to happen to any foreigner who approached the sanctuary?	Any foreigner who approached the sanctuary was to be put to death.
3:39	rl5g				Whom did Moses and Aaron count?	Moses and Aaron counted all the males in the clans of Levi who were one month old and older.
3:41	d7u7				Whom did Moses take for Yahweh instead of the firstborn of Israel and instead of their livestock?	Moses took the Levites and their livestock instead of Israel’s firstborn men and livestock.
3:43	z8cw				Then whom did Moses count?	Moses counted all the firstborn males of Israel by name, aged one month old and older.
3:45	u3af				To whom did all the Levites belong?	The Levites belonged to Yahweh.
3:46	g8tn				How many sanctuary shekels did Moses collect per firstborn to buy back each of the 273 firstborn people of Israel who exceeded the number of the Levites?	Moses collected 5 shekels each to buy back each of the 273 firstborn people of Israel who exceeded the number of the Levites.
3:51	utfo				To whom did Moses give the money to buy back the first born of the people of Israel?	He gave the money to Aaron and his sons as Yahweh had commanded him.
3:51	uhne				How much did Moses do of what he was told to do by Yahweh’s word?	Moses did everything he was told to do by Yahweh’s word.
4:1-3	ln54				What were Moses and Aaron to conduct?	Moses and Aaron were to conduct a census of the male descendants of Kohath from among the Levites who were 30 to 50 years old.
4:4	oyv8				What were the descendants of Kohath to do to serve in the tent of meeting?	They were to care for the most holy things reserved for Yahweh in the tent of meeting.
