Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	v5pt				To whom did Paul address this letter?	Paul addressed this letter to all the people who are set apart in Christ Jesus at Philippi, including the overseers and deacons.
1:5	g0p6				For what did Paul give thanks to God for the Philippians?	Paul gave thanks to God for the Philippians’ fellowship in the gospel from the first day until now.
1:6	qyug				Of what was Paul confident regarding the Philippians?	Paul was confident that he who had begun a good work in them would complete it.
1:7	nn5a				In what had the Philippians been Paul’s partners?	In Paul’s imprisonment, and in his defense and confirmation of the gospel, the Philippians had been his partners.
1:9	i559				What did Paul pray would increase more and more among the Philippians?	Paul prayed that love would increase more and more among the Philippians.
1:11	pzs8				With what did Paul desire that the Philippians be filled?	Paul desired that the Philippians be filled with the fruits of righteousness.
1:12-14	gdhi				How had Paul’s imprisonment advanced the gospel?	Paul’s imprisonment for Christ had become widely known, and most of the brothers were now speaking with more boldness.
1:17	qqp5				Why were some proclaiming Christ out of selfish and insincere motives?	Some were proclaiming Christ out of selfish and insincere motives thinking they were adding to Paul’s affliction in prison.
1:18	m7cv				What was Paul’s reaction to the sincere and insincere preaching of Christ?	Paul rejoiced that, either way, Christ was being proclaimed.
1:20	mwia				What did Paul desire to do in life or by death?	Paul desired to bring glory to Christ either in life or by death.
1:21	ssns				Paul said that to live is what, and to die is what?	Paul said that to live is Christ, and to die is gain.
1:22-24	vjr2				What choices pulled Paul in different directions?	Paul was pulled by the choices of being with Christ in death or of remaining in the flesh to continue his labor.
1:25	wciu				For what purpose was Paul  confident that he would remain with the Philippians?	Paul was confident that he would remain with the Philippians for their progress and joy in the faith.
1:27	zd8v				Whether with the Philippians or away from them, what did Paul want to hear about the Philippians?	Paul wanted to hear that the Philippians stood fast in one spirit, with one soul striving together for the faith of the gospel.
1:28	qv5m				When the Philippians did not fear those opposing them, of what was that a sign?	When the Philippians did not fear those opposing them, it was a sign of their opponents’ destruction, but of the believers' salvation.
1:29	sd8l				What two things had been granted to the Philippians by God?	It had been granted to the Philippians that they believe on Christ, but also that they suffer on his behalf.
2:2	mm4l				What does Paul say the Philippians must do to make his joy full?	The Philippians must be of the same mind, have the same love, and be united in spirit and mind.
2:3	etup				How does Paul say the Philippians should consider each other?	The Philippians should consider each other better than themselves.
2:5-6	vyrj				Whose mind does Paul say we need to have?	Paul says we need to have the mind of Christ Jesus.
2:6	pasu				In what form did Christ Jesus exist?	Christ Jesus existed in the form of God.
2:7	d1nd				What form did Christ Jesus then take?	Christ Jesus then took the form of a servant, in the appearance of a man.
2:8	onkd				How did Jesus humble himself?	Jesus humbled himself by obeying to the point of death on the cross.
2:9	qzz9				What did God then do for Jesus?	God highly exalted Jesus and gave him the name above every name.
2:11	r2q5				What will every tongue confess?	Every tongue will confess that Jesus Christ is Lord.
2:12	dwej				How are the Philippians called to work out their salvation?	The Philippians are to work out their salvation with fear and trembling.
2:13	g0xe				What does God work in believers to do?	God works in believers both to will and to work for his good pleasure.
2:14	v65j				Everything must be done without what?	Everything must be done without complaining and arguing.
2:17	rrv1				For what purpose is Paul pouring out his life?	Paul is pouring out his life in the sacrifice and service of the Philippian’s faith.
2:20	dglx				Why is Timothy a unique helper for Paul?	Timothy is unique because he truly cares for the Philippians.
2:24	fy7y				Is Paul expecting to see the Philippians?	Yes, Paul expects to see the Philippians soon.
2:30	k689				For what did Epaphroditus almost die?	Epaphroditus almost died doing the work of Christ, serving Paul and supplying Paul’s needs.
3:2	ylu8				For whom does Paul warn the believers to watch out?	Paul warns the believers to watch out for the dogs, the evil workers, and the mutilators.
3:3	qgbe				Who does Paul say are the true circumcision?	Paul says the true circumcision are those who worship in the Spirit of God, glory in Christ Jesus, and have no confidence in the flesh.
3:6	jsnk				How does Paul describe his previous conduct in respect to the righteousness of the law?	Paul describes his previous conduct as blameless in respect to the righteousness of the law.
3:7	ieyj				How does Paul now regard his previous confidence in the flesh?	Paul now counts all his previous confidence in the flesh as worthless because of Christ.
3:8	jzfo				For what purpose does Paul now consider all the previous things as garbage?	Paul considers all the previous things as garbage so that he may gain Christ.
3:9	easa				What righteousness does Paul now have?	Paul now has the righteousness from God that is through faith in Christ.
3:10	c5cv				Paul has fellowship with Christ in what?	Paul has the fellowship of Christ’s sufferings.
3:12	iktp				Although he is not yet complete, what does Paul continue to do?	Paul pursues perfection to grasp the reason for which Jesus grasped him.
