Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	z0ug				Who was the author of these proverbs?	Solomon, king of Israel, was the author of these proverbs.
1:3	k8tm				How do these proverbs teach people to live?	These proverbs teaches people to live by doing what is right, just, and fair.
1:5	isx5				What can the wise receive by listening to these proverbs?	The wise can increase their learning by listening to these proverbs.
1:7	u918				What is the beginning of knowledge?	The fear of Yahweh is the beginning of knowledge.
1:8	dd5i				To whose instruction should a son listen?	A son should listen to instruction from his father and mother.
1:10	pw0t				What should a son do if sinners try to entice him with sin?	A son should refuse to follow those who try to entice him with sin.
1:13	igjt				With what do those who are sinning plan to fill their houses?	Those who are sinning plan to fill their houses with what they steal from others.
1:16	xnpe				What do those who are sinning hurry to do?	Those who are sinning hurry to shed blood.
1:19	i9yz				What does unjust gain do to those who hold on to it?	Unjust gain takes away the lives of those who hold on to it.
1:20-21	hcam				Who cries aloud in the streets, open places, and city gates?	Wisdom cries aloud in the streets, open places, and city gates.
1:24-25	ua8z				What did those who lacked wisdom do when Wisdom called out to them?	Those who lacked wisdom refused to listen and did not pay attention when Wisdom called out to them.
1:26	ycub				What will Wisdom do when calamity comes on those who lacked wisdom?	Wisdom will laugh when calamity comes on those who lacked wisdom.
1:28	eyy6				What will Wisdom do when those who lacked wisdom call upon her?	Wisdom will not answer when those who lacked wisdom call upon her.
1:31	ltiu				With what will those who lacked wisdom be filled?	Those who lacked wisdom will be filled with the fruit of their schemes.
1:33	e2i3				How will those live who listen to Wisdom?	Those who listen to wisdom will live in safety.
2:1	u1uo				What does Wisdom want her son to treasure?	Wisdom wants her son to treasure her commandments.
2:3-4	hi26				How should the son seek and search for understanding?	The son should seek understanding as silver, and search for it as a hidden treasure.
2:5	alr2				If the son seeks and searches for understanding, what will he find?	The son will find the knowledge of God.
2:7	uagq				What is Yahweh for those who walk in integrity?	Yahweh is a shield for those who walk in integrity.
2:9	t7vt				When wisdom comes into the son’s heart, what will he understand?	The son will understand righteousness, justice, equity, and every good path.
2:11-13	o2o9				From what will discretion and understanding rescue the son?	Discretion and understanding will rescue the son from the way of evil and from those who walk in the ways of darkness.
2:15	r2yl				How do those who walk in the ways of darkness hide their tracks?	Those who walk in the ways of darkness hide their tracks using deception.
2:17	zla9				What does the immoral woman forsake and forget?	The immoral woman forsakes the companion of her youth, and forgets the covenant of her God.
2:18	tli0				To where do the immoral woman’s tracks lead?	The immoral woman’s tracks lead to those in the grave.
2:20	t1zc				In whose ways should the son walk?	The son should walk in the way of good people and those who do right.
2:21	mb2l				What will happen to those who do right?	Those who do right will make a home in the land.
2:22	xet3				What will happen to those who are wicked?	Those who are wicked will be cut off from the land.
3:1-2	xwxl				What will Wisdom’s commands and teachings add to her son?	Wisdom’s commands and teachings will add years of life and peace to her son.
3:3	tvq5				Where must covenant faithfulness and trustworthiness be written?	Covenant faithfulness and trustworthiness must be written on the tablet of the heart.
3:5	fc9k				On what must the son not lean?	The son must not lean on (relay on) his own understanding.
3:7	hmyj				How must the son not see himself?	The son must not see himself as wise.
3:9	utxa				What must the son do with his wealth?	The son must honor Yahweh with his wealth.
3:12	np0i				Who does Yahweh discipline?	Yahweh disciplines those he loves.
3:14	dtws				Wisdom is better than what?	Wisdom is better than silver and gold.
3:17	bxw4				What are all the paths of wisdom?	All the paths of wisdom are peace.
3:19	xxo9				What did Yahweh do by wisdom?	By wisdom, Yahweh founded the earth.
3:21-22	qbs3				What will be life to the son’s soul?	Sound judgment and discernment will be life to the son’s soul.
3:24	ta2e				If the son walks in wisdom, what will happen when he lies down?	When he lies down, he will not be afraid and his sleep will be sweet.
3:25	svw3				Of what should the son not be afraid?	The son should not be afraid of sudden terror or devastation.
3:27	nc9i				What should the son do for those who deserve it?	The son should not withhold good from those who deserve it.
3:29	fi7h				What should the son not do to his neighbor?	The son should not make a plan to harm his neighbor.
3:32	dtfi				Who is wicked to Yahweh?	The lying person is wicked to Yahweh.
3:34	r2k4				What does Yahweh do to the mockers?	Yahweh mocks the mockers.
3:35	dsoj				What do the wise inherit?	The wise inherit honor.
4:1-2	tmn2				What should the sons not forget?	The sons should not forget their father’s instruction.
4:4	r4bq				How did the father tell the son he would live?	The father told the son he would live by keeping the father’s commands.
4:6	ydb8				What will wisdom do for the son if the son does not abandon her, but loves her?	Wisdom will watch over him and keep him safe.
