Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	wog5				Where does the blessed man not walk?	He does not walk in the advice of the wicked.
1:1	xomz				Where does the blessed man not stand?	He does not stand in the pathway with sinners.
1:1	d63z				Where does the blessed man not sit?	He does not sit in the assembly of mockers.
1:2	sjel				In what does the blessed man delight?	He delights in the law of Yahweh.
1:2	dlmi				When does the blessed man meditate on the law?	He meditates on it day and night.
1:3	is2i				What is the blessed man like?	He is like a tree planted by the streams of water.
1:3	zo8j				What will happen to everything the blessed man does?	Whatever he does will prosper.
1:4	pe89				What are wicked people like?	They are like the chaff that the wind drives away.
1:5	wc90				What will happen to wicked people in the judgment?	They will not stand in the judgment.
1:6	hsc4				Who approves of the way of the righteous?	Yahweh approves of the way of the righteous.
1:6	zfoz				What will happen to the way of the wicked?	The way of the wicked will perish.
2:2	cs8d				Who are the rulers conspiring against?	They are conspiring against Yahweh and against his Messiah.
2:3	ft8x				What do the rulers want to tear off and throw off?	They want to tear off the shackles Yahweh and his Messiah put on them and throw off their chains.
2:4	mds4				Who sits in the heavens and mocks the nations who rebel?	The Lord mocks them.
2:6	bmp9				Who has the Lord anointed?	The Lord has anointed his king on Zion, his holy mountain.
2:7	lsdn				What decree does Yahweh give to the writer?	Yahweh says, “You are my son! This day I have become your father.”
2:8	rp00				What will Yahweh do with the nations and farthermost regions of the earth?	Yahweh will give them as an inheritance and possession.
2:9	b9gk				What will happen to the nations?	They will be broken and smashed.
2:11	kn0x				How should the kings and rulers respond to Yahweh’s decree?	They should worship Yahweh in fear and rejoice with trembling.
2:12	u2wt				Why should the kings give allegiance to Yahweh’s son?	They should give him allegiance so that he will not be angry and they will not die.
2:12	rgor				What happens to all those who take shelter in the son?	They are blessed.
3:1	elbg				What have David’s enemies done to him?	They have turned away and attacked him.
3:3	kq2q				To what does David compare Yahweh?	Yahweh is a shield around him, his glory, and the one who lifts his head.
3:4	y04r				What does Yahweh do when David lifts his voice to him?	He answers from his holy hill.
3:6	b7yg				Who will David not fear because of Yahweh’s protection?	David will not be afraid of people who have set themselves against him.
3:7	swjt				What will Yahweh do to David’s enemies?	He will hit all his enemies on the jaw; he will break the teeth of the wicked.
3:8	hkbk				From whom does salvation come?	Salvation comes from Yahweh.
