Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	tojv				Who gave this revelation, to whom did he give it, and to whom was he supposed to show it?	The revelation of Jesus Christ came from God, and is being shown to his servants.
1:1	g2lr				When must the events of the revelation happen?	The events of the revelation must happen soon.
1:3	qgud				Who will be blessed by this book?	The one who reads aloud, listens to, and keeps what has been written in this book will be blessed.
1:4	vzw3				Who wrote this book, and to whom did he write?	John wrote this book, and he wrote it to the seven churches in Asia.
1:5	ji9p				What three titles does John give to Jesus Christ?	John gives Jesus Christ these titles: the faithful witness, the firstborn from the dead, and the ruler of the kings of the earth.
1:6	dpp4				What has Jesus made believers?	Jesus has made believers a kingdom and priests for his God and Father.
1:7	pizn				Who will see Jesus when he comes?	Every eye, that is, every person, will see Jesus when he comes, including those who pierced him.
1:8	r9cy				How does the Lord God describe himself?	The Lord God describes himself as the alpha and the omega, the one who is, and who was, and who is to come, the Ruler of All.
1:9	ftzo				Why was John on the island of Patmos?	John was on the island of Patmos because of the word of God and the testimony of Jesus.
1:11	ogsn				What did the loud voice behind John tell him to do?	The loud voice told John to write what he saw on a scroll and send it to the seven churches.
1:14	jd6c				John saw a man behind him. What kind of hair and eyes did the man have?	The man had hair as white as wool or snow and eyes like a flame of fire.
1:16	h0pg				What was in the right hand of the man, and what was coming out of his mouth?	The man had seven stars in his right hand, and a sharp, double-edged sword was coming out of his mouth.
1:17	vylp				What did John do when he saw the man?	John fell at the man’s feet like a dead man.
1:18	h71o				What keys did the man say he had?	The man said he had the keys of death and of Hades.
1:20	mqey				What was the meaning of the seven stars and the seven golden lampstands?	The seven stars were the angels of the seven churches, and the seven lampstands were the seven churches.
2:1	qoky				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Ephesus.
2:2	zaft				How has the church in Ephesus related to evil people, and what has it done regarding the ones who call themselves apostles?	The church in Ephesus has not put up with those who are evil and has tested the false prophets.
2:4	qip9				What does Christ have against the church in Ephesus?	Christ has against the church in Ephesus that it has left behind its first love.
2:5	eryv				What does Christ say he will do if the churh do not repent?	Christ says he will come and remove its lampstand from its place if the church does not repent.
2:7	csq2				What does Christ promise to those who conquer?	Christ promises to allow those who conquer to eat from the tree of life in the paradise of God.
2:8	sxlf				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Smyrna.
2:9	hzjq				What difficulties is the church in Smyrna facing?	The church in Smyrna is facing affliction, poverty, and slander.
2:10	f4d1				What does Christ promise to those who are faithful until death?	Christ promises that he will give the crown of life to those who are faithful until death.
2:11	es1c				What does Christ say about the one conquering?	The one conquering will certainly not be hurt by the second death.
2:12	kbqb				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Pergamum.
2:13	hb2u				How does Christ describe the place where this church lives?	Christ describes this as a place where Satan’s throne is.
2:13	xvms				What did the church in Pergamum do in the days when Antipas was killed?	The church in Pergamum did not deny its faith in Jesus even in the days when Antipas was killed.
2:14-15	ea63				To what two teachings do some in the church in Pergamum hold tightly?	Some in the church in Pergamum hold tightly to the teachings of Balaam and to the teachings of the Nicolaitans.
2:16	t9yq				What does Christ warn he will do if those who hold to these false teachings do not repent?	Christ warns he will come and make war against them with the sword of his mouth.
2:17	g4yi				What does Christ say he will give to the one conquering?	Christ promises that the will give the hidden manna and a white stone with a new name to the one conquering.
2:18	xjbu				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Thyatira.
2:19	mfav				What good things does Christ know about regarding the church in Thyatira?	Christ knows about the works, love, faith, service, and patient endurance of the church in Thyatira and that its last works are greater than its first works.
2:20	hkup				What does Christ have against the church in Thyatira?	Christ has against the church in Thyatira that it tolerates the immoral false prophetess Jezebel.
2:22	guip				What does Christ warn he will do if those who commit adultery with Jezebel do not repent of her deeds?	Christ warns that he will throw these people into great tribulation if they do not repent.
2:25	ubci				What does Christ tell those who have not held to the teaching of Jezebel to do?	Christ tells them to hold on tightly to what they have until he comes.
2:26	ifl9				What does Christ promise to the one conquering?	Christ promises to give authority over the nations to the one conquering.
2:28	itwm				What else does Christ promise to the one conquering?	Christ also promises to give the morning star to the one conquering.
2:29	wikb				What does Christ say the one who has an ear should hear?	Christ says that the one who has an ear, that is, the one who is able to hear, should hear what the Spirit is saying to the churches.
3:1	jreq				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Sardis.
3:1	l3ti				What is the reputation of the church in Sardis, but what is the truth about them?	The reputation of the church in Sardis is that it is alive, but the truth is that it is dead.
3:2	efk8				What does Christ warn the church in Sardis to do?	Christ warns them to wake up and strengthen what remains.
3:5	lmom				What does Christ promise to the one conquering?	Christ promises to clothe the one conquering in white, to keep his name in the book of life, and to confess his name before his Father and his angels.
3:7	tulj				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Philadelphia.
3:8	s2cb				What has the church in Philadelphia done even though they have little strength?	The church in Philadelphia has kept Christ’s word and has not denied his name.
3:9	sbiq				What will Christ make those of the synagogue of Satan do?	Christ will make those of the synagogue of Satan bow down before the  feet of the believers.
3:11	ade1				What does Christ tell the church of Philadelphia to do since he is coming soon?	Christ tells them to hold fast to what they have so that no one may take away their crown.
3:12	u240				What does Christ promise to the one conquering?	Christ promises to make the one conquering a pillar in the temple of his God, and he promises to write on him the name of his God, the name of the city of his God, and his own new name.
3:14	wf68				To what angel is the next portion of the book written?	The next portion of the book is written to the angel of the church in Laodicea.
3:15	m4xx				What does Christ wish that the church in Laodicea was?	Christ wishes that the church in Laodicea was either cold or hot.
3:16	o9mk				What is Christ about to do to the church in Laodicea, and why?	Christ is about to vomit the church in Laodicea out of his mouth because they are lukewarm.
3:17	qmlp				What does the church in Laodicea say about itself?	The church in Laodicea says that it is rich and has become wealthy and is in need of nothing.
3:17	n4rd				What does Christ say that the church in Laodicea does not know?	Christ says the church in Laodicea does not know that it is miserable, pitiable, poor, blind, and naked.
3:19	akgb				What does Christ do for everyone he loves?	Christ rebukes and disciplines everyone he loves.
3:21	v8vp				What does Christ promise to the one conquering?	Christ promises to let the one conquering sit with him on his throne.
3:22	dxfc				What does Christ say the one who has an ear should do?	Christ says that the one who has an ear, that is, who is able to hear, should hear what the Spirit says to the churches.
4:1	wblg				What did John see opened?	John saw an open door in heaven.
4:1	johp				What did the voice say he would show John?	The voice said he would show John what must happen after these things.
4:2	cljx				What was someone sitting on in heaven?	Someone was sitting on a throne in heaven.
4:4	izbi				What was around the throne in heaven?	Around the throne were 24 thrones with 24 elders seated on them.
4:5	m9i8				What were the seven lamps burning in front of the throne?	The seven lamps were the seven spirits of God.
4:6	t2cq				What four things were around the throne?	Four living creatures full of eyes were around the throne.
4:8	ezyh				What word describing God do the four living creatures repeat night and day?	Night and day the four living creatures repeat the word "holy."
4:10	ua0a				What do the 24 elders do when the living creatures give glory to God?	The 24 elders fall down (that is, bow down) before the throne and lay down their crowns.
4:11	bwtb				Why do the elders say that God is worthy to receive glory, honor, and power?	The elders say that God is worthy because God created all things and by his will they existed and were created.
5:1	d7fu				What did John see in the right hand of the one seated on the throne?	John saw a scroll written on the inside and the back and sealed with seven seals.
5:3-4	bsyq				At first, who was able to open the scroll or read it?	No one in heaven or on the earth or under the earth was worthy to open the scroll or read it.
5:5	jrin				Who did the elder tell John was able to open the scroll and its seven seals?	The elder told John that the Lion from the tribe of Judah, the Root of David, was able to open the scroll and its seven seals.
5:6	jg5q				Who was standing among the elders?	A Lamb, looking as though he had been killed, was standing among the elders.
5:6	byza				What were the seven horns and seven eyes on the Lamb?	The seven horns and seven eyes were the seven spirits of God sent out into all the earth.
5:8	y8cz				What were the gold bowls full of incense that the elders had?	The gold bowls full of incense were the prayers of the saints.
5:9	m1su				Why was the Lamb worthy to open the scroll?	The Lamb was worthy because he was slaughtered and with his blood he bought people for God from every tribe, language, people, and nation.
5:10	jbg5				Where will these priests of God reign?	The priests of God will reign on the earth.
5:12	jmjo				What did the angels say the Lamb was worthy to receive?	The angels said the Lamb was worthy to receive power, wealth, wisdom, strength, honor, glory, and praise.
5:13	v0tv				Who said that the one on the throne and the Lamb should be praised to the ages of the ages (that is, forever)?	Every creature said that the one on the throne and the Lamb should be praised to the ages of the ages.
5:14	tshy				What did the elders do when they heard the four living creatures say “Amen”?	The elders fell down (that is, bowed down) and worshiped.
6:1	fmv9				What did John see the Lamb do with the scroll?	John saw the Lamb open one of the seven seals on the scroll.
6:2	ejpy				What did John see after the first seal was opened?	John saw a white horse whose rider went out conquering.
6:4	cz1x				What did John see after the second seal was opened?	John saw a fiery red horse whose rider was allowed to take peace away from the earth.
6:5	awjj				What did John see after the third seal was opened?	John saw a black horse whose rider held a pair of scales in his hand.
6:8	qq87				What did John see after the fourth seal was opened?	John saw a pale horse whose rider was named Death.
6:9	wzkf				What did John see after the fifth seal was opened?	John saw the souls of those who had been killed because of the word of God and the testimony they held.
6:10	u3l2				What did the souls under the altar want to know from God?	The souls wanted to know how long it would be until God avenged their blood.
6:11	z0e4				How long were the souls told they would have to wait?	The souls were told they would have to wait until the full number of fellow servants and brothers (that is, fellow believers) were killed.
6:12-13	ncma				What did John see after the sixth seal was opened?	John saw an earthquake, the sun becoming black, the moon becoming like blood, and the stars falling to the earth.
6:15-16	g9xh				What did John see the kings, generals, rich, powerful, and everyone else doing?	John saw them hiding in caves and asking the rocks to fall on them and hide them.
6:16	pic0				From what did the kings, generals, rich, powerful, and everyone else want to be hidden?	They wanted to be hidden from the one seated on the throne and from the anger of the Lamb.
6:17	gso5				What day had come?	The great day of the anger of the one sitting on the throne and the Lamb had come.
7:1	clrx				What were the four angels standing on the four corners of the earth doing when John saw them?	The four angels were holding back the four winds of the earth.
7:2-3	rrj8				What did the angel coming from the rising of the sun (that is, the east) say must be done before the earth, sea, and trees were harmed?	The angel said that the servants of God must be sealed on their foreheads before the earth, sea, and trees were harmed.
7:4	bhu9				How many people were sealed and who were they?	144 thousands (that is, 144,000 people) were sealed, and they were from every tribe of the sons of Israel.
7:9	aj7e				What did John then see before the throne of God and in front of the Lamb?	John saw a great multitude from every nation, tribe, people, and language before the throne.
7:10	nx6l				The great multitude called out that salvation belonged to someone. To whom did it belong?	Those before the throne called out that salvation belonged to God and to the Lamb.
