Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-2	v2r2				By what means had God promised the gospel before Paul’s time?	God had promised the gospel before by his prophets in the holy Scriptures.
1:3	bgxw				According to the flesh, God’s Son was born out of which descendants?	According to the flesh, God’s Son was born out of the descendants of David.
1:4	wcya				By what event was Jesus Christ declared to be the Son of God?	Jesus Christ was declared to be the Son of God by the resurrection from the dead.
1:5	ojj9				For what purpose did Paul receive grace and apostleship from Christ?	Paul received grace and apostleship for obedience of faith among all the nations.
1:8	tl8v				For what does Paul thank God concerning the believers in Rome?	Paul thanks God because their faith is proclaimed throughout the whole world.
1:11	kccq				Why does Paul desire to see the believers in Rome?	Paul desires to see them in order to give them some spiritual gift in order to strengthen them.
1:13	m3aj				Why had Paul been unable to visit the believers in Rome until now?	Paul had been unable to visit because he was hindered until now.
1:16	brj1				What does Paul say the gospel is?	Paul says the gospel is the power of God for salvation for every one who believes.
1:17	qpkd				What scripture does Paul quote concerning how the righteous will live?	Paul quotes the scripture, “The righteous will live by faith”.
1:18-19	smxu				What do the ungodly and unrighteous do even though that which is known about God is visible to them?	The ungodly and unrighteous hold back the truth even though that which is known about God is visible to them.
1:20	m0f7				How are the unseen things about God clearly visible?	The unseen things about God are clearly visible through the created things.
1:20	ugju				What characteristics of God are clearly visible?	God’s everlasting power and divine nature are clearly visible.
1:21	r8i9				What happens to the thoughts and hearts of those who do not glorify God nor give him thanks?	Those who do not glorify God nor give him thanks become foolish in their thoughts and their hearts are darkened.
1:24	c9c3				What does God do to those who exchange his glory for the images of perishable men and animals?	God gives them over to the lusts of their hearts for uncleanness, for their bodies to be dishonored among themselves.
1:26-27	f9b7				For what dishonorable passions do these women and men burn in their lust?	The women burn in their lust for one another, and the men burn in their lust for one another.
1:28	ox10				What does God do to those who do not approve of having him in their awareness?	God gives them up to a disapproved mind, to do those things that are not proper.
1:29	y57z				What are some of the characteristics of those who have a depraved mind?	Those who have a depraved mind are full of envy, murder, strife, deceit, and evil intentions.
1:32	yjx3				What do those with a depraved mind understand about God’s requirements?	Those with a depraved mind understand that those who practice such things are worthy of death.
1:32	ydsb				Even though those with a depraved mind understand God’s requirements, what do they do anyway?	They do unrighteous things anyway, and approve of those who practice them.
2:1	a6ix				Why are some people without excuse in their judging?	Some people are without excuse in their judging because what they judge in another they practice themselves.
2:2	qwm1				How does God judge when he judges those who practice unrighteousness?	God judges according to truth when he judges those who practice unrighteousness.
2:4	crpo				What are God’s patience, kindness, and goodness meant to do?	God’s patience, kindness, and goodness are meant to lead a person to repentance.
2:5	ot67				What are those with hard, unrepentant hearts toward God storing up for themselves?	Those with hard, unrepentant hearts are storing up for themselves wrath on the day of God’s righteous judgment.
2:7	go2l				What do those receive who have done consistent, good actions?	Those who have done consistent, good actions will receive eternal life.
2:8-9	cvrb				What do those receive who obey unrighteousness?	Those who obey unrighteousness receive wrath and anger.
2:12	czsu				How does God show no partiality in his judgment between Jew and Greek?	God shows no partiality, because those who sin, either Jew or Greek, will perish.
2:13	yca7				Who is justified before God?	The doers of the law are justified before God.
2:14	auhm				How do Gentiles show that they do are a law to themselves?	Gentiles show that they are a law to themselves when, by nature,  they do the things of the Law.
2:21	nice				What challenge does Paul give to those Jews who rest upon the law and teach others?	Paul challenges them that if they teach others the law, they should also teach themselves.
2:21-22	l1vi				Which sins does Paul mention that the Jewish teachers of the Law should stop doing?	Paul mentions the sins of stealing, adultery, and the robbery of temples.
2:23-24	nwj5				Why is the name of God dishonored among the Gentiles because of the Jewish teachers of the law?	God’s name is being dishonored because the Jewish teachers of the law are transgressing the law.
2:25	jtc8				How does Paul say a Jewish person’s circumcision can become uncircumcision?	Paul says that a Jewish person’s circumcision can become uncircumcision if that person is a violator of the law.
2:26	i1qt				How does Paul say that a Gentile person’s uncircumcision can be considered circumcision?	Paul says that a Gentile person’s uncircumcision can be considered circumcision if that person keeps the requirements of the law.
2:28-29	d4hs				Who does Paul say is a true Jew?	Paul says that a true Jew is a Jew inwardly, with a circumcision of the heart.
2:29	yig8				From whom does a true Jew receive praise?	A true Jew receives praise from God.
3:1-2	tz4b				What is first of all among the advantages of the Jew?	First of all among the advantages of the Jew is that they were entrusted with revelation from God.
3:4	lt9g				Even though every man is a liar, what is God found to be?	Even though every man is a liar, God is found to be true.
3:5-6	h2zh				Because God is righteous, what is he able to do?	Because God is righteous, he is able to judge the world.
3:8	zlq7				What comes on those who say, “Let us do evil, that good may come”?	Judgment comes on those who say, “Let us do evil, that good may come.”
3:9-10	qzgo				What is written in the Scriptures about the righteousness of all, both Jews and Greeks?	It is written that there is none righteous, not one.
3:11	zsw1				According to what is written, who understands and seeks out God?	According to what is written, none understands and none seeks out God.
3:20	ka9s				Who will be justified by the works of the law?	No flesh will be justified by the works of the law.
3:20	o51b				What comes through the law?	The full awareness of sin comes through the law.
3:21	vv6q				By what witnesses has a righteousness without the law now been made known?	By the witnesses of the Law and the Prophets has a righteousness without the law now been made known.
3:22	ac1f				What is the righteousness without the law that has now been made known?	The righteousness without the law is the righteousness of God through faith in Jesus Christ for all those who believe.
3:24	moo6				How is a person justified before God?	A person is justified before God freely by his grace through the redemption that is in Christ Jesus.
3:25	ioe3				For what purpose did God provide Christ Jesus?	God provided Christ Jesus as a propitiation through faith in his blood.
3:26	de32				What did God show by all that happened through Jesus Christ?	God showed that he is the one who justifies anyone because of faith in Jesus.
3:28	rwo3				What role do the works of the law have in justification?	A person is justified by faith totally apart from the works of the law.
3:30	r6hj				How does God justify the circumcised Jew and the uncircumcised Gentile?	God justifies both by faith.
3:31	zdbg				What do we do with the law through faith?	We uphold the law through faith.
4:2	c4xs				What would have given Abraham reason to boast?	Abraham would have had reason to boast if he had been justified by works.
4:3	zore				What do the scriptures say about how Abraham was justified?	The scripture says that Abraham believed God, and it was credited to him as righteousness.
4:5	gfjh				What kind of people does God justify?	God justifies the people who trust in him.
4:6-8	uy7z				According to David, in what way is a man blessed by God?	According to David, blessed is the man whose sins are forgiven and whose sins are not counted by the Lord.
4:9-10	tdfk				Was Abraham’s faith counted as righteousness before or after he was circumcised?	Abraham’s faith was counted as righteousness before he was circumcised.
4:11-12	shkf				Abraham is the father of which groups of people?	Abraham is the father of all who believe, both the physically uncircumcised and the circumcised.
4:13	dgvz				What promise was given to Abraham and his descendants through the righteousness of faith?	It was promised to Abraham and his descendants that they would be heirs of the world.
4:14	d8ey				What would be true if the promise to Abraham had come through the law?	If the promise had come through the law, then faith would be empty and the promise not true.
4:16	yeam				For what reasons is the promise given by faith?	The promise is given by faith so that it is by grace, and so that it is sure.
4:17	eyf8				What two things does Paul say God does?	Paul says that God gives life to the dead and calls things that do not exist into existence.
4:18	ok8a				How did Abraham respond to God’s promise even with these outward circumstances?	Abraham confidently trusted God and did not hesitate in unbelief.
4:18-19	x409				What outward circumstances made it difficult for Abraham to believe God’s promise that he would be the father of many nations?	When God made the promise to Abraham, Abraham was about a hundred years old and Sarah’s womb was dead.
4:20	uf6v				How did Abraham respond to God’s promise even with these outward circumstances?	Abraham confidently trusted God and did not hesitate in unbelief.
4:23-24	va1q				For whom was the account of Abraham written?	The account of Abraham was written for his benefit and  also for our benefit.
4:25	eded				What do we believe God has done for us?	We believe God has raised Jesus from the dead, who was delivered up for our sins and raised for our justification.
5:1	nkg7				What do believers have because they are justified by faith?	Because they are justified by faith, believers have peace with God through the Lord Jesus Christ.
5:3-4	tlb6				What are three things that suffering produces?	Suffering produces endurance, character, and hope.
5:8	kvoh				How does God demonstrate his love toward us?	God demonstrates his love toward us, because while we were still sinners, Christ died for us.
5:9	yg2m				Being justified by Christ’s blood, from what are believers saved?	Being justified by Christ’s blood, believers are saved from the wrath of God.
5:10	s0gq				What relationship do unbelievers have with God before they are reconciled to God through Jesus?	Unbelievers are enemies of God before they are reconciled to God through Jesus.
5:12	bapw				What happened because of one man’s sin?	Because of the sin of one man, sin entered into the world, death entered through sin, and death spread to all people.
5:14	t15j				Who was the one man through whom sin entered the world?	Adam was the one man through whom sin entered the world.
5:15	ih3r				How is God’s free gift different than Adam’s sins?	By Adam’s sin many died, but the grace of God and his free gift through Christ abounds to many.
5:16	x9dz				What resulted from Adam’s sin, and what resulted from God’s free gift?	The judgment of condemnation resulted from Adam’s sin, but justification resulted from God’s free gift.
5:17	pg7v				What ruled from Adam’s sin, and what ruled through God’s gift of righteousness?	Death ruled from Adam’s sin, and those who receive God’s gift rule through the life of Jesus Christ.
5:19	hf3o				What were many made through Adam’s disobedience, and what will many be made through the obedience of Christ?	Many were made sinners through Adam’s disobedience, and many will be made righteous through the obedience of Christ.
5:20	xtxt				Why did the law come in alongside?	The law came alongside in order that the trespass might increase.
