Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	m71f				Who is the writer of Song of Songs?	Solomon is the writer of Song of Songs.
1:2	hgyj				What does the young woman ask her lover to do?	The young woman asks her lover to kiss her with the kisses of his mouth.
1:2	mq6s				What does the young woman say is better than wine?	The young woman says her lover’s love is better than wine.
1:3	mzlf				What does the young woman say her lover’s name is like?	The young woman says his name is like flowing perfume.
1:4	kl7h				Where has the king brought the young woman?	The king has brought the young woman into his rooms.
1:5	l9jl				How does the young woman describe her skin?	The young woman describes her skin as dark but lovely like tents of Kedar, like curtains of Solomon.
1:6	i4hb				Why does she not want the other women to stare at her?	She does not want the other women to stare at her because her skin is scorched.
1:6	rcdr				What did the young woman’s brothers do when they were angry with her?	The young woman’s brothers made her a keeper of the vineyards.
1:7	z3wl				What does the woman ask her lover?	She asks him where he feeds his flock and where he rests his flock at noontime.
1:8	a2bi				How does her lover say the young woman can find him?	He tells her to follow the tracks of his flock to the shepherds’ tents.
1:9	p12i				To what does the young woman’s lover compare her?	He compares her to a mare among Pharaoh’s chariots.
1:10	ubor				What does her lover say is on her cheeks and neck?	He says ornaments are on her cheeks and strings of jewels are on her neck.
1:11	h2dt				What does her lover say he will make for her?	He says he will make for her gold ornaments with silver studs.
1:12	ih62				Where was the king lying while the woman's perfume spread in the room?	The king was lying on his couch while the fragrance of the woman's perfume spread.
1:13	lklc				Where does her beloved spend the night?	Her beloved spends the night lying between her breasts.
1:14	y5y7				To what does the young woman liken her beloved?	Her beloved is like a cluster of henna flowers in the vineyards of En Gedi.
1:15	d0ky				How does her lover describe her eyes?	He says her eyes are like doves.
1:16	xejw				What does the woman say serves as their bed?	Lush plants serve as their bed.
1:17	tpux				Of what does the woman say the beams and rafters are made?	The beams and rafters are made of cedar and pine trees.
2:1	xx7j				How did the woman describe herself?	She described herself as a flower of the plain, a lily of the valleys.
2:2	gymu				What does the man say she was like among the daughters of his countrymen?	He said she was like a lily among thorns.
2:3	wbxs				How did the woman describe her beloved among the young men?	The woman described her young man as the apple tree among the trees of the forest.
2:3	szks				Where did the woman sit?	She sat down under his shadow with great delight.
2:3	jhdr				What was sweet to her taste?	His fruit was sweet to her taste.
2:4	kwdp				Where did her young man bring her?	Her young man brought her to the house of wine.
2:4	jmpv				What was his banner over her?	His banner over her was love.
2:5	fh97				What did the young woman want to sustain and refresh herself?	The young woman wanted raisin cakes to sustain her and apples to refresh her.
2:6	uott				Where were the young man’s left and right hands?	His left hand was under her head and his right hand embraces her.
2:7	ix29				What did the young woman want the daughters of Jerusalem to avoid?	The young woman wanted the young women avoid awakening love before the right time comes.
2:8	xebm				What sound did the young woman hear?	The young woman heard the voice of her beloved.
2:8	fk1v				What did she say her beloved was doing?	He was leaping over the mountains and jumping over the hills.
2:9	a2u9				What did she say her beloved was like?	She said her beloved was like a gazelle or a young stag.
2:10	kg69				What did her beloved want her to do with him?	He wanted her to get up and walk with him.
2:11	vfph				What did he say was past, and what was over and gone?	He said he winter was past and the rain was over and gone.
2:12	mg1x				What had appeared in the land?	Flowers had appeared in the land.
2:12	tttt				For what was it time?	It was time for pruning and hearing the birds sing.
2:13	qoao				What ripens and was in blossom?	The green figs ripens and the vines were in blossom.
2:13	wv8l				What did her beloved want his beautiful one to do?	He wanted her to arise and come away.
2:14	a534				What does her beloved call her?	Her beloved calls her his dove.
2:14	nsfj				What does her beloved want to see and hear?	Her beloved wanted to see her lovely face and hear her sweet voice.
2:15	yxw3				What did the woman want him to catch?	The woman wanted him to catch the foxes that ruin vineyards.
2:16	z97w				To whom did the woman’s beloved belong?	Her beloved belonged to her.
2:16	s1a9				To whom did the woman belong?	She belonged to her beloved.
2:16	km96				What did her beloved do among the lilies?	He grazed among the lilies with pleasure.
2:17	p4fx				What did she want her beloved to do?	She wanted her beloved to go away.
2:17	rdrq				When did she want her beloved to go away?	She wanted her beloved to go away before the soft winds of dawn blew and the shadows fled away.
2:17	a1qn				What did she want him to be like?	She wanted him to like a gazelle or a young stag on the rugged mountains.
3:1	bnf8				For whom was the woman longing but could not find?	The woman was longing for the one whom she loved, but she could not find him.
3:2	utoo				For whom did the woman search through the streets and squares but not find?	The woman searched through the streets and squares, but she could not find her beloved.
3:3	qy7y				What did the woman ask the watchmen when they found her?	She asked them, “Have you seen my beloved?”
3:4	n0ss				When did she find the one whom her soul loved?	She found the one whom her soul loved just after she passed the watchmen in the city.
3:4	ifu2				What did she do with her beloved?	She held him and would not let him go until she had brought him into her mother’s house.
3:5	l61u				What did the woman want the daughters of Jerusalem’s men to promise?	The woman wanted the daughters of Jerusalem promise they would not awaken or stir love before the right time.
3:6-7	c55r				What did the young woman see coming from the wilderness that was perfumed with myrrh and frankincense and powders?	She saw the portable litter of Solomon coming with 60 warriors around it.
3:8	kasu				At what were the warriors good?	The warriors were good with the sword and in warfare.
3:9	c16j				What did King Solomon make for himself?	King Solomon made a sedan chair from wood from Lebanon.
3:10	n2g7				What did King Solomon’s sedan chair look like?	The chair had posts of silver, a back of gold, a seat of purple cloth, and was decorated and made comfortable with love.
3:11	qmcu				At what did the young woman want the women of Jerusalem to look?	She wanted them to look at King Solomon.
3:11	b4y0				What was King Solomon wearing on his marriage day?	He wore a crown with which his mother crowned him on his marriage day.
4:1	uui2				How did the woman’s lover describe her eyes?	Her eyes were as doves behind her veil.
4:1	pyvp				How did the woman’s lover describe her hair?	Her hair was like a flock of goats going down Mount Gilead.
4:2	lr74				How did her lover describe her teeth.	Her teeth were like a flock of newly shorn and washed female sheep, two of each and none missing.
4:3	uw0k				What did the woman’s beloved say about her lips and mouth.	He said her lips were like a thread of scarlet and that her mouth was lovely.
4:3	nzb1				How did the woman’s beloved describe her cheeks.	He described her cheeks as being like pomegranate halves behind her veil.
4:4	lejg				How did the woman’s beloved describe her neck?	He described her neck as the tower of David built in rows of stone with a thousand soldiers’ shields hanging on it.
4:5	z789				How did the woman’s beloved describe her two breasts?	He described her two breasts as two fawns, twins of a gazelle, grazing among the lilies.
4:6	rn57				Where would her lover go until dawn comes and the shadows flee?	He said he would go to the mountain of myrrh and the hill of frankincense.
