Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	h5yn				0	# Introduction to 1 Kings\n\n## Part 1: General Introduction\n\n### Outline of 1 Kings\n\n1. David dies and Solomon begins to reign (1:1–2:46)\n1. Solomon reigns (3:1–11:43)\n    * Solomon becomes wise and wealthy (3:1–4:43)\n    * Solomon’s temple (5:1–8:66)\n    * Rise and fall of Solomon (9:1–11:43)\n1. The kingdom divides (12:1–14:31)\n    * Rehoboam succeeds Solomon (12:1–24)\n    * Jeroboam rules the northern kingdom of Israel (12:25–33)\n    * Ahijah prophesies against Jeroboam (13:1–14:20)\n    * Rehoboam’s end (14:21–31)\n1. Kings and events in Israel and Judah (15:1–22:53)\n    * Abijah and Asa in Judah (15:1–24)\n    * Nadab in Israel (15:25–32)\n    * Baasha in Israel (15:33–16:7)\n    * Elah in Israel (16:8–14)\n    * Zimri in Israel (16:15–22)\n    * Omri in Israel (16:23–28)\n    * Ahab in Israel (16:29–22:40)\n    * Jehoshaphat in Judah (22:41–50)\n    * Ahaziah in Israel (22:51–53)\n\n### What are the Books of 1 and 2 Kings about?\n\nThese books are about what happened to the people of Israel, from the time of King Solomon to the time both the northern and southern kingdoms were destroyed. These books describe how Israel split into two kingdoms after Solomon died. It also tells about all the kings that ruled over each kingdom after Solomon died.\n\nIn the southern kingdom, some kings did what Yahweh judged to be right. For example, King Josiah repaired the temple and reformed the worship of Yahweh. He responded to the high priest finding a copy of the Law of Yahweh in Jerusalem ([2 Kings 22–23](../../2ki/22/01.md)). However, all of the kings of the northern kingdom were wicked.\n\nThe Assyrians destroyed the northern kingdom in 722 B.C. The Babylonians destroyed the southern kingdom in 586 B.C.\n\n### How should the title of this book be translated?\n\nThe Books of 1 and 2 Kings were originally one book in Hebrew. They were separated into two books when translated into Greek. Translators might choose more meaningful titles such as “The First Book about the Kings” and “The Second Book about the Kings.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the purpose of 1 and 2 Kings?\n\nThese books were probably finished during the exile, after the Babylonians had destroyed the temple. They show how being faithful to Yahweh results in his blessing and prospering his people. Worshipping idols and not being faithful result in their being punished and destroyed.\n\n## Part 3: Important Translation Issues\n\n### Why do the Books of 1 and 2 Kings refer to someone being addressed indirectly?\n\nIn the Bible, people often referred to themselves as “your servant” when speaking to anyone in a superior position to themselves. Indirectly addressing people in this way was intended to honor the one addressed. English sometimes uses the address “sir” in this way. But a translator should use whatever expressions that are natural in the project language in order to honor someone in a superior position.\n\n### What does the king “did what was right (or evil) in the eyes of Yahweh” mean?\n\nThe writer repeats this kind of expression throughout the Books of 1 and 2 Kings. Here “in the eyes of Yahweh” represents what Yahweh thinks about someone. If a king was faithful and obeyed the covenant, he did what was right according to Yahweh. If he was not faithful and disobeyed the covenant, he did what was evil according to Yahweh.\n\n### What is the meaning of the term “Israel”?\n\nThe name “Israel” is used in many different ways in the Bible. Jacob was the son of Isaac. God changed his name to Israel. The descendants of Jacob became a nation also called Israel. Eventually, the nation of Israel split into two kingdoms. The northern kingdom was named Israel. The southern kingdom was named Judah. (See: [[rc://*/tw/dict/bible/kt/israel]])\n\n### Can I translate the Book of 1 Kings before I translate the Books of 1 and 2 Samuel?\n\nThe Books of 1 and 2 Samuel should be translated before 1 Kings, since 1 Kings continues from where 2 Samuel ends.
1:intro	v496				0	# 1 Kings 1 General Notes\n\n## Structure and formatting\n\n1. David dies and Solomon begins to reign (1:1–2:46)\n      * Abishag begins to take care of King David (1:1–4)\n      * Adonijah claims to be the next king (1:5–10)\n      * Nathan advises Bathsheba on how to respond (1:11–14)\n      * Bathsheba and Nathan inform King David about Adonijah (1:15–27)\n      * King David responds by appointing Solomon as the next king (1:28–37)\n      * Solomon is proclaimed as the next king (1:38–40)\n      * Jonathan informs Adonijah, Joab, and the people with them about Solomon (1:41–48)\n      * Solomon has mercy on Adonijah (1:49–53)\n\n## Special Concepts in this Chapter\n\n### The next king\n\nIt was customary in this culture for a king, when he became old or died, to be succeeded as king by one of his sons. King David had many sons with many different wives, and he had not indicated which son would be king after him. So, Adonijah, one of the oldest sons, decided that he wanted to be king. He invited many important people to a feast, and they all agreed that he should be the next king. However, some other important people went to King David and asked him to make Solomon, one of Adonijah’s younger brothers, the next king. When David agreed to do this, everyone who agreed that Adonijah should be the next king ran away and no longer supported him. Be sure that your readers understand that the narrative of this chapter is about who will be the next king after King David.\n\n## Important Figures of Speech in this Chapter\n\n### Symbolic actions\n\nIn this chapter, people perform several different kinds of actions that had special significance in their culture. When someone sits on a throne, it indicates that this person has power and authority. When people bow or prostrate themselves before someone else, it indicates that they are honoring and giving respect to that person. When someone is anointed with oil, it indicates that this person is being commissioned to accomplish a specific task or fill a specific role. If the significance of these actions would be misunderstood in your culture, you state their meaning explicitly in your translation. See the notes on the verses that describe these actions for translation options. (See: [[rc://*/ta/man/translate/translate-symaction]])\n\n## Other Possible Translation Difficulties in this Chapter\n\n### Singular and plural forms of “you”\n\nMost of the forms of “you” in this chapter appear in conversations with individual people. Because of this, most forms of “you” in this chapter are singular. You should assume forms of “you” are singular unless a note specifies that the form is plural. (See: [[rc://*/ta/man/translate/figs-yousingular]])
1:1	ji2s		rc://*/ta/man/translate/grammar-connect-words-phrases	וְ⁠הַ⁠מֶּ֤לֶךְ	1	Here, the word **Now** introduces something that happened sometime after the events narrated at the end of the previous book (see [2 Samuel 24:1–25](../2sa/24/01.md)). If it would be helpful in your language, you could use a word or phrase that introduces a later event, or you could leave **Now** untranslated. Alternate translation: “Later on, the king”
1:1	b43p		rc://*/ta/man/translate/figs-doublet	זָקֵ֔ן בָּ֖א בַּ⁠יָּמִ֑ים	1	The phrases **was old** and **came into the days** mean similar things. The author is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “was extremely old”
1:1	r7r4		rc://*/ta/man/translate/figs-idiom	בָּ֖א בַּ⁠יָּמִ֑ים	1	Here, the phrase **he came into the days** indicates that David had lived very many **days**, so he was extremely old. If it would be helpful in your language, you could use a comparable phrase or state the meaning plainly. Alternate translation: “he was advanced in age” or “he had lived a long time”
1:1	pwg1		rc://*/ta/man/translate/writing-pronouns	וַ⁠יְכַסֻּ֨⁠הוּ֙	1	The pronoun **they** refers to David’s servants or attendants. If this is not clear for your readers, you could refer to them more directly. Alternate translation: “and his attendants covered him”
1:1	nlyt			וְ⁠לֹ֥א יִחַ֖ם לֽ⁠וֹ	1	Alternate translation: “but he could not keep warm”
1:2	xp8f		rc://*/ta/man/translate/figs-explicit	עֲבָדָ֗י⁠ו	1	Here, the word **servants** could refer to: (1) important officials or attendants in David’s court. Alternate translation: “his courtiers” or “his advisors” (1) attendants, perhaps the same people mentioned in the previous verse who tried to keep David warm. Alternate translation: “his attendants”
1:2	qgvp		rc://*/ta/man/translate/figs-quotations	וַ⁠יֹּ֧אמְרוּ ל֣⁠וֹ עֲבָדָ֗י⁠ו יְבַקְשׁ֞וּ לַ⁠אדֹנִ֤⁠י הַ⁠מֶּ֨לֶךְ֙ נַעֲרָ֣ה בְתוּלָ֔ה וְ⁠עָֽמְדָה֙ לִ⁠פְנֵ֣י הַ⁠מֶּ֔לֶךְ וּ⁠תְהִי־ל֖⁠וֹ סֹכֶ֑נֶת וְ⁠שָׁכְבָ֣ה בְ⁠חֵיקֶ֔⁠ךָ וְ⁠חַ֖ם לַ⁠אדֹנִ֥⁠י הַ⁠מֶּֽלֶךְ׃\n	1	It may be more natural in your language to have a direct quotation here. Alternate translation: “And his servants asked him if people could seek for him, the king, a young woman, a virgin, so that she could stand to his face. They told him that she would be one who is useful for him, and she would lie in his bosom, and it would be warm for him, the king”
1:2	d6bi		rc://*/ta/man/translate/writing-pronouns	יְבַקְשׁ֞וּ	1	The pronoun **They** refers to the people whom the **servants** sent to seek for the young woman. If this is not clear for your readers, you could use a form that refers to an indefinite group of people. Alternate translation: “Certain people are seeking”
