Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	bs9v				0	# Introduction to 2 Samuel\n\n## Part 1: General Introduction\n\n### Outline of 2 Samuel\n\n1. The first years of David’s reign (1:1–7:29)\n    * Saul is killed; David is kind to Ishbosheth (1:1–4:12)\n    * David defeats the Philistines (5:1–25)\n    * Victories, the ark, the house of God (6:1–7:29)\n1. David extends his rule to all the Promised Land (8:1–10:19)\n1. David’s sin with Bathsheba (11:1–12:31)\n1. Amnon and Tamar; Absalom kills Amnon (13:1–14:33)\n1. The later years of David’s reign (15:1–24:25)\n    * Absalom rebels and is killed (15:1–18:33)\n    * David’s kingdom restored (19:1–20:26)\n    * Famine and warfare (21:1–14)\n    * David’s song of praise (22:1–23:7)\n    * David’s mighty men (23:8–39)\n    * Yahweh judges David’s sin of numbering the people; the plague stopped (24:1–25)\n\n### What is the Book of 2 Samuel about?\n\nThis book is about David ruling as king over Israel. He first ruled over the tribe of Judah for seven years. Then the other eleven tribes agreed to have him become their king. He ruled over all Israel for thirty-three years.\n\nThroughout this time, David led his army to fight foreign enemies who attacked Israel. However, he struggled the most against someone in his own family. Absalom, his son, rebelled and fought against him ([2 Samuel 13–19](../13/01.md)).\n\nThe Book of 2 Samuel also tells about when David sinned greatly. He slept with Bathsheba, the wife of Uriah the Hittite. When she became pregnant, David arranged for Uriah to be killed in battle. David and all Israel suffered much because of David’s sin. However, the writer also tells of Yahweh repeatedly showing David grace and love after David repented of his sin.\n\n### How should the title of this book be translated?\n\nTranslators can use the traditional title “2 Samuel,” or “Second Samuel.” Or translators may consider a clearer title such as “The Second Book about Samuel, Saul, and David.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### What was the purpose of the Book of 2 Samuel?\n\nThe Book of 2 Samuel begins where 1 Samuel ended. The writer continues to show how the tribes of Israel unite under the first kings of Israel. The Book of 2 Samuel centers around David as the king Yahweh chose to lead Israel.\n\n### Who wrote the Book of 2 Samuel?\n\nIt is uncertain who wrote 2 Samuel. It may have been someone alive soon after King Solomon died. When Solomon died, the kingdom of Israel split into two kingdoms. The author probably lived in the southern kingdom of Judah. A descendant of David continued to rule over the southern kingdom. The author may have written 2 Samuel to defend David’s right to be king. This would prove that David’s descendant was the rightful king of God’s people.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What covenant had its beginning in the Book of 2 Samuel?\n\nIn 2 Samuel 7, Yahweh made a covenant with David. God promised to make a descendant of David rule forever over Israel. Christians believe that Jesus Christ fulfills this covenant. Jesus was a descendant of David. Jesus is the true “anointed one,” the person God chose to be king forever. (See: [[rc://*/tw/dict/bible/kt/covenant]])\n\n## Part 3: Important Translation Issues\n\n### Why does the book refer to someone being addressed indirectly?\n\nDavid frequently refers to himself as “your servant” when he speaks to King Saul. He also calls Saul “my master.” Indirectly addressing a person in this way can be difficult to translate. It is intended to show that the speaker submits to the one being addressed. English sometimes uses the address “sir” or “ma’am” in this way.\n\n### Can I translate this book before 1 Samuel?\n\nThe Book of 1 Samuel should be translated before 2 Samuel, since 2 Samuel continues from where 1 Samuel ends.\n\n### How is the name “Israel” used in the Bible?\n\nThe name “Israel” is used in many different ways in the Bible. Jacob was the son of Isaac. God changed his name to Israel. The descendants of Jacob became a nation also called Israel. Eventually, the nation of Israel split into two kingdoms. The northern kingdom was named Israel. The southern kingdom was named Judah. (See: [[rc://*/tw/dict/bible/kt/israel]])\n\n2 Samuel speaks of both the northern kingdom of Israel and the whole nation of Israel as “Israel.” However, these references appear in the narrative long before the two kingdoms split apart. It seems clear that the references to Israel and Judah indicate that the author wrote 2 Samuel at a time after the kingdoms split. (See: [2 Samuel 2:10](../02/10.md); [2 Samuel 3:10](../03/10.md); [2 Samuel 5:5](../05/05.md); [2 Samuel 11:11](../11/11.md); [2 Samuel 12:8](../12/08.md); [2 Samuel 19:42–43](../19/42.md); [2 Samuel 21:2](../21/02.md); [2 Samuel 24:1](../24/01.md)).
1:intro	la44				0	# 2 Samuel 1 General Notes\n\n## Structure and formatting\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetic song in 1:19–27.\n\nThis chapter continues the material from 1 Samuel.\n\n## Special concepts in this chapter\n\n### David’s funeral song\nDavid praised Saul and Jonathan as great warriors and Jonathan as his dearest friend.\n\n## Important figures of speech in this chapter\n\n### Synecdoche\n\nDavid used two figures of speech to express that Jonathan and Saul were great warriors: “the bow of Jonathan did not turn back, and the sword of Saul did not return empty.” (See: [[rc://*/ta/man/translate/figs-synecdoche]])\n\n### Parallelism\nDavid's funeral song uses a lot of parallelism, where similar ideas are repeated for emphasis. (See: [[rc://*/ta/man/translate/writing-poetry]])
1:1	q125		rc://*/ta/man/translate/translate-names	בְּ⁠צִקְלָ֖ג	1	This is the name of a city in the southern part of Judah.
1:2	v6vv		rc://*/ta/man/translate/translate-symaction	וּ⁠בְגָדָ֣י⁠ו קְרֻעִ֔ים וַ⁠אֲדָמָ֖ה עַל־רֹאשׁ֑⁠וֹ	1	In this culture, tearing one’s own clothes and putting dirt on one’s head was an act of mourning.
1:2	js3t		rc://*/ta/man/translate/translate-symaction	וַ⁠יִּפֹּ֥ל אַ֖רְצָ⁠ה וַ⁠יִּשְׁתָּֽחוּ	1	This was an act of showing submission to David, who was now the king of Israel.
1:6	uks7		rc://*/ta/man/translate/figs-reduplication	 נִקְרֹ֤א נִקְרֵ֨יתִי֙	1	This statement emphasizes that the man did not plan to meet Saul.
1:6	g386		rc://*/ta/man/translate/figs-explicit	שָׁא֖וּל נִשְׁעָ֣ן עַל־חֲנִית֑⁠וֹ	1	This could mean: (1) Saul was weak and using the spear to support himself or (2) Saul was attempting to kill himself by falling on his own spear.
1:8	x88n		rc://*/ta/man/translate/figs-quotesinquotes	וַ⁠יֹּ֥אמֶר לִ֖⁠י מִי־אָ֑תָּה וָאֹמַ֣ר אֵלָ֔י⁠ו עֲמָלֵקִ֖י אָנֹֽכִי	1	These direct quotations could be stated as indirect speech. Alternate translation: “He asked me who I was, and I told him that I am an Amalekite”
1:8	nvy8		rc://*/ta/man/translate/figs-explicit	עֲמָלֵקִ֖י	1	These are the same people David just finishing attacking in [2 Samuel 1:1](../01/01.md).
1:9	t8ly		rc://*/ta/man/translate/figs-personification	אֲחָזַ֖⁠נִי הַ⁠שָּׁבָ֑ץ	1	Saul’s suffering is spoken of as something terrible that has grabbed hold of him. Alternate translation: “I am suffering terribly”
