Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	txw3				0	# Introduction to Daniel\n\n## Part 1: General Introduction\n\n### Outline of Daniel\n\n1. Daniel and his friends in the court of Nebuchadnezzar (1:1–21)\n1. Daniel interprets Nebuchadnezzar’s first dream (2:1–49)\n1. Daniel’s friends delivered from the fiery furnace (3:1–30)\n1. Daniel interprets Nebuchadnezzar’s second dream (4:1–37)\n1. Belshazzar’s feast and the writing on the wall (5:1-31)\n1. Daniel in the den of lions (6:1–28)\n1. Daniel’s vision of four beasts (7:1–28)\n1. Daniel’s vision of a ram and a goat (8:1–27)\n1. Daniel prays and Gabriel answers (9:1–23)\n1. Daniel’s vision of seventy weeks (9:24–27)\n1. Daniel’s vision of a man (10:1–11:1)\n1. The kings of the south and north (11:2–20)\n1. An evil king exalts himself (11:21-39)\n1. The time of the end (11:40–12:13)\n\n### What is the Book of Daniel about?\n\nThe first part of the Book of Daniel (chapters 1–6) is a narrative about Daniel and his friends. They were young men from Jerusalem who were taken to Babylon as prisoners. These chapters tell how they were faithful to Yahweh while living in a pagan land serving a pagan king. And it tells how God rewarded them because they were faithful.\n\nThe rest of the Book of Daniel is a series of prophetic visions. Chapters 7 and 8 deal with images representing the kingdoms and kings of the major nations. Chapters 9–11 are prophecies and visions about wars and a type of the great enemy of God appearing. Chapter 12 is a vision that describes end times.\n\n### How should the title of this book be translated?\n\nThe traditional title of this book is “The Book of Daniel” or just “Daniel.” Translators may call it “The Book About Daniel” or “The Book About the Deeds and Visions of Daniel.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Daniel?\n\nDaniel was a Jew who became a Babylonian government official during the exile. He may have written the book himself. Or he may have written the parts of the book and someone else put the parts together at a later time.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Is there a missing week in Daniel’s prophecy?\n\nScholars disagree about what may appear to be a missing week in 9:24-27. It is best for translators to allow apparent mysteries such as this to remain in the text. (See: [[rc://*/ta/man/translate/writing-apocalyptic]])\n\n### When did the seventy weeks begin?\n\nThe seventy weeks in 9:24-27 began when a decree was issued to rebuild the city of Jerusalem. But there were several decrees that allowed this to happen. Translators do not need to understand how prophecies were or will be fulfilled to translate the text.\n\n### Who was Darius the Mede?\n\nDarius the Mede was a Babylonian king who sent Daniel into a den of lions. People have not found his name in history outside of the Book of Daniel. Scholars have tried to explain who Darius was, but they are not certain.\n\n## Part 3: Important Translation Issues\n\n### How does Daniel use the word “king”?\n\nMany kings are in the Book of Daniel, but not all of the kings ruled over all of Babylon or Persia. Some of the kings may have ruled over regions or cities.\n\n### How many chapters does Daniel have?\n\nDaniel has twelve chapters. Some Bible versions include stories called “Bel and the Dragon” and “The Prayer of Azariah.” However, few people think that these stories have the same authority as the rest of scripture. Therefore, there is no need to translate them.
1:intro	p1ev				0	# Daniel 1 General Notes\n\n## Structure and formatting\n\n### Training for government jobs\n\nDaniel, Shadrach, Meshach, and Abednego were chosen to be trained for service in the Babylonian kingdom. It was not unusual for foreigners to be given positions in the Babylonian government as advisors or cultural ambassadors.\n\n## Special concepts in this chapter\n\n### Food laws\n\nThe food from the king included things the Jews were not allowed to eat according to the law of Moses. Daniel requested permission not to eat the king’s food. He proved to the king that this food was not necessary for good health. (See: [[rc://*/tw/dict/bible/kt/lawofmoses]])
1:1	sxi6		rc://*/ta/man/translate/figs-synecdoche	יְהוֹיָקִ֣ים מֶֽלֶךְ־יְהוּדָ֑ה	1	This refers to **Jehoiakim** and his soldiers, not only to Jehoiakim. Alternate translation: “the army of Jehoiakim king of Judah”
1:1	x9t9		rc://*/ta/man/translate/figs-synecdoche	נְבוּכַדְנֶאצַּ֧ר מֶֽלֶךְ־בָּבֶ֛ל	1	This refers to **Nebuchadnezzar** and his soldiers, not only to Nebuchadnezzar. Alternate translation: “Nebuchadnezzar king of Babylonia and his soldiers”
1:1	cps4			וַ⁠יָּ֥צַר עָלֶֽי⁠הָ	1	Alternate translation: “to stop the people from receiving any supplies”
1:2	w31y			בְּ⁠יָד֜⁠וֹ	1	God gave to Nebuchadnezzar
1:2	l12t		rc://*/ta/man/translate/figs-synecdoche	וַ⁠יְבִיאֵ֥⁠ם & הֵבִ֔יא	1	Although Nebuchadnezzar did not do these things alone, it may easier for the reader to retain the singular pronouns. Alternate translation: “They brought them … they placed”
1:2	tb9l			וַ⁠יְבִיאֵ֥⁠ם	1	Here **them** probably refers to Jehoiakim and other prisoners, as well as the sacred objects.
1:2	riv5			אוֹצַ֥ר אֱלֹהָֽי⁠ו	1	This was an act of devotion to **his god**.
1:3	c2p4			וַ⁠יֹּ֣אמֶר הַ⁠מֶּ֔לֶךְ	1	This refers to Nebuchadnezzar.
1:3	pba3		rc://*/ta/man/translate/translate-names	לְ⁠אַשְׁפְּנַ֖ז	1	**Ashpenaz** is the chief official.
1:4	j6vw		rc://*/ta/man/translate/figs-litotes	אֵֽין־בָּ⁠הֶ֣ם כָּל־מאום	1	These two negative words together emphasize a positive idea. Alternate translation: “who had perfect appearance”
1:4	ki41		rc://*/ta/man/translate/figs-idiom	וְ⁠יֹ֤דְעֵי דַ֨עַת֙ וּ⁠מְבִינֵ֣י מַדָּ֔ע	1	This is an idiom. This means they knew much and could organize and use that information.
1:4	im8m			בְּ⁠הֵיכַ֣ל הַ⁠מֶּ֑לֶךְ	1	This is the large house or building where the king lives.
1:4	gg5x			וּֽ⁠לֲ⁠לַמְּדָ֥⁠ם	1	Alternate translation: “and Ashpenaz was to teach them”
1:5	v9dg		rc://*/ta/man/translate/figs-metonymy	וַ⁠יְמַן֩ לָ⁠הֶ֨ם הַ⁠מֶּ֜לֶךְ	1	The king’s officials did this task for him. Alternate translation: “The king’s officials counted out for them”
1:5	vq2i			מִ⁠פַּת־בַּ֤ג	1	the special, rare, good foods that the king ate
1:5	bj35			וּֽ⁠לְ⁠גַדְּלָ֖⁠ם	1	Alternate translation: “They were to be taught skills”
1:5	ex12		rc://*/ta/man/translate/figs-activepassive	וּֽ⁠לְ⁠גַדְּלָ֖⁠ם	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “Ashpenaz was to train these young men”
1:6	ln29			בָ⁠הֶ֖ם	1	Alternate translation: “Among the young men from Israel”
1:7	k7uc			שַׂ֥ר הַ⁠סָּרִיסִ֖ים	1	This refers to Ashpenaz who was King Nebuchadnezzar’s highest official.
1:7	b656		rc://*/ta/man/translate/translate-names	בֵּ֣לְטְשַׁאצַּ֗ר & שַׁדְרַ֔ךְ & מֵישַׁ֔ךְ & עֲבֵ֥ד נְגֽוֹ	1	These are all men’s names.
1:8	s7sr		rc://*/ta/man/translate/figs-synecdoche	וַ⁠יָּ֤שֶׂם דָּנִיֵּאל֙ עַל־לִבּ֔⁠וֹ	1	Here **heart** refers to Daniel himself. Alternate translation: “Daniel decided to himself”
1:8	xse9		rc://*/ta/man/translate/figs-explicit	לֹֽא־יִתְגָּאַ֛ל	1	To **defile** something is to make is unclean. Some of the food and drink of the Babylonians would make Daniel ceremonially unclean according to God’s law. This can be made explicit. Alternate translation: “make himself unclean according to God’s law”
1:8	e52r			בְּ⁠פַתְבַּ֥ג	1	This refers to the special, rare, good foods that the king ate. See how you translated this in [Daniel 1:3](../01/03.md).
1:10	wc2i		rc://*/ta/man/translate/figs-rquestion	לָ⁠מָּה֩ יִרְאֶ֨ה אֶת־פְּנֵי⁠כֶ֜ם זֹֽעֲפִ֗ים מִן־הַ⁠יְלָדִים֙ אֲשֶׁ֣ר כְּ⁠גִֽילְ⁠כֶ֔ם	1	The official uses this question to explain what he thought would happen. It can be a statement. Alternate translation: “He does not want to see you looking worse than the other young men of your own age.”
1:10	n5lc		rc://*/ta/man/translate/figs-idiom	וְ⁠חִיַּבְתֶּ֥ם אֶת־רֹאשִׁ֖⁠י לַ⁠מֶּֽלֶךְ	1	This is an idiom. Alternate translation: “Then the king might cut off my head” or “Then the king might kill me”
1:13	m7rh			וְ⁠יֵרָא֤וּ לְ⁠פָנֶ֨י⁠ךָ֙ מַרְאֵ֔י⁠נוּ וּ⁠מַרְאֵה֙ הַ⁠יְלָדִ֔ים	1	Daniel asked the steward to see if he and his friends looked worse than the other young men. Alternate translation: “Then compare our appearance to see if it is worse than the appearance of the young men”
1:14	thm2			וַ⁠יְנַסֵּ֖⁠ם	1	He tested Daniel, Hananiah, Mishael, and Azariah.
1:15	h7dv			מַרְאֵי⁠הֶם֙ & וּ⁠בְרִיאֵ֖י	1	Here **their** and **they** refer to Daniel, Hananiah, Mishael, and Azariah.
1:15	pj6p			וּ⁠בְרִיאֵ֖י בָּשָׂ֑ר	1	This means to have been made healthy from what you have eaten.
1:16	uzg5			אֶת־פַּתְבָּגָ֔⁠ם & מִשְׁתֵּי⁠הֶ֑ם & וְ⁠נֹתֵ֥ן לָ⁠הֶ֖ם	1	The pronouns **their**, *they**, and **them** refer to Daniel, Hananiah, Mishael, and Azariah.
1:17	das8		rc://*/ta/man/translate/figs-abstractnouns	נָתַ֨ן לָ⁠הֶ֧ם הָֽ⁠אֱלֹהִ֛ים מַדָּ֥ע וְ⁠הַשְׂכֵּ֖ל	1	This can be reworded so that the abstract nouns **knowledge** and **insight** can be expressed as the verbs “learn” and “understand.” Alternate translation: “God gave them the ability to learn and understand clearly”
1:17	wn6n		rc://*/ta/man/translate/figs-hyperbole	בְּ⁠כָל־סֵ֣פֶר וְ⁠חָכְמָ֑ה	1	Here “all” is a generalization to show that they had a very good education and understanding. Alternate translation: “in many things that the Babylonians had written and studied”
1:19	ita9			וַ⁠יְדַבֵּ֣ר אִתָּ⁠ם֮ הַ⁠מֶּלֶךְ֒	1	The king spoke with the “four young men” ([Daniel 1:17](../01/17.md)).
1:19	u1am		rc://*/ta/man/translate/figs-litotes	וְ⁠לֹ֤א נִמְצָא֙ מִ⁠כֻּלָּ֔⁠ם כְּ⁠דָנִיֵּ֣אל חֲנַנְיָ֔ה מִֽישָׁאֵ֖ל וַ⁠עֲזַרְיָ֑ה	1	This can be stated in positive form. Alternate translation: “Daniel, Hananiah, Mishael, and Azariah pleased him much more than anyone else in the whole group”
1:19	e2m3			כְּ⁠דָנִיֵּ֣אל חֲנַנְיָ֔ה מִֽישָׁאֵ֖ל וַ⁠עֲזַרְיָ֑ה	1	These are the names of men. See how you translated these names in [Daniel 1:6](../01/06.md).
1:20	f5x8		rc://*/ta/man/translate/figs-hyperbole	עֶ֣שֶׂר יָד֗וֹת עַ֤ל	1	Here **ten times** is an exaggeration representing great quality. Alternate translation: “much better”
1:21	jhp9			שְׁנַ֥ת אַחַ֖ת לְ⁠כ֥וֹרֶשׁ הַ⁠מֶּֽלֶךְ	1	Alternate translation: “the first year that King Cyrus ruled Babylon”
2:intro	epd5				0	# Daniel 2 General Notes\n\n## Structure and formatting\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in Daniel’s prayer in 2:20-23.\n\n## Special concepts in this chapter\n\n### The king’s dream\n\nDaniel told the king’s dream and what the dream meant. In the ancient Near East, it was believed that only people in touch with the gods could interpret dreams. (See: [[rc://*/tw/dict/bible/kt/falsegod]])\n\n### How Daniel knew the dream\n\nDaniel gave Yahweh the honor for having told him the dream and its meaning in answer to the prayers of the four men.
2:1	mns5		rc://*/ta/man/translate/translate-ordinal	וּ⁠בִ⁠שְׁנַ֣ת שְׁתַּ֗יִם	1	“In year two”
2:1	xw34		rc://*/ta/man/translate/figs-metonymy	וַ⁠תִּתְפָּ֣עֶם רוּח֔⁠וֹ	1	Here **spirit** refers to his thoughts. Alternate translation: “His thoughts disturbed him”
2:1	g67b		rc://*/ta/man/translate/figs-idiom	וּ⁠שְׁנָת֖⁠וֹ נִהְיְתָ֥ה עָלָֽי⁠ו	1	This is an idiom that means his troubled thoughts prevented him from sleeping. Alternate translation: “so that he could not sleep”
2:2	n5gn			וַ⁠יָּבֹ֕אוּ	1	Alternate translation: “So they came into the palace”
2:2	x5f6			וַ⁠יַּֽעַמְד֖וּ לִ⁠פְנֵ֥י	1	Alternate translation: “and stood in front of”
2:3	q4dv		rc://*/ta/man/translate/figs-synecdoche	וַ⁠תִּפָּ֣עֶם רוּחִ֔⁠י	1	Here **spirit** refers to the king himself. Alternate translation: “I am troubled”
2:4	k6f2		rc://*/ta/man/translate/translate-names	אֲרָמִ֑ית	1	**Aramaic** was the language that people in Babylon spoke.
2:4	b8zx			מַלְכָּ⁠א֙ לְ⁠עָלְמִ֣ין חֱיִ֔י	1	The men probably said this to show the king that they were loyal to him. Alternate translation: “King, we hope you will live forever!”
2:4	n36i			ל⁠עבדי⁠ך	1	The men called themselves the king’s **servants** to show him respect.
2:4	cba4		rc://*/ta/man/translate/figs-exclusive	נְחַוֵּֽא	1	Here the word **we** refers to the men that the king is speaking to and does not include the king.
2:5	nw8r		rc://*/ta/man/translate/figs-activepassive	הַדָּמִין֙ תִּתְעַבְד֔וּן וּ⁠בָתֵּי⁠כ֖וֹן נְוָלִ֥י יִתְּשָׂמֽוּן	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “I will command my soldiers to tear your bodies apart and to make your houses into rubbish heaps”
2:6	xv1k		rc://*/ta/man/translate/figs-activepassive	מַתְּנָ֤ן וּ⁠נְבִזְבָּה֙ וִ⁠יקָ֣ר שַׂגִּ֔יא תְּקַבְּל֖וּן מִן־קֳדָמָ֑⁠י	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “I will give you gifts, a reward, and great honor”
2:7	ux2h		rc://*/ta/man/translate/figs-123person	מַלְכָּ֕⁠א חֶלְמָ֛⁠א יֵאמַ֥ר לְ⁠עַבְד֖וֹ⁠הִי	1	The wise men addressed the king in the third person as a sign of respect.
2:8	h6gf		rc://*/ta/man/translate/figs-metaphor	חֲזֵית֔וֹן דִּ֥י אַזְדָּ֖א מִנִּ֥⁠י מִלְּתָֽ⁠א	1	A decision that will not be changed is spoken of as something firm. Alternate translation: “you see that I will not change my decision about this”
2:9	ef89			חֲדָה־הִ֣יא דָֽתְ⁠כ֗וֹן	1	Alternate translation: “there is only one punishment for you”
2:9	xj29		rc://*/ta/man/translate/figs-doublet	וּ⁠מִלָּ֨ה כִדְבָ֤ה וּ⁠שְׁחִיתָה֙	1	These two words mean approximately the same thing and emphasize that these are “lies intended to deceive.”
2:10	m1jc		rc://*/ta/man/translate/figs-doublet	רַ֣ב וְ⁠שַׁלִּ֔יט	1	These two words mean basically the same thing and emphasize the greatness of the king’s power. Alternate translation: “most powerful”
2:11	n99m		rc://*/ta/man/translate/figs-litotes	וְ⁠אָחֳרָן֙ לָ֣א אִיתַ֔י דִּ֥י יְחַוִּנַּ֖⁠הּ קֳדָ֣ם מַלְכָּ֑⁠א לָהֵ֣ן אֱלָהִ֔ין	1	This is stated in negative form for emphasis. It can be stated in positive form. Alternate translation: “and only the gods can tell this to the king”
2:12	xu8y		rc://*/ta/man/translate/figs-doublet	בְּנַ֖ס וּ⁠קְצַ֣ף שַׂגִּ֑יא	1	These words mean basically the same thing and emphasize the intensity of his anger. Alternate translation: “was incredibly angry”
2:12	y1cf			לְ⁠כֹ֖ל חַכִּימֵ֥י בָבֶֽל	1	Alternate translation: “all the men in Babylon”
2:13	w1hk		rc://*/ta/man/translate/figs-personification	וְ⁠דָתָ֣⁠א נֶפְקַ֔ת	1	The decree is spoken of as if it was alive and able to go out by itself. Alternate translation: “So the king issued a command” or “So the king gave a command”
2:13	m5cr		rc://*/ta/man/translate/figs-activepassive	וְ⁠חַכִּֽימַיָּ֖⁠א מִֽתְקַטְּלִ֑ין	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “the soldiers were to kill all of the wise men”
