Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	rm3n				0	# Introduction to Deuteronomy\n\n## Part 1: General Introduction\n\n### Outline of Deuteronomy\n\n- Moses’ first speech\n     - Moses reminds Israel of how Yahweh guided them through the wilderness (1:1–3:29)\n     - Moses appeals to Israel to obey the law of Yahweh (4:1–49)\n- Moses’ second speech\n     - The Ten Commandments (5:1–10:22)\n     - Rules and warnings from the Law (11:1–26:19)\n- Moses’ third speech\n     - Instructions for entering Canaan (27:1–26)\n     - Blessings for obeying and curses for disobeying (28:1–68)\n     - The covenant renewed (29:1–30:20)\n     - Last words of Moses, the Song of Moses, and his death (31:1–34:12)\n\n### What is the book of Deuteronomy about?\n\nIn the book of Deuteronomy, Moses repeats the laws of the covenant that God made with the people of Israel. The people of Israel are about to go into the Promised Land. Before they enter the land, Moses reminds them of what Yahweh did for them and what he expects from them. Moses warns the people about worshiping idols and no longer trusting Yahweh once they settle in the Promised Land. Yahweh promises to judge those who disobey him and to bless those who obey his law. (See: [[rc://*/tw/dict/bible/kt/covenant]])\n\n### How should the title of this book be translated?\n\nThe name “Deuteronomy” means “Second Law” or “the retelling of the Law.” Translators may decide on a title such as “A Repeat of the Law” or “Moses Explains the Law Again.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the book of Deuteronomy?\n\nThe writers of both the Old and New Testament present Moses as being very involved with writing the book of Deuteronomy. However, many scholars think that Joshua wrote chapter 34, which tells how Moses died.\n\n### What are the important features of the book of Deuteronomy?\n\nThe book contains a series of speeches that Moses gave to Israel before he died. He spoke these things just before the people entered the Promised Land. (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why does Yahweh command the Israelites to completely destroy the Canaanite people who live in the Promised Land?\n\nAs God prepares the Israelites to enter the Promised Land, he commands them to completely destroy the Canaanite people who live there. The Israelites will then not be tempted to join them in worship of their false gods.\n\n## Part 3: Important Translation Issues\n\n### What is the role of God’s name in Deuteronomy?\n\nGod’s name is mentioned over 30 times in the book of Deuteronomy. The use of God’s name in this book usually represents God’s honor or fame. At other times in Deuteronomy, God’s name represents his presence. God said he would choose a place and make his name dwell there. This means God’s presence would be there. The people were to go to that place to worship him.\n\n### Can this book be translated before the rest of the Pentateuch?\n\nThe books of Genesis and Exodus help to explain what happens in Deuteronomy. For this reason, those books should be translated before the book of Deuteronomy.\n\n### Quotes in quotes\n\nSince this book consists of Moses’ speeches, many parts of this book are direct quotations. Within his speeches, Moses directly quotes what others  said. If it would be clearer in your language, you could translate or format these passages so that there are not quotations within a quotation. (See [[rc://*/ta/man/translate/figs-quotesinquotes]])\n\n### “Yahweh your God”\n\nThroughout this book, Moses refers to Yahweh as “your God” when he speaks to the Israelites. Moses is referring to the same God that he also worships. He is not distinguishing between the God of the Israelites and his own God. If it would be helpful in your language, you could clarify that this is the same God whom Moses worships. (See [[rc://*/ta/man/translate/figs-possession]])\n\n### Moses’ audience\n\nIn his speeches, Moses speaks to the Israelites who will enter into the land that Yahweh promised to give to them. Moses reminds them about events that happened to their ancestors and to them. If it would be helpful for your readers, you could state explicitly that Moses is talking about their ancestors even when he directly addresses the living Israelites as “you.” (See [[rc://*/ta/man/translate/writing-pronouns]])\n\n### “You” singular and plural\n\nAlthough Moses is speaking to all the Israelites, he sometimes addresses them as “you” singular. Moses wants each of the individual Israelites to think about what he is saying. If it would not be natural in your language to address a group with a singular pronoun, you can use the plural “you” when Moses is speaking to all the Israelites. (See [[rc://*/ta/man/translate/writing-pronouns]] and [[rc://*/ta/man/translate/figs-youcrowd]])\n\n### “You shall”\nIn this book, the form **you shall** appears often when someone gives a command. While the form itself is not a command, it can be interpreted and translated as a command. If it would be helpful in your language, you could translate these words using a command or instruction form. (See [[rc://*/ta/man/translate/figs-declarative]])\n\n### “Seed”\n\nThis book refers to a person’s descendants as their “seed.” Seed refers to semen that leads to a child’s conception. All instances of “seed” mean “descendants” unless otherwise specified. (See [[rc://*/ta/man/translate/figs-idiom]])\n\n### “Listen” and “Keep”\nMoses tells the Israelites to “listen” and “keep” the commandments of Yahweh. He means that they need to carefully obey them. If it would be helpful in your language, you could state the meaning plainly. (See [[rc://*/ta/man/translate/figs-metaphor]])\n\n### “the land that Yahweh your God is giving you”\n\nMoses refers to the Promised Land as “the land that Yahweh your God is giving you” and “the land that Yahweh your God has given you.” At the time of Moses’ speeches, the Israelites have not yet occupied the land. So, when Moses says that Yahweh **has given** the land to the Israelites, he is reminding the Israelites that Yahweh will keep his promises. The land belongs to the Israelites, they only have to trust Yahweh and take the land.\n(See: [[rc://*/tw/dict/bible/kt/promisedland]])
1:intro	ggp9				0	# Deuteronomy 1 General Notes\n\n## Structure and Formatting\n\nThis chapter forms a continuation with the last chapter of the book of Numbers. In this chapter is Moses’ first speech to the Israelites. \n\n- vv. 1-4: Introduction\n- vv. 5-49: Moses reminds the Israelites of what happened to their ancestors in the wilderness\n     - vv. 9-18: Moses chooses judges and military leaders\n     - vv. 19-46: The Israelites send out spies to survey the land \n\n## Special Concepts in this Chapter\n\n### Possessing the land\n\nYahweh promised the Israelites that he would give them the land of Canaan if they obeyed him. Other people lived in the land, but Yahweh promised to give the Israelites victory over them. The land belongs to Israel, but they have not yet entered it to possess the land. (See: [[rc://*/tw/dict/bible/kt/faithful]] and [[rc://*/tw/dict/bible/kt/promisedland]])\n\n## Other Possible Translation Difficulties in this Chapter\n\n### Quotes in quotes\n\nIn this chapter, Moses gives a speech in which he quotes what others have said. If it would be clearer in your language, you could translate or format this passage so that there are no quotations within quotations. (See [[rc://*/ta/man/translate/figs-quotesinquotes]])\n\n### Time Background\n\nIn his speech, Moses reminds the Israelites about what happened to their ancestors when they were camping at Mt. Sinai. Throughout his speech, Moses repeats the phrase “at that time” to refer to new topics that occurred during that time period. If it would be helpful for your readers, you could state this information explicitly. (See: [[rc://*/ta/man/translate/writing-newevents]])\n
1:1	vb79		rc://*/ta/man/translate/translate-names	ס֜וּף	1	The word **Suph** is the name of a place. It is uncertain where Suph is, but Suph could refer to the Red Sea. Alternate translation: “the Red Sea”
1:1	bg65		rc://*/ta/man/translate/translate-names	תֹּ֛פֶל וְ⁠לָבָ֥ן וַ⁠חֲצֵרֹ֖ת וְ⁠דִ֥י זָהָֽב	1	These are the names of places.
1:1	mdz9		rc://*/ta/man/translate/figs-explicitinfo	בֵּֽין & וּ⁠בֵֽין	1	Here, the text repeats **between** to describe the relative positions of cities. If it is unnatural in your language to repeat a preposition, you could use a form that identifies an area between cities. Alternate translation: “between … and”
1:2	xcp5		rc://*/ta/man/translate/figs-explicit	אַחַ֨ד עָשָׂ֥ר יוֹם֙	1	The implication is that the journey takes **11 days**. You could include this information if that would be helpful to your readers. Alternate translation: “It is a journey of 11 days”
1:3	xm9k		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִי֙	1	Moses is using the word translated **And it happened** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event. Alternate translation: “And it came to pass” 
1:3	pc9j		rc://*/ta/man/translate/translate-ordinal	בְּ⁠אַרְבָּעִ֣ים שָׁנָ֔ה בְּ⁠עַשְׁתֵּֽי־עָשָׂ֥ר חֹ֖דֶשׁ	1	If your language does not use ordinal numbers, you could use cardinal numbers here or equivalent expressions. Alternate translation: “after 40 years, in month 11”
1:3	zfn5		rc://*/ta/man/translate/translate-hebrewmonths	בְּ⁠עַשְׁתֵּֽי־עָשָׂ֥ר חֹ֖דֶשׁ	1	The **eleventh** month of the Hebrew calendar includes January on Western calendars. You could convert the Hebrew day and month into an approximate date on the calendar that your culture uses. However, the Jews used a lunar calendar, so if you use a solar calendar, the date will be different every year and the translation will not be entirely accurate. So you may wish instead to give just the number of the day and the name of the Hebrew month in the text of your translation and indicate in a footnote approximately what time of year that is on your calendar.
1:3	c54r		rc://*/ta/man/translate/figs-gendernotations	בְּנֵ֣י	1	Although the term **sons** is masculine, the author is using the word in a generic sense that includes both men and women. If it would be helpful in your language, you could use a phrase that makes this clear. Alternate translation: “the children of”
