Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	nxz4				0	# Introduction to Leviticus\n\n## Part 1: General Introduction\n\n### Outline of Leviticus\n\n1. Instructions to the Israelites about offerings (1:1–6:7)\n    * Burnt offerings (1:1–17)\n    * Grain offerings (2:1–16)\n    * Fellowship offerings (3:1–17)\n    * Offerings for unintentional sins (4:1–5:13)\n    * Guilt offerings (5:14–6:7)\n2. Instructions to the priests about offerings (6:8–7:10)\n    * Burnt offerings (6:8–13)\n    * Grain offerings (6:14–23)\n    * Purification offerings (6:24–30)\n    * Guilt offerings (7:1–10)\n3. Further instructions to the Israelites (7:11–7:38)\n    * Peace offerings (7:11–21)\n    * Eating fat and blood is forbidden (7:22–27)\n    * The portion for the priests (7:28–7:38)\n4. Setting apart the priests (8:1–10:20)\n    * Aaron and his sons ordained (8:1–36)\n    * Aaron as high priest (9:1–24)\n    * Nadab and Abihu punished (10:1–20)\n5. Laws about clean and unclean things (11:1–15:33)\n    * Clean and unclean food (11:1–47)\n    * Women are purified after giving birth (12:1–8)\n    * Skin, clothing, houses (13:1–14:47)\n    * Bodily fluids (15:1–33)\n6. Day of Atonement; the place of the offering; the nature of blood (16:1–17:16)\n7. Setting apart for worship and service; being disqualified from service (18:1–24:23)\n8. The years of rest and release (25:1–55)\n9. Blessing for obeying and curses for not obeying (26:1–46)\n10. Gifts to God (27:1–34)\n\n### What is the book of Leviticus about?\n\nIn the book of Leviticus, God continues to give laws through Moses to the people of Israel. The people were to obey all of these laws to honor their covenant with God.\n\n### How should the title of this book be translated?\n\n“Leviticus” means “about the Levites.” The Levites were the tribe of Israel that provided priests and other workers in the tabernacle. If the people in the project language do not understand the term “Levites,” you can call it “The Book about the Priests” or “The Book about the Tabernacle Workers.” (See: [[rc://*/tw/dict/bible/kt/tabernacle]] and [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the book of Leviticus?\n\n### What is the meaning of “holy” and “holiness” in the book of Leviticus?\n\nThese terms concern separating someone or something from the rest of the people, from the world, or from ordinary use. God separated these people or things so they would belong only to him. The people were to consider as separate the places for worshiping God or for honoring him in any way. The people could not use them for anything else. God required the Israelites to live in a certain way in order to live as a nation belonging to him alone.\n\nAnyone or anything that was acceptable to God or “holy” was spoken of as if it were physically clean. In the same way, anyone or anything that was not acceptable to God or not holy was spoken of as if it were physically unclean.\n\nSome people and some things could be made clean or “cleansed,” that is, made acceptable to God. People or things were made clean if the people performed the appropriate sacrifices and ceremonies. For example, some foreigners who wished to live among the Israelites and worship Yahweh could be made clean. However, other people and things could never be made acceptable to him.\n\nIt is important to know that not all unclean things or conditions were sinful. For example, after giving birth to a male child, a woman would be unclean for 33 days. Then the proper animal sacrifice would be offered for her. The monthly flow of blood made the woman unclean ([Leviticus 12:7](../../lev/12/07.md)). But Leviticus never suggests that someone with a flow of blood was sinning. In the same way, God did not allow the Israelites to eat certain kinds of animals; this was one way of setting his people apart.\n\nBecause God does not sin, the terms “holy” and “holiness” often suggest this same idea. Something belonging to God is holy. Because people must respect God, they must respect the things that belong to him.\n\n### What are the important narrative features of Leviticus?\n\nOn 17 occasions, the phrase “The Lord said to Moses” (and sometimes Aaron) is used to begin paragraphs. God and Moses frequently spoke to others. The verb “speak” is used 38 times.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the “tent of meeting”\n[TEXT]\n\n### Why did the Israelites need so many rules about sacrificing animals?\n\nLeviticus shows that God is holy. That means God is very different from humanity and the rest of the created world. God does not sin. Because of this, it is impossible to be acceptable to him without being “cleansed.” The various kinds of sacrifices were meant to make people and things acceptable to God. However, the people had to continue making animal sacrifices so that they would continue to be acceptable to God. This was a sign that pointed to a need for a better sacrifice. They needed a sacrifice that would cause them to be acceptable to God forever. (See: [[rc://*/tw/dict/bible/kt/holy]] and [[rc://*/tw/dict/bible/kt/sin]])\n\n### Why was the priesthood important in the book of Leviticus?\n\nPriests were individuals who went to God on behalf of the people. God authorized the priests to bring the Israelite’s sacrifices to himself.\n\n### How did the Israelite’s rules for worshiping God and sacrificing animals differ from rules of the other nations at that time?\n\nIt was common for other nations to sacrifice animals to their idols. But, the other nations did other things to worship their false gods. For instance, people would sleep with prostitutes at the temple of their gods. They did this to try to persuade their gods to bless their land with the ability to grow crops. Also, people of other nations would sometimes offer human sacrifices to their gods. The God of Israel did not allow his people to do these kinds of things.\n\n\n## Part 3: Important Translation Issues\n\n### “the sons of Aaron”\nAt the time when Yahweh spoke to Moses from the tent of meeting, the priests literally were the “sons of Aaron.” But the instructions in the book also applied to future generations, when the term “sons” would be a way of referring to the priests as Aaron's “descendants.” If it would be clearer in your language, in your translation you could generally use that term, which would apply to both the original priests and to their successors. However, in chapters 8–10, only the literal sons of Aaron are in view, so the term “sons” would be appropriate there.\n\n### “To the face of Yahweh”\nThroughout the book as a whole, the author of Leviticus uses the common idiom “to the face of Yahweh” as a metaphor that means “where Yahweh can see” or “in the sight” or “in the presence of Yahweh,” similar to the English preposition “before.” Sight, in turn, means attention, perspective, and judgment. In the context of Leviticus, "in the presence" or "sight of Yahweh" means to be within the sacred precincts of the tent of meeting. You can translate this expression as “from Yahweh’s perspective,” “in Yahweh's presence,” or simply as “before Yahweh.”\n\n### “Unblemished” or “perfect”\nWhen the book of Leviticus calls something "perfect" (in the ULT), it refers to a sacrificial animal that is the best representative animal of that species. As such, the word "perfect" refers to wholeness, completeness, and perfection. This is often translated with negative terms like “unblemished.” If it would be more natural in your language, consider using terms that carry these same meanings. Alternate translation: “a whole male” or “a complete male” or “a healthy male” \n\n### What important symbols are introduced in Leviticus?\nOil was poured on someone or something meant to be set apart for Yahweh. Water was used to symbolize the cleansing of someone or something so God could accept them. Blood was also used to cleanse and purify people and things. This is because blood represented the life that needed to be shed in order for God to forgive people for sinning.\n\n### Why do many sections begin with the phrase “Yahweh said to Moses”?\nThis phrase shows the reader that these rules come from God and must be obeyed. You could also translate this as “God told Moses.”
1:intro	ecv8				0	#Leviticus 1 General Notes\n\n##Structure and Formatting\nIn Hebrew, this chapter begins with the word “And,” indicating a connection with the previous book (Exodus). This connection not only implies that the first five books of the Bible should be seen as a single unit; it also situates Leviticus in the narrative setting of the book of Exodus, during the thirteenth month of the Israelite's wandering in the wilderness of Sinai. \n\nThe first chapter of Leviticus is comprised of two hypothetical scenarios representing three variations of the burnt offering:\nThe Burnt Offering (1:1–17)\n- 1) a livestock animal ([1:2–13](../01/02.md))\n     - a) a bovine ([1:3–9](../01/03.md))\n     - b) a sheep or goat ([1:10–13](../01/10.md))\n- 2) a bird ([1:14–17](../01/14.md))\n\nAs such, the initial heading verse of each section begins with "If" and is followed by the prescribed steps of the sacrifice. Presumably, they are the same for each burnt offering, but more prescriptions are explicit for the first type of burnt offering, the bovine, probably because they are implied for the other two possible burnt offerings. The steps of the sacrificial process for burnt offerings are:\n\n- 1) Selecting a perfect, unblemished, and otherwise completely healthy animal ([1:3, 10, 14](../01/03.md))\n- 2) Presenting the animal at the entrance to the tent of meeting ([1:3](../01/03.md))\n- 3) Laying hands on the head of the animal ([1:4](../01/04.md))\n- 4) Killing the animal ([1:5, 11, 15](../01/05.md))\n- 5) Presenting and sprinkling the animal's blood on the altar ([1:5, 11, 15](../01/05.md))\n- 6) Skinning the animal ([1:6](../01/06.md))\n- 7) Butchering the animal into its appropriate pieces, usually the head, fat, intestines, and legs ([1:6, 12, 16–17](../01/06.md))\n- 8) Putting fire on the altar and arranging the wood ([1:7](../01/07.md))\n- 9) Arranging the pieces, specifically the head and the fat, of the sacrifice over the burning wood of the altar ([1:8, 12](../01/08.md))\n- 10) Washing the legs and the intestines ([1:9, 13](../01/09.md))\n- 11) Burning the entire animal in a way that causes smoke to go up ([1:9, 13, 17](../01/09.md)\n\n##Special Concepts in this Chapter\nSeveral concepts are crucial for understanding the instructions in this chapter. They include: 1) technical sacrificial terminology, 2) atonement, 3) the importance of blood, and 4) the nature of symbolic action. \n\n###Technical sacrificial terminology\nThroughout the book of Leviticus, the author employs several terms that have a specialized technical meaning in the context of sacrifices or that are only used in this context. In this chapter, such terms are 1) the "burnt offering" and 2) the "gift."\n\n- 1) The “burnt offering”\nThe burnt offering was a particular sacrifice that could be offered by anyone for a variety of reasons. Its name is related to a verb that means "to go up" or ”to ascend,” suggesting that the sacrifice was to be converted into smoke by the fire and ascend to Yahweh in heaven, as the discussion on the verb phrase "to cause to become smoke" will suggest. Its function was to provide a sacrifice intended to bring about forgiveness for a wide variety of sins and unintentional mistakes that were not specifically covered by the other sacrifices discussed in the first seven chapters of Leviticus. The sacrifice required a perfect, male animal that would be completely burned on the altar over a fire that was to be kept burning continually (see [6:9–13](../06/09.md) for more details ). The sacrifice, when accepted by Yahweh, would provide "atonement" for the individual who offered it. \n\n- 2) The “gift” or “offering made by fire”\nThe word translated "gift" in [1:9, 13, and 17](../01/09.md) is variously translated in modern English versions, usually with reference to ”an offering made by fire,” based on the word's presumed relationship with the word for ”fire.” However, some of the sacrifices referred to by this word are not burned on the altar (like the portions of the sacrifices that belonged to the priests in [7:30, 35–36](../07/30.md)), and many sacrifices, such as the purification offering, that are burned on the altar are not referred to by this term. Instead, this term simply refers to a "gift" offered to Yahweh that consists of food items. While you may see the phrase ”fire offering” or ”offering made by fire” in modern English translations, we suggest that you retain the term "gift." \n\n###Atonement\nThe word translated "atone" in the ULT is a technical term expressing the act of atonement that was carried out by the priest but always accomplished by Yahweh. Traditionally, it has been understood as a metaphor with the basic meaning of “to cover,” but more recently, some scholars have understood it to express the image of “to wipe.” If the former is correct, then the metaphor pictures the blood of the sacrifice as covering up the defiling impurity caused by sin. If the latter is correct, then the metaphor pictures the blood of the animal as a sort of ritual detergent that cleanses the person or object from the defiling presence of sin's impurity. Either way, the sacrifice offered by the priest on behalf of the individual or community is accepted in order to restore the relationship between the individual or community and Yahweh that has been damaged or defiled because of sin. This is why so many of the instructions concerning sacrifice end with the mention of the forgiveness of sins, which was the means by which the relationship with Yahweh could be restored. (See: [[rc://*/tw/dict/bible/kt/atonement]] and [[rc://*/tw/dict/bible/kt/priest]]). \n\n###The importance of blood \nIn Leviticus 1, the "blood" of the animal is collected and applied via sprinkling or splattering to the sides of the altar upon which the burnt offering is placed (see [1:5, 11, 15](../01/05.md)). This act, as explained above, has been variously understood, but pictures the blood as cleansing the altar from the effects of sin. Blood was able to cleanse sacred space and God's people from the impurities of sin because of its ability to accomplish atonement by means of "the life" of the animal (see ([17:10–12](../17/10.md)). Because the blood contained "the life" of the animal, Yahweh forbade the eating of any animal blood (see ([7:26–27](../07/26.md), ([17:10–14](../17/10.md), and ([19:26](../19/26.md)). \n\n###Ritual or symbolic action\nThree actions in this chapter and throughout Leviticus are symbolic in nature and picture important theological realities. \n\n- 1) The language of "presenting" throughout this chapter means not only bringing the sacrifice to the altar or to the priest, but also displaying the sacrifice "to the face of Yahweh," that is, to Yahweh himself. This pictures the reality that these sacrifices were performed in the presence of Yahweh, literally in the vicinity of the sacred precincts where Yahweh lived among the Israelites while they were in the wilderness. \n\n- 2) This chapter features the symbolic act of laying one's hands on the head of the sacrificial animal. This action is linked to the acceptance of the animal as an appropriate sacrifice on the individual's behalf (see ([1:4](../01/04.md)). As a symbolic act, the laying of hands apparently identifies the individual with the animal he is offering. The implication seems to be that the person is ritually placing his sins on the sacrificial animal so that God will forgive the sins when the animal is sacrificed.\n\n- 3) The language of "causing the sacrifice to become smoke on the altar" pictures the sacrifice as being converted to smoke by the fire of the altar and arising to Yahweh in heaven, where he would smell the pleasant aroma of the burning sacrifice. As such, the pleasant smell was either a sign that Yahweh approved the sacrifice and would atone for the individual's sins and forgive him, or it functioned as a necessary requirement for the acceptance of the individual's offering. \n\n##Important Figures of Speech in this Chapter\nThis chapter includes three primary figures of speech that may prove difficult to translate but are important to understanding the chapter. These include 1) the phrase, "to the face of Yahweh," 2) the phrase, "a pleasing smell to Yahweh," and 3) the way of referring to the priests as "the sons of Aaron." \n\n###“To the face of Yahweh”\nThroughout this chapter and the book as a whole, the author of Leviticus uses the common idiom “to the face of Yahweh” as a metaphor that means “where Yahweh can see” or “in the sight” or “in the presence of Yahweh,” similar to the English preposition “before.” Sight, in turn, means attention, perspective, and judgment. In the context of Leviticus, "in the presence" or "sight of Yahweh" means to be within the sacred precincts of the tent of meeting, either in the sense of the location directly in front of the tent in which Yahweh resided (see [1:3, 12](../01/03.md)), or in the sense of being in the presence of Yahweh within the precincts of the tent of meeting (see [1:5](../01/05.md)). You can translate either sense of this expression as “in the presence of Yahweh" or simply as ”before Yahweh.”\n\n###“Pleasing smell to Yahweh”\nAs mentioned previously, throughout this chapter, the priest is instructed to cause the sacrifice to become smoke on the altar. This refers to burning the sacrifice in a way that causes smoke to go up, picturing the sacrifice as being converted to pleasant-smelling smoke by the fire and arising to Yahweh in heaven, where he would smell the smoke and be pleased. That the sacrifice was accompanied by the gift of the pleasant-smelling smoke of the sacrifice was apparently crucial to the acceptance of the offering as an appropriate sacrifice on the individual's behalf, as it is mentioned several times in this chapter (see [1:9, 13, 17](../01/09.md)). \n\n###"The sons of Aaron"\nThroughout Leviticus, but especially in this chapter, the priests are referred to by the expression "the sons of Aaron." Occasionally, the expression is "the sons of Aaron, the priests" (as in [1:5, 8, 11](../01/05.md)). Once in this chapter, the expression is altered to emphasize that it is Aaron who is the original priest, through the phrase "the sons of Aaron" (see 1:7](../01/07.md)). As the General Introduction to Leviticus discusses, at the time when Yahweh spoke to Moses from the tent of meeting, the priests literally were the “sons of Aaron,” who was the first high priest. But the instructions in the book also applied to future generations, when the term “sons” would be a way of referring to the priests as Aaron's descendants (with the exception of Leviticus chapters 8–10). Here and throughout the book, if it would be clearer in your language, in your translation you could generally use the term “descendants,” which would apply to both the original priests and to their successors.\n\n##Other Possible Translation Difficulties in this Chapter\nIn addition to these important figures of speech, this chapter features several translation difficulties, including 1) the unclear referent of pronouns, 2) the switching between second and third-person address, 3) the use of a verb and a related noun (cognate-accusatives), 4) the use of a future form to indicate a request or command, and 5) the use of specific, technical sacrificial language. \n\n###The referent of the pronouns\nThroughout this chapter, the author of Leviticus uses a third-person pronoun to refer to both the individual who offers the sacrifices and to the priest who performs the sacrifice. As such, it is often difficult (but not impossible) to infer which party performs which actions. In general, the sacrifice is presented to the priest, but the individual who presents the sacrifice is responsible for killing, properly butchering, and presenting the portions of the sacrificial animal to the priest, who will then arrange them on the altar's fire. The only exception to this pattern can be found in the instruction for offering a bird ([1:14–17](../01/14.md)), which specifies that it is the priest who brings the bird to the altar ([1:14](../01/14.md)) before, presumably, completing the preparation for its being burned on the altar as a burnt offering. When there is ambiguity in which party is the proper referent of the pronoun, the notes will specify who is being referred to. \n\n###Second and third-person address\nThe entirety of chapters 1 through 7 are written as direct addresses to the people of God through Moses. As mentioned previously, chapter 1 describes two hypothetical scenarios when an individual might offer three variations of the burnt offering. However, the form of the verb used to refer to the individual in this chapter varies in the second verse ([1:2](../01/02.md)). Initially, Yahweh addresses "a man from you" in the third-person, but then switches to a second-person address ("you shall offer") to indicate the imperatival force of the statement. The ensuing string of third-person verbs ([1:3–17](../01/03.md)) carry the same imperatival weight of the initial second-person verb. Thus, because in this chapter "his" and "he" refer to the person bringing an offering to Yahweh, it can be translated in the second person as it is in [1:2](../01/02.md) and as modeled by the UST. The pronoun used to refer to the individual who offers the sacrifice switches as follows:\n\n- Third-person: ”When a man from you, when he presents” ([1:2](../01/02.md))\n- Second-person: ”you shall present” ([1:2](../01/02.md))\n- Third-person: ”If his offering” ([1:3–17](../01/03.md))\n\nAs previously discussed, if the switch from third-person forms to second-person and back would be confusing in your language, consider using either the second or third-person forms throughout. The UST models use second-person forms for the entirety of this chapter, but the notes will often offer translation possibilities with third-person alternatives. \n\n###The use of a verb with a related noun (Cognate-accusatives)\nFor emphasis, the author of Leviticus often uses a verb with a related noun. In this chapter, the verb "to present" is related to the noun translated "offering." If your language can repeat words for emphasis, it would be appropriate in this context to repeat these words in a similar manner. \n\n###The use of a future form to indicate a command\nOften in this chapter and throughout the first seven chapters of Leviticus, a future form will be used to indicate a command or instruction. For example, Lev 1:2 says, "you shall present your offering.” This is equivalent to saying, "you should present” or ”you must present.” Throughout these chapters, these forms could be translated with a modal form, as the UST models, or simply with an imperative or instruction form. \n
1:1	y78a		rc://*/ta/man/translate/figs-possession	מֵ⁠אֹ֥הֶל מוֹעֵ֖ד	1	The author of Leviticus is using the possessive to describe Yahweh's **meeting** with Moses (and, by extension, the whole people) within the physical location of the **tent.** If this is not clear in your language, you could use an adjective that better describes the locale of divine presence. Alternative translation: “from the tent where Yahweh met with Moses and lived among the Israelites”
1:1	zbz1		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹֽר	1	The word translated **saying** introduces a direct quotation. In your translation, consider ways in which you might introduce this quotation naturally in your language.
1:1-2	rivr		rc://*/ta/man/translate/figs-quotesinquotes	 לֵ⁠אמֹֽר & דַּבֵּ֞ר אֶל־בְּנֵ֤י יִשְׂרָאֵל֙ וְ⁠אָמַרְתָּ֣ אֲלֵ⁠הֶ֔ם	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. It may be helpful to begin a new sentence here. Alternate translation, with a period before: “He told Moses to speak to the sons of Israel and to say to them”
1:2	l7kq		rc://*/ta/man/translate/figs-doublet	דַּבֵּ֞ר אֶל־בְּנֵ֤י יִשְׂרָאֵל֙ וְ⁠אָמַרְתָּ֣ אֲלֵ⁠הֶ֔ם	1	These two phrases mean basically the same thing. The repetition emphasizes that Moses is to deliver the following speech to the people of Israel. (The speech makes up the first seven chapters of the book.) If your language does not use repetition for emphasis, you could use a single phrase and convey the emphasis in another way. Alternate translation: “Make sure you say to the people of Israel”
1:2	o3rs		rc://*/ta/man/translate/figs-metaphor	בְּנֵ֤י יִשְׂרָאֵל֙	1	This expression speaks of the people of Israel in the time of Moses as if they were literally the **sons** of Israel. It means that they are the physical and spiritual descendants of Jacob, whose name God changed to Israel. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “the descendants of Israel”
1:2	jqkz		rc://*/ta/man/translate/figs-gendernotations	בְּנֵ֤י יִשְׂרָאֵל֙	1	Although the word translated **sons** is masculine and plural, it has a generic sense that applies to both men and women. In your translation, you may wish to use a term that is clearly inclusive of men and women. Alternate translation: “the people of Israel”
1:2	fjhs		rc://*/ta/man/translate/figs-declarative	וְ⁠אָמַרְתָּ֣	1	As the General Introduction to Leviticus discusses, here and throughout the book, the author of Leviticus uses a future form to give an instruction or command. If it would be helpful in your language, you could translate these verbs using a command or instruction form. Alternate translation: “and say”
1:2	yiq7		rc://*/ta/man/translate/figs-gendernotations	אָדָ֗ם כִּֽי־יַקְרִ֥יב מִ⁠כֶּ֛ם	1	Although the word translated **A man** is masculine, it has a generic sense that refers to any person who approaches the tent to make a sacrifice. Alternate translation: “When one of you presents” or “When someone presents”
