Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	p55k				0	# Introduction to Numbers\n\n## Part 1: General Introduction\n\n### Outline of Numbers\n\n1. Preparing to leave Sinai (1:1–10:10)4:3\n    * Counting and assembling the tribes (1:1–4:49)\n    * Regulations (5:1–6:27)\n    * Dedicating the altar (7:1–89)\n    * Setting up the lampstand (8:1–4)\n    * Setting apart the Levites (8:5–29)\n    * Second Passover; the cloud to lead them; trumpets (9:1–10:10)\n2. Sinai to Moab, through the wilderness (10:11–17:13)\n    * Complaining and murmuring (10:11–11:15)\n    * The quails (11:16–35)\n    * Miriam’s leprosy (12:1–16)\n    * The spies selected and sent (13:1–14:45)\n    * Commands (15:1–41)\n    * Korah’s rebellion (16:1–17:13)\n3. The Priests and purifying (18:1–19:22)\n    * Priests and Levites (18:1–32)\n    * The law about purifying (19:1–22)\n4. Conflicts (20:1–21:35)\n    * Miriam’s death (20:1–13)\n    * Edom’s refusal and Aaron’s death (20:14–29)\n    * Journey to Moab (21:1–35)\n5. The Plains of Moab (22:1–36:13)\n    * Balaam (22:1–24:25)\n    * Baal Peor (25:1–18)\n    * The second counting (26:1–65)\n    * Inheritance rights for daughters (27:1–11)\n    * Joshua succeeds Moses (27:12–23)\n    * Offerings and women’s vows (28:1–30:16)\n    * Midianite war (31:1–54)\n    * Across the Jordan (32:1–42)\n    * The people set up camp (33:1–56)\n    * Land west of the Jordan; cities for Levites and cities of refuge (34:1–35:34)\n    * Female heirs marry (36:1–13)\n\n### What is the Book of Numbers about?\n\nThe Book of Numbers tells about the people of Israel as they traveled from Mount Sinai in the wilderness to the Jordan River. While traveling, the Israelites became discouraged. So they rebelled against the leaders whom God had given them. At the Jordan River, the people of Israel refused to enter the Promised Land. Because the Israelites were afraid and did not trust God, he delayed their entry into the Promised Land for forty years (13:1–14:45). (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n### How should the title of this book be translated?\n\nThe title of this book, “Numbers,” refers to when the number of the Israelites was counted. The people of the project language may already be familiar with the name “Numbers” from other Bible versions. If not, the translator could consider a clearer name for the book, such as “The Counting of the People of Israel.” (See: [[rc://*/tw/dict/bible/other/census]])\n\n### Who wrote the Book of Numbers?\n\nThe writers of both the Old and New Testament present Moses as being very involved with writing the Book of Numbers. Since ancient times, both Jews and Christians have thought that Moses wrote Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### How does Numbers present the idea of the whole community being responsible when only a few people sinned?\n\nThe people understood and assumed that God would punish the whole community of Israel if some of the people rebelled against him. God did often punish the entire nation when some of them sinned. All of the people in the ancient Near East would have understood and expected this. However, Moses and Aaron prayed for God to punish only those who were guilty.\n\n## Part 3: Important Translation Issues\n\n### Why does Moses speak using third person pronouns about himself?\n\nWhen an author wrote about something he was involved in, it was common for him to use the pronoun “he” instead of “I,” or “they” instead of “we.” The translator may decide to use the project’s normal pronouns instead. (See: [[rc://*/ta/man/translate/figs-123person]])\n\n### “Shall” and “Shall not”\n\nIn this book, “shall” is used to give a command and “shall not” is used to give a prohibition. While the form itself is not a command or prohibition, it can be interpreted and translated as such. If it would be helpful in your language, you could translate these words using a command or instruction form. (See [[rc://*/ta/man/translate/figs-declarative]])\n\n### Sons of Israel and Israel\n\nThroughout this book, “sons of Israel” and “Israel” usually refer to the Israelite nation or people group as if all of them were the sons of their ancestor Israel, who is also called Jacob. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: “the people of Israel” or “the Israelites” (See: [[rc://*/tw/dict/bible/kt/israel]])
1:intro	av14				0	# Numbers 1 General Notes\n\n## Structure and Formatting\n\n1. Preparing to leave Sinai (1:1–10:10)\n    * Counting and assembling the tribes (1:1–4:49)\n\nThis chapter is intended to form a smooth transition from the last chapter of the book of Leviticus. It describes the counting of Israelite men who are able to fight in the army.\n\n## Special Concepts in this Chapter\n\n### Census\n\nIn this chapter, Yahweh commands Moses and Aaron to count how many men of military age were in each tribe of Israel. Some of these men were also called to lead their family groups.\n\n## Possible Translation Difficulties in this Chapter\n\n### “A son of 20 years and upward” \n\nThis phrase refers to a man who is at least 20 years old. It might be helpful in your language to state this more plainly. Alternate translation: “a man who is at least 20 years old” or “a man who is 20 years or older” (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “One who goes out to war”\n\nThis phrase refers to a soldier by describing the action that characterizes a soldier. If your readers would not understand what this concept means in this context, you could express the meaning plainly. Alternate translation: “one who can be a soldier” or “one who can fight in a war”
1:1	nore		rc://*/ta/man/translate/figs-explicit	בְּ⁠אֶחָד֩	1	Moses uses **one** to imply day **one of the second month**. If it would be helpful in your language, you could state this explicitly. Alternate translation: “on day one”
1:1	xg17		rc://*/ta/man/translate/translate-unknown	בְּ⁠מִדְבַּ֥ר סִינַ֖י	1	Here, **wilderness** refers to the dry, barren desert plain that is common in the **Sinai** peninsula region of the modern Middle East. If your language has a word for this kind of landscape, consider using it here. If not, consider using a general expression. Alternate translation: “in the dry, desert plain of Sinai”
1:1	qchv		rc://*/ta/man/translate/translate-ordinal	בְּ⁠אֶחָד֩	1	Here Moses is using a cardinal number, **one**, to mean “first.” If your language does not use cardinal numbers, you can also use a ordinal number here in your translation. Alternate translation: “on the first”\n
1:1	u2p1		rc://*/ta/man/translate/translate-hebrewmonths	לַ⁠חֹ֨דֶשׁ הַ⁠שֵּׁנִ֜י	1	The **second month** of the Hebrew calendar includes the last half of April and the first half of May on Western calendars. You could convert the Hebrew day and month into an approximate date on the calendar that your culture uses. However, the Jews used a lunar calendar, so if you use a solar calendar, the date will be different every year and the translation will not be entirely accurate. So you may just want to give the number of the day and the name of the month on the Hebrew calendar, which is “Iyar” here, then say in a footnote approximately what time of year that is on your calendar.
1:1	owqr		rc://*/ta/man/translate/translate-ordinal	לַ⁠חֹ֨דֶשׁ הַ⁠שֵּׁנִ֜י בַּ⁠שָּׁנָ֣ה הַ⁠שֵּׁנִ֗ית	1	If your language does not use ordinal numbers, you can use cardinal numbers here. Alternate translation: “of month two in year two”
1:1	nydz		rc://*/ta/man/translate/figs-pronouns	לְ⁠צֵאתָ֛⁠ם	1	Here the pronoun **their** refers to the Israelites. If it would be helpful in your language, you could state this explicitly. Alternate translation: “of the Israelites’ going out”
1:1	ppu9		rc://*/ta/man/translate/figs-quotemarks	לֵ⁠אמֹֽר	1	Here the word **saying** introduces direct speech that continues until [1:15](../01/15.md). Consider natural ways of introducing direct quotations in your language.
1:2	m9tq		rc://*/ta/man/translate/figs-idiom	שְׂא֗וּ אֶת־רֹאשׁ֙	1	**Lift up the heads** is an idiom that means to take a census by counting people. If it would be helpful in your language, you could express the meaning plainly. Alternate translation: “Take a census of”
