Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	rx9u				0	# Introduction to Psalms\n\n## Part 1: General Introduction\n\n### Outline of Psalms\n\n1. Book One (Psalms 1–41)\n1. Book Two (Psalms 42–72)\n1. Book Three (Psalms 73–89)\n1. Book Four (Psalms 90–106)\n1. Book Five (Psalms 107–150)\n\n### What is the book of Psalms?\n\nThe book of Psalms is a collection of songs. People called psalmists wrote them for different reasons. In some psalms, the psalmists expressed their praise for God. In other psalms, they asked God for help and expressed confidence in his love and power. In others, they confessed their sins and begged for mercy. The Israelites wrote some psalms to ask Yahweh to defeat their enemies. Other psalms celebrated the event of a new king beginning his reign. Psalmists also wrote to praise the city of Jerusalem. They wrote some psalms to instruct people on how to be wise by honoring Yahweh and obeying his law. Also, pilgrims sang some of the psalms while traveling to Jerusalem to worship there. Some psalms became songs of praise in the temple worship of Yahweh.\n\n### How should the title of this book be translated?\n\nTranslators can use the traditional title of this book, “The Book of Psalms” or just “Psalms.” Another title of this book is “Songs of Praise.” Translators may express this meaning in their own languages, or they may choose to use or transliterate the name from another language version if it is well known. For example, the French title “Les Psaumes” might be understood by everyone in a project language, if French is the language of wider communication in the region. (See: [[rc://*/ta/man/translate/translate-transliterate]])\n\n### When was the book of Psalms written?\n\nThe psalms were written over a long period of time. Moses probably wrote the earliest psalm around 1400 B.C. David and Asaph wrote their psalms between 1020 and 975 B.C. The Korahites may have written their psalms before Jerusalem was destroyed and the Jews were exiled to Babylon in 587 B.C. Psalm 126 appears to come from the period after the exile, which ended in 538 B.C.\n\n### What are the Messianic psalms?\n\nSome psalms are called “Messianic psalms.” New Testament writers considered these psalms to prophesy about the Messiah, Jesus Christ. They cited Psalms 2, 8, 16, 22, 34, 40, 41, 45, 68, 69, 89, 102, 109, 110, and 118 at least one time each in the New Testament.\n\n### What are superscriptions in the Psalms?\n\nMany psalms give some information called superscriptions before the beginning of the psalm. Some of the expressions in the superscriptions are difficult to understand, so modern versions often have different interpretations of them.\n\nSeventy-three psalms are called “A psalm of David.” This may mean they were written by King David. Or, it could mean someone wrote them for David or in the style that David used when he composed poetry. The superscriptions of some psalms give the historical situations in which they were written.\n\nSome superscriptions give instructions about how they should be played and sung. They tell which instruments, singers, or melodies should be used for that psalm. Fifty-five psalms are addressed “to the choirmaster” or “chief musician.” The psalmists seem to have meant them to be used in temple worship.\n\nTraditionally, English versions do not give verse numbers to the superscriptions. But many versions in other languages do. Whether or not translators give them verse numbers, they should consider the superscriptions in the Psalms as part of the divinely inspired biblical text.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What are some important ways in which Yahweh is pictured in the book of Psalms?\n\nThe psalmists often pictured Yahweh as:\n\n* a king who rules over the nation of Israel and over all the nations\n* a shepherd who leads the people of Israel and also the individual psalm writers\n* a “rock,” that is, a high rocky mountain on which people can be completely safe from their enemies\n* a strong warrior who always defeats his enemies.\n\n### What is the importance of honor and shame in the book of Psalms?\n\nWhen people honor someone, they think well of him and may even admire him. On the other hand, if people shame someone, that person loses honor and is disgraced.\n\nPsalmists often expressed a great desire that Yahweh would be honored by the Israelites and also by the rest of the world.\n\nAlso, psalmists often expressed fear that they would be shamed by their enemies. When they felt this way, the psalmists wrote of their trust that Yahweh would not allow this to happen.\n\n## Part 3: Important Translation Issues\n\n### Why do the ULT and UST display the book of Psalms as poetry, but some modern versions do not?\n\nThe psalmists wrote the psalms as Hebrew poetry. The ULT and UST set each line farther to the right on the page than regular text is placed to show that the writing is poetry rather than prose.\n\nThis style typically uses pairs of poetic lines that relate to each other in different ways. Usually, poetic lines are said to be “parallel” to each other. A line that is indented farther to the right is paired with the line above it. (See: [[rc://*/ta/man/translate/figs-parallelism]])\n\nTranslators will have to decide whether to present the psalms as poetry or as prose in their own language. Translators will need to consider whether their language has poetic forms that are suitable for expressing the psalms.\n\n### Why do some versions number the psalms differently than others?\n\nFrom ancient times, people have numbered the psalms in different ways. The Jews numbered the psalms in Hebrew in one way. When they translated the psalms into Greek, they numbered them in a different way. As a result, the Hebrew numbering and the Greek numbering of psalms were both passed down through the centuries. They are both still in use today. Translators will probably want to number the psalms in the same way that most versions in their own country do.\n\n### How should the translator view the terms Selah and Higgaion that occur in various psalms?\n\n“Selah” and “Higgaion” seem to be musical terms inserted as directions for singers and musicians. Scholars do not agree as to their meaning. For this reason, translators may decide to transliterate them or leave them out rather than try to translate them. (See: [[rc://*/ta/man/translate/translate-transliterate]])
1:intro	fan4				0	# Psalm 1 General Notes\n\n## About the Psalm\n\nPsalm 1 is usually considered to be a “wisdom psalm,” which gives advice to those who hear it read or sung.\n\n**Purpose:** to celebrate the one who follows Yahweh's guidance\n\n**Content:** It is the one who delights in Yahweh's guidance who is “happy.” “All of this is because Yahweh cares for righteous people, but wicked people keep sinning until Yahweh destroys them forever.” (verse 6)\n\n**Message:** Devotion to Yahweh's guidance leads to success and honor.\n\n## Outline:\n\n- Verses 1–3 The happy: Those devoted to Yahweh’s instruction prosper.\n- Verses 4–5 The unhappy: Those who reject Yahweh’s instruction come to nothing.\n- Verses 6 Authority: Yahweh directs each path to its destination.\n\n## Poetic Elements (See: [[rc://en/ta/man/translate/writing-poetry]]):\n\n- Words associated (whether by sound or by meaning) with a journey appear throughout the psalm.\n- In Hebrew, in the word “wicked” the consonant sounds in “happy” are reversed.\n- Verses 1 and 5 have a number of correspondences with one another. There are negated clauses in both verses, and both contain motion verbs. Additionally, the phrase “advice of the wicked” in verse 1a is similar to the phrase ”assembly of the righteous” in verse 5b. The phrases also have similar structure. In Hebrew the words for “advice” and “assembly” sound very similar.\n\n## Figurative language (See: [[rc://*/ta/man/translate/figs-exmetaphor]]):\n- The psalm begins and ends with the metaphor of a journey.\n- There is agricultural imagery which is frequent in scripture: a tree by water (representing flourishing through God’s blessing) and separating wheat from chaff (representing the different judgments of the righteous and wicked). \n\n### CCBYSA\n\nSignificant portions of the ULT, UST, and TNs for this psalm are derivative from [“Psalms, Layer by Layer”](https://psalms.cdbr.org/w/Welcome), [Psalm 1](https://psalms.cdbr.org/w/Psalm_1) by Cambridge Digital Bible Research, Katie Frost, Meaghan Smith, Nikki Mustin et al, used under [CC BY](https://creativecommons.org/licenses/by/4.0/)
1:1	c8cc		rc://*/ta/man/translate/translate-unknown	אַ֥שְֽׁרֵי	1	The **man** described as happy is someone that others admire and desire to be like. **Happy** here can be a congratulatory term. Alternate translation: “Admirable” or “Praised”
1:1	n9y3		rc://*/ta/man/translate/figs-infostructure	אַ֥שְֽׁרֵי־הָ⁠אִ֗ישׁ אֲשֶׁ֤ר ׀ לֹ֥א הָלַךְ֮ בַּ⁠עֲצַ֪ת רְשָׁ֫עִ֥ים וּ⁠בְ⁠דֶ֣רֶךְ חַ֭טָּאִים לֹ֥א עָמָ֑ד וּ⁠בְ⁠מוֹשַׁ֥ב לֵ֝צִ֗ים לֹ֣א יָשָֽׁב	1	In some languages it may be more natural to place the declaration of the state of the man at the end of the verse after the description of the characteristics that he avoids. However, starting the psalm with the exclamation **Happy** was an intentional poetic decision by the author, who intended to set the mood of the psalm. Translators should consider how their language might start the psalm with the same sort of praising exclamation. Alternate translation: “The man who does not walk in the advice of the wicked ones, and stands not in the pathway with sinners, and sits not in the seat of mockers is happy.”
1:1	a5wm		rc://*/ta/man/translate/figs-genericnoun	הָ⁠אִ֗ישׁ	1	The **man** here may refer first to the ideal Israelite king while also having a general meaning referring to a typical righteous person. If your readers would not understand **the man** in a general way, you may choose a term that gives a broader interpretation. One possible way to do this may be by not using a definite article. Alternate translation: “is a man” or “is the person” or “is a person”
1:1	x0do		rc://*/ta/man/translate/figs-exmetaphor	לֹ֥א הָלַךְ֮ בַּ⁠עֲצַ֪ת רְשָׁ֫עִ֥ים וּ⁠בְ⁠דֶ֣רֶךְ חַ֭טָּאִים לֹ֥א עָמָ֑ד וּ⁠בְ⁠מוֹשַׁ֥ב לֵ֝צִ֗ים לֹ֣א יָשָֽׁב	1	It may be helpful to read these three phrases in an inverted way. That way the negative trajectory that the happy man avoids can be more clearly seen. Consider: “Unhappy is the man who walks in the advice of the wicked ones and then who stands in the pathway of sinners and then who sits in the seat of scoffers.” The meaning of each of these parts of this extended metaphor is expanded in later notes, but translators should see a trajectory of worsening character that a happy man avoids.
1:1	ma8f		rc://*/ta/man/translate/figs-exmetaphor	לֹ֥א הָלַךְ֮ בַּ⁠עֲצַ֪ת רְשָׁ֫עִ֥ים	1	Here, **walks** refers to a **man** doing the things that **wicked ones** suggest that he does. This is the beginning of a pattern of doing wrong. If it would be helpful in your language, you could make the image clear or state the meaning plainly. Alternate translation: “does not walk into sin that wicked people suggest” or “never does what wicked people suggest”
1:1	y9ow		rc://*/ta/man/translate/figs-exmetaphor	וּ⁠בְ⁠דֶ֣רֶךְ חַ֭טָּאִים לֹ֥א עָמָ֑ד	1	Here, **stands not in the pathway of sinners** refers to not copying how sinners continually live their lives, that is, their sinful habits. Standing means joining with sinners. The **pathway** means habits or how they live. Not only does the happy man not do what the wicked say, but doing what sinners do does not become the way in which he lives his life. If it would be helpful in your language, you could make the image clear or state the meaning plainly. Alternate translation: “and does not stand with sinners in the path of sinning” or “and does not make sinning a habit”
1:1	b9ef		rc://*/ta/man/translate/figs-exmetaphor	וּ⁠בְ⁠מוֹשַׁ֥ב לֵ֝צִ֗ים לֹ֣א יָשָֽׁב	1	Here, **sits not in the seat of scoffers** means to not become like people who spend their time mocking people, things, and God. By avoiding the previous two progressions towards a sinful life, the happy man avoids this final state where he would be just like the wicked. If it would be helpful in your language, you could make the image clear or state the meaning plainly. Alternate translation: “and does not sit with scoffers to join them in scoffing” or “so he never becomes like wicked mockers”
1:2	x7b7		rc://*/ta/man/translate/grammar-connect-logic-contrast	כִּ֤י אִ֥ם	1	The author uses the word **But** here to indicate a strong contrast between what the happy man does and does not do. In your translation, indicate this strong contrast in a way that is natural in your language. Alternate translation: “Rather,”
